,2025-12-31,2025-06-30,2024-12-31
Ordinary Shares Number,63822249.0,63181249.0,61381249.0
Share Issued,63822249.0,63181249.0,61381249.0
Total Debt,7964642.0,5134214.0,4442207.0
Tangible Book Value,43371596.0,37072819.0,30002759.0
Invested Capital,47831310.0,41275974.0,33299365.0
Working Capital,27430315.0,25935344.0,19519292.0
Net Tangible Assets,43371596.0,37072819.0,30002759.0
Capital Lease Obligations,3602361.0,981501.0,1178609.0
Common Stock Equity,43469029.0,37123261.0,30035767.0
Total Capitalization,43469029.0,37123261.0,30035767.0
Total Equity Gross Minority Interest,43594228.0,37144517.0,30066875.0
Minority Interest,125199.0,21256.0,31108.0
Stockholders Equity,43469029.0,37123261.0,30035767.0
Gains Losses Not Affecting Retained Earnings,2357247.0,1582608.0,1022821.0
Other Equity Adjustments,2357247.0,1582608.0,1022821.0
Retained Earnings,32132905.0,27802955.0,21951873.0
Additional Paid In Capital,8977814.0,7736645.0,7060050.0
Capital Stock,1063.0,1053.0,1023.0
Common Stock,1063.0,1053.0,1023.0
Total Liabilities Net Minority Interest,35934034.0,26870160.0,25306690.0
Total Non Current Liabilities Net Minority Interest,3833819.0,1703192.0,1328224.0
Non Current Deferred Liabilities,957610.0,1154421.0,572829.0
Non Current Deferred Taxes Liabilities,957610.0,1154421.0,572829.0
Long Term Debt And Capital Lease Obligation,2876209.0,548771.0,755395.0
Long Term Capital Lease Obligation,2876209.0,548771.0,755395.0
Current Liabilities,32100215.0,25166968.0,23978466.0
Current Debt And Capital Lease Obligation,5088433.0,4585443.0,3686812.0
Current Capital Lease Obligation,726152.0,432730.0,423214.0
Current Debt,4362281.0,4152713.0,3263598.0
Other Current Borrowings,558355.0,139595.0,136999.0
Line Of Credit,0.0,1312189.0,1223405.0
Current Notes Payable,3803926.0,2700929.0,1903194.0
Payables And Accrued Expenses,27011782.0,20581525.0,20291654.0
Current Accrued Expenses,3503325.0,2702089.0,2027936.0
Payables,23508457.0,17879436.0,18263718.0
Dueto Related Parties Current,1763869.0,2056143.0,1641176.0
Total Tax Payable,3511394.0,2881060.0,1623952.0
Income Tax Payable,3431262.0,2793010.0,1600300.0
Accounts Payable,18233194.0,12942233.0,14998590.0
Total Assets,79528262.0,64014677.0,55373565.0
Total Non Current Assets,19997732.0,12912365.0,11875807.0
Non Current Deferred Assets,,438006.0,397691.0
Non Current Deferred Taxes Assets,,438006.0,397691.0
Investments And Advances,3706080.0,1650516.0,2747493.0
Long Term Equity Investment,3706080.0,1650516.0,2747493.0
Goodwill And Other Intangible Assets,97433.0,50442.0,33008.0
Net PPE,16194219.0,10773401.0,9095306.0
Accumulated Depreciation,-3616362.0,-3014142.0,-2635400.0
Gross PPE,19810581.0,13787543.0,11730706.0
Construction In Progress,479367.0,1718308.0,1146010.0
Other Properties,4484774.0,1037959.0,1280684.0
Machinery Furniture Equipment,11407340.0,7437134.0,6092027.0
Buildings And Improvements,3439100.0,3594142.0,3211985.0
Properties,0.0,0.0,0.0
Current Assets,59530530.0,51102312.0,43497758.0
Current Deferred Assets,,,0.0
Restricted Cash,2037041.0,1485008.0,797241.0
Prepaid Assets,371891.0,305598.0,299013.0
Inventory,12143316.0,9543736.0,7316029.0
Inventories Adjustments Allowances,-1819160.0,-1466734.0,-1261660.0
Finished Goods,10183112.0,6700901.0,5356439.0
Work In Process,2867852.0,3922201.0,2906771.0
Raw Materials,911512.0,387368.0,314479.0
Receivables,28393245.0,23000518.0,20270900.0
Receivables Adjustments Allowances,0.0,0.0,0.0
Other Receivables,,1226451.0,
Duefrom Related Parties Current,598467.0,745479.0,249235.0
Taxes Receivable,592303.0,861439.0,573740.0
Accounts Receivable,27202475.0,20167149.0,19447925.0
Allowance For Doubtful Accounts Receivable,-137041.0,-17562.0,-18431.0
Gross Accounts Receivable,27339516.0,20184711.0,19466356.0
Cash Cash Equivalents And Short Term Investments,16585037.0,16767452.0,14814575.0
Other Short Term Investments,2234078.0,2316484.0,2559362.0
Cash And Cash Equivalents,14350959.0,14450968.0,12255213.0
