,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,8773914000.0,17509396000.0,8766948000.0,13510152000.0,9344044000.0,,
Repayment Of Debt,-10313308000.0,-26007976000.0,-14154227000.0,-5959754000.0,-20489113000.0,,
Issuance Of Debt,7067837000.0,14710057000.0,34801286000.0,7194000000.0,7260000000.0,,
Capital Expenditure,-13207421000.0,-15493491000.0,-12170616000.0,-8587879000.0,-14481661000.0,,
End Cash Position,109018591000.0,110660052000.0,104217382000.0,111993768000.0,106353757000.0,,
Beginning Cash Position,110660052000.0,104217382000.0,111993768000.0,106353757000.0,105000226000.0,,
Effect Of Exchange Rate Changes,1411260000.0,1915020000.0,2598328000.0,-8168990000.0,1809572000.0,,
Changes In Cash,-3052721000.0,4527650000.0,-10374714000.0,13809001000.0,-456041000.0,,
Financing Cash Flow,-3686231000.0,-11416147000.0,-15160397000.0,1148774000.0,-13776089000.0,,
Cash Flow From Continuing Financing Activities,-3686231000.0,-11416147000.0,-15160397000.0,1148774000.0,-13776089000.0,,
Net Other Financing Charges,-440760000.0,-121857000.0,-19444000.0,-85472000.0,-546976000.0,,
Cash Dividends Paid,,3629000.0,,,,-429000.0,
Net Issuance Payments Of Debt,-3245471000.0,-11297919000.0,20647059000.0,1234246000.0,-13229113000.0,,
Net Short Term Debt Issuance,-4820853000.0,-7613617000.0,9498086000.0,24000000.0,-2015000000.0,,
Short Term Debt Payments,-6958140000.0,-8741054000.0,-1744000000.0,-470000000.0,-7975000000.0,,
Short Term Debt Issuance,2137287000.0,1127437000.0,11242086000.0,494000000.0,5960000000.0,,
Net Long Term Debt Issuance,1575382000.0,-3684302000.0,11148973000.0,1210246000.0,-11214113000.0,,
Long Term Debt Payments,-3355168000.0,-17266922000.0,-12410227000.0,-5489754000.0,-12514113000.0,,
Long Term Debt Issuance,4930550000.0,13582620000.0,23559200000.0,6700000000.0,1300000000.0,,
Investing Cash Flow,-21347825000.0,-17059090000.0,-16151881000.0,-9437804000.0,-10505657000.0,,
Cash Flow From Continuing Investing Activities,-21347825000.0,-17059090000.0,-16151881000.0,-9437804000.0,-10505657000.0,,
Net Other Investing Changes,-44336000.0,1460941000.0,-66873000.0,25557000.0,3719824000.0,,
Net Investment Purchase And Sale,-7541826000.0,-3033444000.0,-3966852000.0,-1468844000.0,224513000.0,,
Sale Of Investment,6428421000.0,1765023000.0,2179168000.0,1096206000.0,2466075000.0,,
Purchase Of Investment,-13970247000.0,-4798467000.0,-6146020000.0,-2565050000.0,-2241562000.0,,
Net Business Purchase And Sale,-564378000.0,-19441000.0,0.0,574997000.0,0.0,,
Sale Of Business,78921000.0,0.0,0.0,574997000.0,0.0,,
Purchase Of Business,-643299000.0,-19441000.0,0.0,0.0,0.0,,
