,2025-12-31,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,-25773000.0,41514000.0,68684000.0,198685000.0,166499000.0
Repurchase Of Capital Stock,0.0,1000.0,-46899000.0,,
Repayment Of Debt,,0.0,-5000000.0,,
Issuance Of Debt,-20000000.0,,,-55000000.0,
Issuance Of Capital Stock,10757000.0,-1000.0,4112000.0,,
Capital Expenditure,-133660000.0,-17170000.0,-5389000.0,-13111000.0,-15759000.0
End Cash Position,314837000.0,543522000.0,530425000.0,583482000.0,405706000.0
Beginning Cash Position,396815000.0,530425000.0,583482000.0,405706000.0,220469000.0
Changes In Cash,-81978000.0,13097000.0,-53057000.0,177776000.0,185237000.0
Financing Cash Flow,-10112000.0,-326922000.0,-48644000.0,-73300000.0,119151000.0
Net Other Financing Charges,,,,0.0,0.0
Cash Dividends Paid,0.0,,,0.0,0.0
Net Common Stock Issuance,10757000.0,0.0,-42787000.0,,
Common Stock Payments,0.0,1000.0,-46899000.0,,
Common Stock Issuance,10757000.0,-1000.0,4112000.0,,
Net Issuance Payments Of Debt,-20000000.0,0.0,-5000000.0,-55000000.0,120000000.0
Net Short Term Debt Issuance,-20000000.0,0.0,-5000000.0,-55000000.0,120000000.0
Short Term Debt Payments,,0.0,-5000000.0,,
Short Term Debt Issuance,-20000000.0,,,-55000000.0,
Investing Cash Flow,-179753000.0,281335000.0,-78486000.0,39280000.0,-116172000.0
Net Other Investing Changes,-36756000.0,-1171000.0,-9172000.0,-5754000.0,-4178000.0
Net Investment Purchase And Sale,-9336000.0,299638000.0,-63925000.0,58145000.0,-96235000.0
Sale Of Investment,20663000.0,,,29230000.0,0.0
Purchase Of Investment,-29999000.0,-49570000.0,-63925000.0,28915000.0,-96235000.0
Net Intangibles Purchase And Sale,-86000.0,-88000.0,-850000.0,-3383000.0,-4740000.0
Purchase Of Intangibles,-86000.0,-88000.0,-850000.0,-3383000.0,-4740000.0
Net PPE Purchase And Sale,-133575000.0,-17044000.0,-4539000.0,-9728000.0,-11019000.0
Sale Of PPE,-1000.0,,,,
Purchase Of PPE,-133574000.0,-17082000.0,-4539000.0,-9728000.0,-11019000.0
Operating Cash Flow,107887000.0,58684000.0,74073000.0,211796000.0,182258000.0
Taxes Refund Paid,-133000.0,-50629000.0,-158000.0,-269000.0,-49393000.0
Interest Received Cfo,1590000.0,1325000.0,1674000.0,2819000.0,2127000.0
Interest Paid Cfo,-1483000.0,-976000.0,-1011000.0,-1288000.0,-922000.0
Dividend Received Cfo,0.0,,,0.0,
Change In Working Capital,-9849000.0,33270000.0,-64503000.0,44146000.0,41933000.0
Change In Other Current Liabilities,-180000.0,1854000.0,-324000.0,-180000.0,-180000.0
Change In Other Current Assets,4494000.0,-15190000.0,3593000.0,-5314000.0,10570000.0
Change In Payable,-24184000.0,28124000.0,-5221000.0,14148000.0,11281000.0
Change In Prepaid Assets,354000.0,-641000.0,-1571000.0,3857000.0,4678000.0
Change In Inventory,17869000.0,-89440000.0,5736000.0,54552000.0,28590000.0
Change In Receivables,3031000.0,118510000.0,-56548000.0,-12232000.0,-6411000.0
Other Non Cash Items,11642000.0,19943000.0,21841000.0,33521000.0,17149000.0
Stock Based Compensation,22264000.0,1494000.0,1494000.0,3282000.0,3992000.0
Provisionand Write Offof Assets,-5287000.0,3895000.0,536000.0,488000.0,1109000.0
Depreciation And Amortization,20090000.0,19876000.0,19903000.0,19835000.0,19373000.0
Amortization Cash Flow,1144000.0,1098000.0,1090000.0,915000.0,721000.0
Depreciation,18946000.0,18778000.0,18813000.0,18920000.0,18652000.0
Gain Loss On Investment Securities,0.0,,,0.0,-31038000.0
Gain Loss On Sale Of PPE,102000.0,282000.0,782000.0,111000.0,0.0
Net Income From Continuing Operations,68951000.0,37069000.0,93515000.0,109151000.0,142963000.0
