,2026-03-31,2025-12-31,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,-200487774.38,-33078663.84,28120294.8,-130165492.11,-11512070.38
Repayment Of Debt,,-50000.0,,,-15000000.0
Issuance Of Debt,23976980.0,1319880.0,17161863.37,48667982.1,15000000.0
Capital Expenditure,-148074779.51,-66767339.49,-66818497.06,-99428494.5,-43140906.71
End Cash Position,482307365.68,662276542.21,635027381.98,654962379.62,750584577.01
Beginning Cash Position,662276542.21,697841646.22,654962379.62,750584577.01,241910663.59
Effect Of Exchange Rate Changes,-1812113.19,-1394999.77,984764.5,440338.24,-282807.7
Changes In Cash,-178157063.34,-34170104.24,-20919762.14,-96062535.63,508956721.12
Financing Cash Flow,22327171.22,-1787307.67,-45491859.54,44897248.52,518928955.9
Net Other Financing Charges,-905439.67,-1721528.83,-4591655.69,-3356296.3,519442632.0
Cash Dividends Paid,-744369.11,-1335658.84,-41662067.22,-414437.28,-513676.1
Net Issuance Payments Of Debt,23976980.0,1269880.0,761863.37,48667982.1,0.0
Net Long Term Debt Issuance,23976980.0,1269880.0,761863.37,48667982.1,0.0
Long Term Debt Payments,,-50000.0,,,-15000000.0
Long Term Debt Issuance,23976980.0,1319880.0,17161863.37,48667982.1,15000000.0
Investing Cash Flow,-148071239.69,-66071472.23,-70366694.46,-110222786.54,-41601071.11
Net Investment Purchase And Sale,,,,-12000000.0,
Purchase Of Investment,,,,-12000000.0,
Net Business Purchase And Sale,,0.0,,,
Purchase Of Business,,0.0,,,
Net PPE Purchase And Sale,-148071239.69,-66071472.23,-67504719.79,-98222786.54,-42001306.71
Sale Of PPE,3539.82,695867.26,-686222.73,1205707.96,1139600.0
Purchase Of PPE,-148074779.51,-66767339.49,-66818497.06,-99428494.5,-43140906.71
Operating Cash Flow,,,,,31628836.33
Change In Working Capital,,,,,-27876404.22
Change In Other Current Assets,,,,,192739.15
Change In Payable,,,,,-16655085.98
Change In Inventory,,,,,-10326356.6
Change In Receivables,,,,,-1087700.79
Other Non Cash Items,,,,,1644437.37
Depreciation And Amortization,,,,,10157542.97
Amortization Cash Flow,,,,,287130.53
Depreciation,,,,,9870412.44
Gain Loss On Sale Of PPE,,,,,394197.38
Net Income From Continuing Operations,,,,,38867743.57
Cash Flowsfromusedin Operating Activities Direct,-52412994.87,33688675.65,94938791.86,-30736997.61,31628836.33
Taxes Refund Paid Direct,-15096770.82,-20671547.6,-21202919.63,-4387799.09,-21759397.76
Classesof Cash Payments,-207644798.91,-156030145.55,-155566842.73,-184401815.98,-168558853.09
Other Cash Paymentsfrom Operating Activities,-16365628.23,-13587403.4,-13561468.62,-18818306.92,-16639852.11
Paymentson Behalfof Employees,-70319342.56,-57924347.8,-57950083.98,-71177484.0,-47492447.76
Paymentsto Suppliersfor Goodsand Services,-120959828.12,-84518394.35,-84055290.13,-94406025.06,-104426553.22
Classesof Cash Receiptsfrom Operating Activities,170328574.86,210390368.8,271708554.22,158052617.46,221947087.18
Other Cash Receiptsfrom Operating Activities,4100391.2,3007706.09,1173309.1,2352643.54,686518.35
Receiptsfrom Customers,166228183.66,207382662.71,270535245.12,155699973.92,221260568.83
