,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,-1784000.0,-1361000.0,-497000.0,-1141000.0,-1341000.0,,
Issuance Of Capital Stock,3680000.0,4354000.0,170000.0,5000.0,46000.0,,
Capital Expenditure,,,-96000.0,-1055000.0,-2648000.0,-1977000.0,-3987000.0
End Cash Position,6763000.0,4574000.0,1034000.0,1313000.0,2635000.0,,
Beginning Cash Position,4574000.0,1034000.0,1313000.0,2635000.0,3740000.0,,
Changes In Cash,2189000.0,3540000.0,-279000.0,-1322000.0,-1105000.0,,
Financing Cash Flow,3614000.0,4199000.0,100000.0,-63000.0,118000.0,,
Net Common Stock Issuance,3680000.0,4354000.0,170000.0,5000.0,46000.0,,
Common Stock Issuance,3680000.0,4354000.0,170000.0,5000.0,46000.0,,
Investing Cash Flow,359000.0,1621000.0,22000.0,-1173000.0,-2530000.0,,
Net Other Investing Changes,359000.0,,,,,,
Net Business Purchase And Sale,,,,,,0.0,
Purchase Of Business,,,,,,0.0,
Net Intangibles Purchase And Sale,,601000.0,-214000.0,-740000.0,-2048000.0,-1281000.0,
Purchase Of Intangibles,,601000.0,-214000.0,-740000.0,-2048000.0,-1281000.0,
Net PPE Purchase And Sale,,1020000.0,236000.0,-433000.0,-482000.0,-696000.0,
Sale Of PPE,,702000.0,,,118000.0,,
Purchase Of PPE,,318000.0,118000.0,-315000.0,-600000.0,-696000.0,
Operating Cash Flow,-1784000.0,-2280000.0,-401000.0,-86000.0,1307000.0,,
Taxes Refund Paid,-7000.0,-3000.0,-47000.0,-33000.0,-47000.0,,
Interest Received Cfo,,,,6000.0,8000.0,36000.0,
Interest Paid Cfo,-23000.0,116000.0,-26000.0,-27000.0,-28000.0,,
Change In Working Capital,-2675000.0,1339000.0,1485000.0,19000.0,1717000.0,,
Change In Other Current Assets,-359000.0,573000.0,58000.0,-1000.0,-33000.0,,
Change In Payable,-4895000.0,4945000.0,1575000.0,678000.0,553000.0,,
Change In Inventory,,,,,-1000.0,,
Change In Receivables,2579000.0,-4191000.0,-148000.0,-659000.0,1198000.0,,
Other Non Cash Items,23000.0,-25000.0,53000.0,20000.0,20000.0,,
Depreciation And Amortization,283000.0,277000.0,556000.0,712000.0,407000.0,,
Depreciation,283000.0,-109000.0,556000.0,712000.0,407000.0,,
Gain Loss On Investment Securities,-176000.0,,,,,,
Net Foreign Currency Exchange Gain Loss,,67000.0,0.0,0.0,2000.0,29000.0,
Gain Loss On Sale Of PPE,,875000.0,,,,,
Gain Loss On Sale Of Business,,,,,,-1000.0,
Net Income From Continuing Operations,1046000.0,-9671000.0,-2051000.0,-781000.0,-772000.0,,
