,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,-5872000.0,-47811000.0,-35615000.0,127949000.0,26347000.0,
Repurchase Of Capital Stock,-5000000.0,,,,0.0,
Issuance Of Capital Stock,0.0,0.0,0.0,465000.0,309000.0,
Capital Expenditure,-136000.0,-59000.0,,,-96000.0,-11000.0
Interest Paid Supplemental Data,0.0,5437000.0,0.0,5438000.0,0.0,
Income Tax Paid Supplemental Data,4000.0,,,,0.0,
End Cash Position,238949000.0,292854000.0,359136000.0,407212000.0,254246000.0,
Beginning Cash Position,292854000.0,359136000.0,407212000.0,254246000.0,222290000.0,
Changes In Cash,-53905000.0,-66282000.0,-48076000.0,152966000.0,31956000.0,
Financing Cash Flow,-41574000.0,-1855000.0,0.0,465000.0,309000.0,
Cash Flow From Continuing Financing Activities,-41574000.0,-1855000.0,0.0,465000.0,309000.0,
Cash Dividends Paid,-36574000.0,,,,0.0,
Common Stock Dividend Paid,-36574000.0,,,,0.0,
Net Common Stock Issuance,-5000000.0,0.0,0.0,465000.0,309000.0,
Common Stock Payments,-5000000.0,,,,0.0,
Common Stock Issuance,0.0,0.0,0.0,465000.0,309000.0,
Investing Cash Flow,-6595000.0,-16675000.0,-12461000.0,24552000.0,5204000.0,
Cash Flow From Continuing Investing Activities,-6595000.0,-16675000.0,-12461000.0,24552000.0,5204000.0,
Net Investment Purchase And Sale,-6459000.0,-16616000.0,-12461000.0,20057000.0,5300000.0,
Sale Of Investment,3931000.0,20439000.0,56953000.0,65746000.0,20686000.0,
Purchase Of Investment,-10390000.0,-37055000.0,-69414000.0,-45689000.0,-15386000.0,
Net Business Purchase And Sale,,0.0,0.0,,,0.0
Sale Of Business,,0.0,0.0,,,
Purchase Of Business,,,,,,0.0
Net PPE Purchase And Sale,-136000.0,-59000.0,0.0,0.0,-96000.0,
Sale Of PPE,,,,,,0.0
Purchase Of PPE,-136000.0,-59000.0,0.0,0.0,-96000.0,
Operating Cash Flow,-5736000.0,-47752000.0,-35615000.0,127949000.0,26443000.0,
Cash Flow From Continuing Operating Activities,-5736000.0,-47752000.0,-35615000.0,127949000.0,26443000.0,
Change In Working Capital,-23868000.0,-75531000.0,-70613000.0,92312000.0,-1019000.0,
Change In Other Current Liabilities,-75000.0,-287000.0,-186000.0,-109000.0,-366000.0,
Change In Other Current Assets,11000.0,-956000.0,417000.0,269000.0,1833000.0,
Change In Payables And Accrued Expense,-20123000.0,-64946000.0,-84217000.0,172884000.0,-54867000.0,
Change In Payable,-20123000.0,-64946000.0,-84217000.0,172884000.0,-54867000.0,
Change In Account Payable,-20123000.0,-64946000.0,-84217000.0,172884000.0,-54867000.0,
Change In Prepaid Assets,18975000.0,74669000.0,72406000.0,-135634000.0,41826000.0,
Change In Receivables,9870000.0,-24047000.0,48535000.0,41085000.0,44255000.0,
Changes In Account Receivables,9870000.0,-24047000.0,48535000.0,41085000.0,44255000.0,
Other Non Cash Items,6000.0,1299000.0,-4000.0,-11000.0,14000.0,
Stock Based Compensation,1129000.0,1048000.0,1047000.0,1471000.0,733000.0,
Unrealized Gain Loss On Investment Securities,-528000.0,-1570000.0,-3161000.0,-2231000.0,1963000.0,
Amortization Of Securities,137000.0,367000.0,135000.0,181000.0,165000.0,
Deferred Tax,-2721000.0,-1457000.0,2871000.0,5974000.0,2896000.0,
Deferred Income Tax,-2721000.0,-1457000.0,2871000.0,5974000.0,2896000.0,
Depreciation And Amortization,861000.0,1527000.0,1629000.0,1691000.0,1722000.0,
Operating Gains Losses,-6000.0,1000.0,-2000.0,2120000.0,-1379000.0,
Gain Loss On Investment Securities,-6000.0,1000.0,-2000.0,1792000.0,-1379000.0,
Gain Loss On Sale Of Business,,0.0,0.0,,,0.0
Net Income From Continuing Operations,19254000.0,26564000.0,32483000.0,26442000.0,21348000.0,
