,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,220000000.0,-142000000.0,261000000.0,100000000.0,53000000.0,,
Repayment Of Debt,-876000000.0,-1129000000.0,-840000000.0,-552000000.0,-303000000.0,,
Issuance Of Debt,866000000.0,1120000000.0,288000000.0,345000000.0,303000000.0,,
Capital Expenditure,-5000000.0,-6000000.0,-9000000.0,-6000000.0,-4000000.0,,
Interest Paid Supplemental Data,83000000.0,47000000.0,112000000.0,61000000.0,94000000.0,,
Income Tax Paid Supplemental Data,15000000.0,3000000.0,40000000.0,27000000.0,34000000.0,,
End Cash Position,428000000.0,247000000.0,437000000.0,738000000.0,546000000.0,,
Beginning Cash Position,247000000.0,437000000.0,738000000.0,546000000.0,522000000.0,,
Effect Of Exchange Rate Changes,-2000000.0,-1000000.0,-4000000.0,14000000.0,10000000.0,,
Changes In Cash,183000000.0,-189000000.0,-297000000.0,178000000.0,14000000.0,,
Financing Cash Flow,-24000000.0,-20000000.0,-559000000.0,-203000000.0,-12000000.0,,
Cash Flow From Continuing Financing Activities,-24000000.0,-20000000.0,-559000000.0,-203000000.0,-12000000.0,,
Net Other Financing Charges,-14000000.0,-11000000.0,-7000000.0,4000000.0,-12000000.0,,
Net Issuance Payments Of Debt,-10000000.0,-9000000.0,-552000000.0,-207000000.0,0.0,,
Net Long Term Debt Issuance,-10000000.0,-9000000.0,-552000000.0,-207000000.0,0.0,,
Long Term Debt Payments,-876000000.0,-1129000000.0,-840000000.0,-552000000.0,-303000000.0,,
Long Term Debt Issuance,866000000.0,1120000000.0,288000000.0,345000000.0,303000000.0,,
Investing Cash Flow,-18000000.0,-33000000.0,-8000000.0,275000000.0,-31000000.0,,
Cash Flow From Continuing Investing Activities,-18000000.0,-33000000.0,-8000000.0,275000000.0,-31000000.0,,
Net Other Investing Changes,,,-5000000.0,1000000.0,0.0,1000000.0,-88000000.0
Net Business Purchase And Sale,-11000000.0,-27000000.0,6000000.0,279000000.0,-26000000.0,,
Sale Of Business,7000000.0,15000000.0,26000000.0,357000000.0,1000000.0,,
Purchase Of Business,-18000000.0,-42000000.0,-20000000.0,-78000000.0,-27000000.0,,
Net PPE Purchase And Sale,-5000000.0,-6000000.0,-9000000.0,-6000000.0,-4000000.0,,
Purchase Of PPE,-5000000.0,-6000000.0,-9000000.0,-6000000.0,-4000000.0,,
Operating Cash Flow,225000000.0,-136000000.0,270000000.0,106000000.0,57000000.0,,
Cash Flow From Continuing Operating Activities,225000000.0,-136000000.0,270000000.0,106000000.0,57000000.0,,
Dividend Received Cfo,29000000.0,25000000.0,,22000000.0,14000000.0,21000000.0,
Change In Working Capital,53000000.0,-296000000.0,75000000.0,-9000000.0,-94000000.0,,
Change In Other Current Liabilities,9000000.0,-12000000.0,-33000000.0,-6000000.0,-10000000.0,,
Change In Payables And Accrued Expense,-61000000.0,-277000000.0,110000000.0,29000000.0,-20000000.0,,
Change In Accrued Expense,90000000.0,-178000000.0,,,-40000000.0,-6000000.0,31000000.0
Change In Payable,-151000000.0,-99000000.0,82000000.0,-17000000.0,20000000.0,,
Change In Account Payable,-151000000.0,-99000000.0,82000000.0,-17000000.0,20000000.0,,
Change In Prepaid Assets,10000000.0,41000000.0,6000000.0,4000000.0,36000000.0,,
Change In Receivables,95000000.0,-48000000.0,-17000000.0,-27000000.0,-100000000.0,,
Changes In Account Receivables,95000000.0,-48000000.0,-17000000.0,-27000000.0,-100000000.0,,
Other Non Cash Items,19000000.0,2000000.0,17000000.0,-7000000.0,13000000.0,,
Stock Based Compensation,,7000000.0,6000000.0,7000000.0,5000000.0,3000000.0,
Asset Impairment Charge,,,,,,,0.0
Deferred Tax,1000000.0,-3000000.0,-3000000.0,-33000000.0,4000000.0,,
Deferred Income Tax,1000000.0,-3000000.0,-3000000.0,-33000000.0,4000000.0,,
Depreciation Amortization Depletion,100000000.0,106000000.0,132000000.0,129000000.0,129000000.0,,
Depreciation And Amortization,100000000.0,106000000.0,132000000.0,129000000.0,129000000.0,,
Amortization Cash Flow,94000000.0,94000000.0,121000000.0,118000000.0,120000000.0,,
Amortization Of Intangibles,94000000.0,94000000.0,121000000.0,118000000.0,120000000.0,,
Depreciation,6000000.0,12000000.0,11000000.0,11000000.0,9000000.0,,
Operating Gains Losses,-24000000.0,-21000000.0,63000000.0,-10000000.0,-8000000.0,,
Earnings Losses From Equity Investments,-24000000.0,-21000000.0,-15000000.0,-18000000.0,-8000000.0,,
Gain Loss On Investment Securities,,,78000000.0,2000000.0,3000000.0,3000000.0,
Net Income From Continuing Operations,54000000.0,44000000.0,37000000.0,-1000000.0,2000000.0,,
