,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,-14858000.0,-8554000.0,-12884000.0,-8021000.0,-23535000.0,
Repayment Of Debt,-8000.0,-5000.0,-7000.0,-8000.0,-6000.0,
Issuance Of Capital Stock,4759000.0,-301000.0,79719000.0,-124000.0,21360000.0,
Capital Expenditure,-52000.0,-85000.0,-235000.0,-107000.0,-135000.0,
Interest Paid Supplemental Data,1524000.0,1524000.0,1524000.0,1525000.0,1525000.0,
Income Tax Paid Supplemental Data,,0.0,0.0,,,0.0
End Cash Position,110734000.0,121169000.0,129063000.0,60536000.0,68657000.0,
Beginning Cash Position,121169000.0,129063000.0,60536000.0,68657000.0,71546000.0,
Changes In Cash,-10435000.0,-7894000.0,68527000.0,-8121000.0,-2889000.0,
Financing Cash Flow,4423000.0,660000.0,81411000.0,-100000.0,20646000.0,
Cash Flow From Continuing Financing Activities,4423000.0,660000.0,81411000.0,-100000.0,20646000.0,
Net Other Financing Charges,-329000.0,-18000.0,-70000.0,-25000.0,-708000.0,
Proceeds From Stock Option Exercised,1000.0,984000.0,1769000.0,57000.0,0.0,
Net Common Stock Issuance,4759000.0,-301000.0,79719000.0,-124000.0,21360000.0,
Common Stock Issuance,4759000.0,-301000.0,79719000.0,-124000.0,21360000.0,
Net Issuance Payments Of Debt,-8000.0,-5000.0,-7000.0,-8000.0,-6000.0,
Net Long Term Debt Issuance,-8000.0,-5000.0,-7000.0,-8000.0,-6000.0,
Long Term Debt Payments,-8000.0,-5000.0,-7000.0,-8000.0,-6000.0,
Investing Cash Flow,-52000.0,-85000.0,-235000.0,-107000.0,-135000.0,
Cash Flow From Continuing Investing Activities,-52000.0,-85000.0,-235000.0,-107000.0,-135000.0,
Capital Expenditure Reported,-52000.0,-85000.0,-235000.0,-107000.0,-135000.0,
Operating Cash Flow,-14806000.0,-8469000.0,-12649000.0,-7914000.0,-23400000.0,
Cash Flow From Continuing Operating Activities,-14806000.0,-8469000.0,-12649000.0,-7914000.0,-23400000.0,
Change In Working Capital,-12388000.0,19135000.0,-2878000.0,919000.0,-4992000.0,
Change In Other Working Capital,-272000.0,-272000.0,-273000.0,235000.0,-261000.0,
Change In Payables And Accrued Expense,-20776000.0,24337000.0,-1188000.0,277000.0,-871000.0,
Change In Accrued Expense,-2803000.0,5090000.0,118000.0,600000.0,-2776000.0,
Change In Payable,-17973000.0,19247000.0,-1306000.0,-323000.0,1905000.0,
Change In Account Payable,-17973000.0,19247000.0,-1306000.0,-323000.0,1905000.0,
Change In Prepaid Assets,-340000.0,-685000.0,-1721000.0,2681000.0,423000.0,
Change In Inventory,-1896000.0,1714000.0,241000.0,-927000.0,-1154000.0,
Change In Receivables,10896000.0,-5959000.0,63000.0,-1347000.0,-3129000.0,
Other Non Cash Items,3208000.0,2750000.0,2759000.0,2691000.0,2796000.0,
Stock Based Compensation,2318000.0,1376000.0,2777000.0,1884000.0,1587000.0,
Depreciation Amortization Depletion,113000.0,130000.0,139000.0,140000.0,139000.0,
Depreciation And Amortization,113000.0,130000.0,139000.0,140000.0,139000.0,
Amortization Cash Flow,,,,,,0.0
Amortization Of Intangibles,,,,,,0.0
Depreciation,113000.0,130000.0,139000.0,140000.0,139000.0,
Net Income From Continuing Operations,-8057000.0,-31860000.0,-15446000.0,-13548000.0,-22930000.0,
