,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,236096.0,-1410466.0,-7445833.0,-1434850.0,-6967383.0
Issuance Of Debt,-6422061.0,3457015.0,2355000.0,1450000.0,150354299.0
End Cash Position,37893065.0,6700475.0,3904410.0,154403043.0,155366868.0
Beginning Cash Position,6700475.0,3904410.0,154403043.0,4113329.0,161651732.0
Changes In Cash,31192590.0,2796065.0,-150498633.0,150289714.0,-6284988.0
Financing Cash Flow,71931272.0,3235652.0,5903866.0,76799.0,1325194.0
Cash Flow From Continuing Financing Activities,71931272.0,3235652.0,5903866.0,76799.0,1325194.0
Net Other Financing Charges,2704658.0,-221363.0,3548866.0,-1373201.0,
Proceeds From Stock Option Exercised,7525000.0,0.0,0.0,0.0,0.0
Net Issuance Payments Of Debt,-6422061.0,3457015.0,2355000.0,1450000.0,155916217.0
Net Long Term Debt Issuance,-6422061.0,3457015.0,2355000.0,1450000.0,150449891.0
Long Term Debt Issuance,-6422061.0,3457015.0,2355000.0,1450000.0,150449891.0
Investing Cash Flow,-43291350.0,96829.0,-148956666.0,151647765.0,-1701861.0
Cash Flow From Continuing Investing Activities,-43291350.0,96829.0,-148956666.0,151647765.0,-1701861.0
Net Investment Purchase And Sale,-42985295.0,153074215.0,-149102013.0,151489266.0,-476570.0
Sale Of Investment,-155461467.0,3332059.0,341185.0,151788224.0,-476570.0
Purchase Of Investment,112476172.0,-2057334.0,,,
Net PPE Purchase And Sale,-306055.0,-1177896.0,145347.0,158499.0,-1225291.0
Sale Of PPE,,-303846.0,145347.0,158499.0,-166229.0
Capital Expenditure Reported,,,,158499.0,
Operating Cash Flow,273393.0,-536416.0,-7445833.0,-1434850.0,-5908321.0
Cash Flow From Continuing Operating Activities,273393.0,-536416.0,-7445832.0,-1434851.0,-5908322.0
Change In Working Capital,-12121777.0,3878027.0,-895949.0,3467494.0,8375177.0
Change In Other Working Capital,-983337.0,-701073.0,1541456.0,-358019.0,-205201.0
Change In Other Current Liabilities,,26230.0,,,-47055.0
Change In Payables And Accrued Expense,-7301222.0,3986115.0,-1866745.0,3995824.0,7436119.0
Change In Accrued Expense,-1944273.0,1768149.0,-1800679.0,2521888.0,2150169.0
Change In Interest Payable,-1395286.0,1546174.0,-1541906.0,2520210.0,1614379.0
Change In Payable,-5356949.0,2217966.0,-66066.0,1473936.0,5285950.0
Change In Account Payable,-5356949.0,2217966.0,-66066.0,1473936.0,5285950.0
Change In Prepaid Assets,-1995781.0,603456.0,-641403.0,18619.0,582175.0
Change In Inventory,,0.0,0.0,-118300.0,1145814.0
Change In Receivables,-1918538.0,-36701.0,55773.0,-70630.0,-536675.0
Changes In Account Receivables,-1958538.0,10299.0,8773.0,-30630.0,-6675.0
Other Non Cash Items,3887508.0,1604487.0,283340.0,277204.0,275562.0
Stock Based Compensation,7408105.0,,,518624.0,1213590.0
Unrealized Gain Loss On Investment Securities,,-518.0,518.0,4455.0,40541.0
Provisionand Write Offof Assets,0.0,0.0,,,
Depreciation Amortization Depletion,-2709586.0,949953.0,940003.0,942546.0,2271118.0
Depreciation And Amortization,-2709586.0,949953.0,940003.0,942546.0,2271118.0
Depreciation,-2709586.0,949953.0,940003.0,942546.0,2271118.0
Operating Gains Losses,27265.0,-1101833.0,1133778.0,10866.0,13064.0
Earnings Losses From Equity Investments,27265.0,8979.0,22966.0,10866.0,13064.0
Gain Loss On Sale Of PPE,,0.0,0.0,0.0,0.0
Net Income From Continuing Operations,3786334.0,-7693807.0,-8668899.0,-6656039.0,-18287373.0
