,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,2239000.0,26185000.0,-1754000.0,-9754000.0,-30988000.0,
Issuance Of Capital Stock,,0.0,0.0,0.0,0.0,0.0
Capital Expenditure,,,,-10078000.0,-608000.0,-5000000.0
Interest Paid Supplemental Data,2906000.0,2540000.0,2623000.0,2596000.0,2568000.0,
End Cash Position,35070000.0,43215000.0,47428000.0,73048000.0,53721000.0,
Beginning Cash Position,43215000.0,47428000.0,73048000.0,53721000.0,71952000.0,
Effect Of Exchange Rate Changes,-119000.0,59000.0,-95000.0,200000.0,4000.0,
Changes In Cash,-8026000.0,-4272000.0,-25525000.0,19127000.0,-18235000.0,
Financing Cash Flow,1067000.0,3722000.0,1476000.0,1380000.0,395000.0,
Cash Flow From Continuing Financing Activities,1067000.0,3722000.0,1476000.0,1380000.0,395000.0,
Proceeds From Stock Option Exercised,1067000.0,3722000.0,1476000.0,1380000.0,395000.0,
Net Common Stock Issuance,,0.0,0.0,0.0,0.0,0.0
Common Stock Issuance,,0.0,0.0,0.0,0.0,0.0
Investing Cash Flow,-11332000.0,-34179000.0,-25247000.0,17423000.0,11750000.0,
Cash Flow From Continuing Investing Activities,-11332000.0,-34179000.0,-25247000.0,17423000.0,11750000.0,
Net Investment Purchase And Sale,-11332000.0,-34179000.0,-25247000.0,27501000.0,12358000.0,
Sale Of Investment,50821000.0,55001000.0,43297000.0,60653000.0,68468000.0,
Purchase Of Investment,-62153000.0,-89180000.0,-68544000.0,-33152000.0,-56110000.0,
Net Intangibles Purchase And Sale,,0.0,0.0,,,
Purchase Of Intangibles,,0.0,0.0,,,
Net PPE Purchase And Sale,0.0,0.0,0.0,-78000.0,-608000.0,
Purchase Of PPE,0.0,0.0,0.0,-78000.0,-608000.0,
Operating Cash Flow,2239000.0,26185000.0,-1754000.0,324000.0,-30380000.0,
Cash Flow From Continuing Operating Activities,2239000.0,26185000.0,-1754000.0,324000.0,-30380000.0,
Change In Working Capital,1789000.0,-2326000.0,-19944000.0,5128000.0,-17687000.0,
Change In Other Current Liabilities,-137000.0,-126000.0,-150000.0,-204000.0,-200000.0,
Change In Payables And Accrued Expense,26381000.0,30183000.0,-3714000.0,21786000.0,95000.0,
Change In Accrued Expense,20768000.0,23452000.0,5574000.0,21232000.0,-214000.0,
Change In Payable,5613000.0,6731000.0,-9288000.0,554000.0,309000.0,
Change In Account Payable,5613000.0,6731000.0,-9288000.0,554000.0,309000.0,
Change In Prepaid Assets,-11728000.0,-1265000.0,-1760000.0,4300000.0,-3282000.0,
Change In Inventory,-14579000.0,-5000.0,-5891000.0,518000.0,-1951000.0,
Change In Receivables,1852000.0,-31113000.0,-8429000.0,-21272000.0,-12349000.0,
Changes In Account Receivables,1852000.0,-31113000.0,-8429000.0,-21272000.0,-12349000.0,
Other Non Cash Items,675000.0,482000.0,732000.0,725000.0,469000.0,
Stock Based Compensation,10690000.0,10060000.0,10037000.0,10489000.0,9778000.0,
Amortization Of Securities,-182000.0,11000.0,-551000.0,-695000.0,-859000.0,
Depreciation Amortization Depletion,562000.0,563000.0,562000.0,563000.0,2979000.0,
Depreciation And Amortization,562000.0,563000.0,562000.0,563000.0,2979000.0,
Amortization Cash Flow,562000.0,563000.0,562000.0,563000.0,2979000.0,
Amortization Of Intangibles,562000.0,563000.0,562000.0,563000.0,2979000.0,
Depreciation,,,,,153000.0,145000.0
Operating Gains Losses,,,,,-210000.0,150000.0
Gain Loss On Investment Securities,,,,,-210000.0,150000.0
Net Income From Continuing Operations,-11295000.0,17395000.0,7410000.0,-15886000.0,-25060000.0,
