,2026-01-31,2025-10-31,2025-07-31,2025-04-30,2025-01-31,2024-10-31
Free Cash Flow,-14900000.0,55600000.0,22600000.0,-25000000.0,-16000000.0,
Repurchase Of Capital Stock,0.0,-600000.0,0.0,-5200000.0,-300000.0,
Repayment Of Debt,-12100000.0,-39600000.0,-20600000.0,-11100000.0,-14700000.0,
Issuance Of Debt,10000000.0,4900000.0,5200000.0,40000000.0,15000000.0,
Capital Expenditure,-11900000.0,-11600000.0,-11800000.0,-13200000.0,-14800000.0,
End Cash Position,47400000.0,66500000.0,46600000.0,39000000.0,42200000.0,
Beginning Cash Position,66500000.0,46600000.0,39000000.0,42200000.0,59300000.0,
Effect Of Exchange Rate Changes,100000.0,-100000.0,300000.0,-200000.0,0.0,
Changes In Cash,-19200000.0,20000000.0,7300000.0,-3000000.0,-17100000.0,
Financing Cash Flow,-4400000.0,-35300000.0,-15300000.0,22100000.0,-1000000.0,
Cash Flow From Continuing Financing Activities,-4400000.0,-35300000.0,-15300000.0,22100000.0,-1000000.0,
Net Other Financing Charges,-2300000.0,0.0,100000.0,-1600000.0,-1300000.0,
Proceeds From Stock Option Exercised,0.0,0.0,0.0,0.0,300000.0,
Net Common Stock Issuance,0.0,-600000.0,0.0,-5200000.0,-300000.0,
Common Stock Payments,0.0,-600000.0,0.0,-5200000.0,-300000.0,
Net Issuance Payments Of Debt,-2100000.0,-34700000.0,-15400000.0,28900000.0,300000.0,
Net Short Term Debt Issuance,1500000.0,-33500000.0,-13600000.0,30000000.0,1500000.0,
Short Term Debt Payments,-8500000.0,-38400000.0,-18800000.0,-10000000.0,-13500000.0,
Short Term Debt Issuance,10000000.0,4900000.0,5200000.0,40000000.0,15000000.0,
Net Long Term Debt Issuance,-3600000.0,-1200000.0,-1800000.0,-1100000.0,-1200000.0,
Long Term Debt Payments,-3600000.0,-1200000.0,-1800000.0,-1100000.0,-1200000.0,
Investing Cash Flow,-11800000.0,-11900000.0,-11800000.0,-13300000.0,-14900000.0,
Cash Flow From Continuing Investing Activities,-11800000.0,-11900000.0,-11800000.0,-13300000.0,-14900000.0,
Net Other Investing Changes,,-400000.0,0.0,-100000.0,-100000.0,400000.0
Net Investment Purchase And Sale,,,,,,0.0
Purchase Of Investment,,,,,,0.0
Net Business Purchase And Sale,,0.0,0.0,,,-1000000.0
Purchase Of Business,,0.0,0.0,,,-1000000.0
Net PPE Purchase And Sale,-11800000.0,-11500000.0,-11800000.0,-13200000.0,-14800000.0,
Sale Of PPE,100000.0,100000.0,,,0.0,0.0
Purchase Of PPE,-11900000.0,-11600000.0,-11800000.0,-13200000.0,-14800000.0,
Operating Cash Flow,-3000000.0,67200000.0,34400000.0,-11800000.0,-1200000.0,
Cash Flow From Continuing Operating Activities,-3000000.0,66400000.0,35200000.0,-11800000.0,-1200000.0,
Dividend Received Cfo,,0.0,2200000.0,2200000.0,0.0,0.0
Change In Working Capital,-14200000.0,33400000.0,7400000.0,-29400000.0,-18600000.0,
Change In Other Current Liabilities,-3100000.0,-600000.0,-400000.0,-3700000.0,-2700000.0,
Change In Other Current Assets,-1200000.0,-600000.0,600000.0,-3700000.0,-4000000.0,
Change In Payables And Accrued Expense,20700000.0,-8200000.0,-10600000.0,-22000000.0,24100000.0,
Change In Payable,20700000.0,-8200000.0,-10600000.0,-22000000.0,24100000.0,
Change In Account Payable,14800000.0,800000.0,10000000.0,-17000000.0,18500000.0,
Change In Tax Payable,-3600000.0,1400000.0,4100000.0,-2900000.0,-4800000.0,
Change In Income Tax Payable,-3600000.0,1400000.0,4100000.0,-2900000.0,-4800000.0,
Change In Prepaid Assets,-1100000.0,1800000.0,-1100000.0,1400000.0,-2300000.0,
Change In Inventory,-18800000.0,22900000.0,7500000.0,12200000.0,-31500000.0,
Change In Receivables,-10700000.0,18100000.0,11400000.0,-13600000.0,-2200000.0,
Changes In Account Receivables,-10400000.0,14900000.0,18000000.0,-13300000.0,-5000000.0,
Other Non Cash Items,1600000.0,1700000.0,500000.0,2200000.0,1800000.0,
Stock Based Compensation,1400000.0,3200000.0,1700000.0,1900000.0,2000000.0,
Provisionand Write Offof Assets,,,,,,100000.0
Asset Impairment Charge,0.0,1000000.0,1100000.0,1700000.0,100000.0,
Deferred Tax,-200000.0,2200000.0,-100000.0,-200000.0,0.0,
Deferred Income Tax,-200000.0,2200000.0,-100000.0,-200000.0,0.0,
Depreciation Amortization Depletion,9200000.0,10500000.0,8400000.0,7000000.0,8700000.0,
Depreciation And Amortization,9200000.0,10500000.0,8400000.0,7000000.0,8700000.0,
Operating Gains Losses,-700000.0,-1500000.0,-1300000.0,-200000.0,-1400000.0,
Earnings Losses From Equity Investments,-1500000.0,-1700000.0,-2000000.0,-900000.0,-800000.0,
Gain Loss On Investment Securities,,,,200000.0,-100000.0,0.0
Net Foreign Currency Exchange Gain Loss,800000.0,200000.0,,,-500000.0,-1100000.0
Net Income From Continuing Operations,-100000.0,16800000.0,14500000.0,3000000.0,6200000.0,
