,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,-582000.0,31079000.0,13135000.0,25631000.0,-13295000.0,
Repurchase Of Capital Stock,-5009000.0,,,,0.0,
Repayment Of Debt,-33500000.0,-26164000.0,-16000.0,-13530000.0,-15000000.0,
Issuance Of Debt,84000000.0,0.0,0.0,13500000.0,15000000.0,
Capital Expenditure,-9350000.0,-7535000.0,-9104000.0,-6090000.0,-10212000.0,
Interest Paid Supplemental Data,,,,,,670000.0
Income Tax Paid Supplemental Data,,,-258000.0,,,603000.0
End Cash Position,47469000.0,103160000.0,73698000.0,60395000.0,36155000.0,
Beginning Cash Position,103160000.0,73698000.0,60395000.0,36155000.0,82234000.0,
Effect Of Exchange Rate Changes,-840000.0,-156000.0,-941000.0,781000.0,-124000.0,
Changes In Cash,-54851000.0,29618000.0,14244000.0,23459000.0,-45955000.0,
Financing Cash Flow,-59757000.0,8000.0,-9000.0,-34000.0,-29033000.0,
Cash Flow From Continuing Financing Activities,-59757000.0,8000.0,-9000.0,-34000.0,-29033000.0,
Net Other Financing Charges,-105248000.0,26143000.0,-27000.0,-50000.0,-29033000.0,
Proceeds From Stock Option Exercised,,29000.0,34000.0,37000.0,9000.0,39000.0
Net Common Stock Issuance,-5009000.0,,,,0.0,
Common Stock Payments,-5009000.0,,,,0.0,
Net Issuance Payments Of Debt,50500000.0,-26164000.0,-16000.0,-30000.0,0.0,
Net Long Term Debt Issuance,50500000.0,-26164000.0,-16000.0,-30000.0,0.0,
Long Term Debt Payments,-33500000.0,-26164000.0,-16000.0,-13530000.0,-15000000.0,
Long Term Debt Issuance,84000000.0,0.0,0.0,13500000.0,15000000.0,
Investing Cash Flow,-3862000.0,-9004000.0,-7986000.0,-8228000.0,-13839000.0,
Cash Flow From Continuing Investing Activities,-3862000.0,-9004000.0,-7986000.0,-8228000.0,-13839000.0,
Net Investment Purchase And Sale,5488000.0,-1469000.0,963000.0,-2241000.0,-3730000.0,
Sale Of Investment,7467000.0,1978000.0,2941000.0,3744000.0,987000.0,
Purchase Of Investment,-1979000.0,-3447000.0,-1978000.0,-5985000.0,-4717000.0,
Net Business Purchase And Sale,0.0,0.0,155000.0,103000.0,103000.0,
Sale Of Business,0.0,0.0,155000.0,103000.0,103000.0,
Net Intangibles Purchase And Sale,,0.0,,,,0.0
Sale Of Intangibles,,0.0,,,,0.0
Net PPE Purchase And Sale,-7092000.0,-5073000.0,-6250000.0,-3570000.0,-7368000.0,
Sale Of PPE,,0.0,,,,0.0
Purchase Of PPE,-7092000.0,-5073000.0,-6250000.0,-3570000.0,-7368000.0,
Capital Expenditure Reported,-2258000.0,-2462000.0,-2854000.0,-2520000.0,-2844000.0,
Operating Cash Flow,8768000.0,38614000.0,22239000.0,31721000.0,-3083000.0,
Cash Flow From Continuing Operating Activities,8768000.0,38614000.0,22239000.0,31721000.0,-3083000.0,
Change In Working Capital,-17523000.0,13455000.0,-5752000.0,10728000.0,-23681000.0,
Change In Other Current Liabilities,-908000.0,-999000.0,-958000.0,-930000.0,942000.0,
Change In Payables And Accrued Expense,-2620000.0,9395000.0,2675000.0,9267000.0,-19004000.0,
Change In Accrued Expense,6625000.0,1955000.0,-11202000.0,6582000.0,-8072000.0,
Change In Payable,-9245000.0,7440000.0,13877000.0,2685000.0,-10932000.0,
Change In Account Payable,-9245000.0,7440000.0,13877000.0,2685000.0,-10932000.0,
Change In Prepaid Assets,-4004000.0,3085000.0,-3302000.0,3901000.0,-5366000.0,
Change In Receivables,-9991000.0,1974000.0,-4167000.0,-1510000.0,-253000.0,
Changes In Account Receivables,-9991000.0,1974000.0,-4167000.0,-1510000.0,-253000.0,
Other Non Cash Items,1098000.0,1244000.0,1197000.0,1211000.0,1118000.0,
Stock Based Compensation,12990000.0,13884000.0,12328000.0,12545000.0,13575000.0,
Deferred Tax,-2019000.0,-1075000.0,1867000.0,-1147000.0,-1776000.0,
Deferred Income Tax,-2019000.0,-1075000.0,1867000.0,-1147000.0,-1776000.0,
Depreciation Amortization Depletion,17387000.0,14106000.0,13840000.0,13315000.0,12503000.0,
Depreciation And Amortization,17387000.0,14106000.0,13840000.0,13315000.0,12503000.0,
Amortization Cash Flow,7604000.0,,,4565000.0,4287000.0,
Amortization Of Intangibles,7604000.0,,,4565000.0,4287000.0,
Depreciation,9783000.0,,,8750000.0,8216000.0,
Operating Gains Losses,-7283000.0,0.0,0.0,0.0,-1082000.0,
Gain Loss On Sale Of PPE,,0.0,,,,0.0
Net Income From Continuing Operations,4118000.0,-3000000.0,-1241000.0,-4931000.0,-3740000.0,
