,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,-121300000.0,83600000.0,106500000.0,271300000.0,-65100000.0,,
Repurchase Of Capital Stock,-16200000.0,-15000000.0,-21900000.0,-17500000.0,-25600000.0,,
Repayment Of Debt,-1200000.0,34500000.0,-107100000.0,-212400000.0,-127600000.0,,
Issuance Of Debt,195000000.0,-119500000.0,25000000.0,1400000.0,266200000.0,,
Capital Expenditure,-57200000.0,-49300000.0,-33900000.0,-44900000.0,-37700000.0,,
Interest Paid Supplemental Data,41800000.0,,,,46400000.0,,
Income Tax Paid Supplemental Data,16500000.0,,,,2600000.0,,
End Cash Position,277800000.0,256800000.0,297700000.0,315700000.0,286700000.0,,
Other Cash Adjustment Outside Changein Cash,-10700000.0,-200000.0,300000.0,-200000.0,-18000000.0,,
Beginning Cash Position,274900000.0,297700000.0,315700000.0,286700000.0,285900000.0,,
Effect Of Exchange Rate Changes,-600000.0,-1500000.0,1000000.0,6900000.0,3300000.0,,
Changes In Cash,14200000.0,-39200000.0,-19300000.0,22300000.0,15500000.0,,
Financing Cash Flow,133500000.0,-128000000.0,-132200000.0,-258900000.0,77900000.0,,
Cash Flow From Continuing Financing Activities,133500000.0,-128000000.0,-132200000.0,-258900000.0,77900000.0,,
Net Other Financing Charges,-15400000.0,0.0,-200000.0,-2000000.0,-6900000.0,,
Cash Dividends Paid,-28700000.0,-28000000.0,-28000000.0,-28400000.0,-28200000.0,,
Common Stock Dividend Paid,-28700000.0,-28000000.0,-28000000.0,-28400000.0,-28200000.0,,
Net Common Stock Issuance,-16200000.0,-15000000.0,-21900000.0,-17500000.0,-25600000.0,,
Common Stock Payments,-16200000.0,-15000000.0,-21900000.0,-17500000.0,-25600000.0,,
Net Issuance Payments Of Debt,193800000.0,-85000000.0,-82100000.0,-211000000.0,138600000.0,,
Net Short Term Debt Issuance,195000000.0,199200000.0,-81000000.0,-209800000.0,264700000.0,,
Short Term Debt Payments,0.0,,-106000000.0,-211200000.0,-1500000.0,-80000000.0,
Short Term Debt Issuance,195000000.0,-119500000.0,25000000.0,1400000.0,266200000.0,,
Net Long Term Debt Issuance,-1200000.0,-284200000.0,-1100000.0,-1200000.0,-126100000.0,,
Long Term Debt Payments,-1200000.0,-284200000.0,-1100000.0,-1200000.0,-126100000.0,,
Long Term Debt Issuance,,0.0,0.0,0.0,0.0,0.0,
Investing Cash Flow,-55200000.0,-44100000.0,-27500000.0,-35000000.0,-35000000.0,,
Cash Flow From Continuing Investing Activities,-55200000.0,-44100000.0,-27500000.0,-35000000.0,-35000000.0,,
Net Other Investing Changes,,,0.0,3200000.0,2100000.0,,
Net Investment Purchase And Sale,-2700000.0,6300000.0,4600000.0,3300000.0,-2800000.0,,
Sale Of Investment,,6300000.0,4600000.0,,,-900000.0,86400000.0
Purchase Of Investment,,0.0,0.0,,,0.0,0.0
Net Business Purchase And Sale,,400000.0,-200000.0,0.0,0.0,9500000.0,
Purchase Of Business,,0.0,-200000.0,0.0,0.0,0.0,
Net PPE Purchase And Sale,4700000.0,3800000.0,2000000.0,3400000.0,3400000.0,,
Sale Of PPE,4700000.0,3800000.0,2000000.0,3400000.0,3400000.0,,
Capital Expenditure Reported,-57200000.0,-49300000.0,-33900000.0,-44900000.0,-37700000.0,,
Operating Cash Flow,-64100000.0,132900000.0,140400000.0,316200000.0,-27400000.0,,
Cash From Discontinued Operating Activities,-400000.0,-1700000.0,-1600000.0,-6300000.0,-14000000.0,,
Cash Flow From Continuing Operating Activities,-63700000.0,134600000.0,142000000.0,322500000.0,-13400000.0,,
Change In Working Capital,-159800000.0,51300000.0,8500000.0,180100000.0,-119900000.0,,
Other Non Cash Items,800000.0,-10300000.0,100000.0,600000.0,1300000.0,,
Stock Based Compensation,9500000.0,11100000.0,10500000.0,10300000.0,6800000.0,,
Asset Impairment Charge,600000.0,-400000.0,323200000.0,400000.0,0.0,,
Deferred Tax,-10700000.0,-11300000.0,-39700000.0,-1600000.0,8100000.0,,
Deferred Income Tax,-10700000.0,-11300000.0,-39700000.0,-1600000.0,8100000.0,,
Depreciation Amortization Depletion,74900000.0,75600000.0,73700000.0,73100000.0,70100000.0,,
Depreciation And Amortization,74900000.0,75600000.0,73700000.0,73100000.0,70100000.0,,
Operating Gains Losses,,,,,,,-300000.0
Pension And Employee Benefit Expense,,,,,,,-300000.0
Net Income From Continuing Operations,21000000.0,18600000.0,-234300000.0,59600000.0,20200000.0,,
