,2026-03-31,2025-12-31,2025-09-30
Free Cash Flow,-255597.0,-245377.0,-26693.0
Issuance Of Debt,,0.0,149000.0
Issuance Of Capital Stock,,227700000.0,25000.0
End Cash Position,2381432.0,2637478.0,37006.0
Beginning Cash Position,2637478.0,37006.0,0.0
Changes In Cash,-256046.0,2600472.0,37006.0
Financing Cash Flow,-449.0,222845849.0,63699.0
Cash Flow From Continuing Financing Activities,-449.0,222845849.0,63699.0
Net Other Financing Charges,-449.0,-4705151.0,-110301.0
Net Common Stock Issuance,,227700000.0,25000.0
Common Stock Issuance,,227700000.0,25000.0
Net Issuance Payments Of Debt,,-149000.0,149000.0
Net Short Term Debt Issuance,,-149000.0,149000.0
Short Term Debt Issuance,,0.0,149000.0
Operating Cash Flow,-255597.0,-245377.0,-26693.0
Cash Flow From Continuing Operating Activities,-255597.0,-245377.0,-26693.0
Change In Working Capital,-39520.0,-34871.0,15296.0
Change In Payables And Accrued Expense,5131.0,102603.0,15296.0
Change In Payable,5131.0,26103.0,15296.0
Change In Account Payable,5131.0,26103.0,15296.0
Change In Prepaid Assets,-44651.0,,
Other Non Cash Items,-1819895.0,,
Operating Gains Losses,-15000.0,,
Gain Loss On Investment Securities,-15000.0,,
Net Income From Continuing Operations,1618818.0,192948.0,-41989.0
