,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,1032287496.0,1231797000.0,220841574.0,994848018.0,-211202047.0,,
Repurchase Of Capital Stock,,0.0,,,,0.0,
Repayment Of Debt,-13886468.0,-38696035.0,-9426298.0,-9621496.0,-15142074.0,,
Issuance Of Debt,,,150000000.0,0.0,0.0,,-10800000.0
Issuance Of Capital Stock,,,,,,0.0,
Capital Expenditure,-15004723.0,-41333255.0,-50926275.0,-38897275.0,-18791844.0,,
End Cash Position,2135695266.0,1112514276.0,495813102.0,536311261.0,563364789.0,,
Other Cash Adjustment Outside Changein Cash,-137629.0,-25911.0,6347.0,13162.0,12974.0,,
Beginning Cash Position,1112514276.0,495813102.0,536311261.0,563364789.0,789527343.0,,
Changes In Cash,1023318619.0,616727085.0,-40504506.0,-27066690.0,-226175528.0,,
Financing Cash Flow,-13898568.0,-615249145.0,-261721088.0,-1022296638.0,-15142074.0,,
Cash Flow From Continuing Financing Activities,-13898568.0,-615249145.0,-261721088.0,-1022296638.0,-15142074.0,,
Cash Dividends Paid,-12100.0,-426553110.0,-402294790.0,-1012675142.0,0.0,,
Common Stock Dividend Paid,-12100.0,-426553110.0,-402294790.0,-1012675142.0,0.0,,
Net Common Stock Issuance,,0.0,,,,0.0,
Common Stock Payments,,0.0,,,,0.0,
Common Stock Issuance,,,,,,0.0,
Net Issuance Payments Of Debt,-13886468.0,-188696035.0,140573702.0,-9621496.0,-15142074.0,,
Net Long Term Debt Issuance,-13886468.0,-38696035.0,-9426298.0,-9621496.0,-15142074.0,,
Long Term Debt Payments,-13886468.0,-38696035.0,-9426298.0,-9621496.0,-15142074.0,,
Long Term Debt Issuance,,,,0.0,0.0,,
Investing Cash Flow,-10075032.0,-41154025.0,-50551267.0,-38515345.0,-18623251.0,,
Cash Flow From Continuing Investing Activities,-10075032.0,-41154025.0,-50551267.0,-38515345.0,-18623251.0,,
Net Intangibles Purchase And Sale,-2879806.0,-26419701.0,-11461500.0,-31313220.0,-17214905.0,,
Purchase Of Intangibles,-2879806.0,-26419701.0,-11461500.0,-31313220.0,-17214905.0,,
Net PPE Purchase And Sale,-7195226.0,-14734324.0,-39089767.0,-7202125.0,-1408346.0,,
Sale Of PPE,4929691.0,179230.0,375008.0,381930.0,168593.0,,
Purchase Of PPE,-12124917.0,-14913554.0,-39464775.0,-7584055.0,-1576939.0,,
Cash Flowsfromusedin Operating Activities Direct,1047292219.0,1273130255.0,271767849.0,1033745293.0,-192410203.0,,
Classesof Cash Payments,-20321702706.0,-19038999769.0,-16253628293.0,-17547996072.0,-17765796838.0,,
Other Cash Paymentsfrom Operating Activities,-10807041917.0,-25852706668.0,-2566036520.0,-13528990969.0,-11249332227.0,,
Classesof Cash Receiptsfrom Operating Activities,21368994925.0,20312130024.0,16525396142.0,18581741365.0,17573386635.0,,
Other Cash Receiptsfrom Operating Activities,10232095425.0,8612224087.0,1745877375.0,12488677500.0,8145070318.0,,
