,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,73827000.0,56329000.0,73794000.0,67727000.0,40834000.0,,
Repurchase Of Capital Stock,0.0,0.0,0.0,0.0,-28682000.0,,
Repayment Of Debt,-1438000.0,-1438000.0,-26437000.0,-1437000.0,-1438000.0,,
Capital Expenditure,-3398000.0,-2737000.0,-3025000.0,-3509000.0,-2411000.0,,
End Cash Position,245589000.0,175760000.0,307883000.0,261739000.0,202243000.0,,
Other Cash Adjustment Outside Changein Cash,-3310000.0,-111000.0,571000.0,-439000.0,-3515000.0,,
Beginning Cash Position,179254000.0,307883000.0,261739000.0,202243000.0,207062000.0,,
Effect Of Exchange Rate Changes,-602000.0,-113000.0,269000.0,1146000.0,328000.0,,
Changes In Cash,70247000.0,-131899000.0,45304000.0,58789000.0,-1632000.0,,
Financing Cash Flow,-3580000.0,-188228000.0,-28490000.0,-8938000.0,-42466000.0,,
Cash Flow From Continuing Financing Activities,-3580000.0,-188228000.0,-28490000.0,-8938000.0,-42466000.0,,
Net Other Financing Charges,-2142000.0,-186790000.0,-2053000.0,-7501000.0,-12346000.0,,
Net Common Stock Issuance,0.0,0.0,0.0,0.0,-28682000.0,,
Common Stock Payments,0.0,0.0,0.0,0.0,-28682000.0,,
Net Issuance Payments Of Debt,-1438000.0,-1438000.0,-26437000.0,-1437000.0,-1438000.0,,
Net Long Term Debt Issuance,-1438000.0,-1438000.0,-26437000.0,-1437000.0,-1438000.0,,
Long Term Debt Payments,-1438000.0,-1438000.0,-26437000.0,-1437000.0,-1438000.0,,
Investing Cash Flow,-3398000.0,-2737000.0,-3025000.0,-3509000.0,-2411000.0,,
Cash Flow From Continuing Investing Activities,-3398000.0,-2737000.0,-3025000.0,-3509000.0,-2411000.0,,
Net Business Purchase And Sale,,,,,,0.0,0.0
Purchase Of Business,,,,,,0.0,0.0
Net Intangibles Purchase And Sale,,0.0,,,,0.0,
Purchase Of Intangibles,,0.0,,,,0.0,
Capital Expenditure Reported,-3398000.0,-2737000.0,-3025000.0,-3509000.0,-2411000.0,,
Operating Cash Flow,77225000.0,59066000.0,76819000.0,71236000.0,43245000.0,,
Cash Flow From Continuing Operating Activities,77225000.0,59066000.0,76819000.0,71236000.0,43245000.0,,
Change In Working Capital,13814000.0,4191000.0,17476000.0,1248000.0,-9186000.0,,
Change In Other Working Capital,-8898000.0,-11698000.0,1245000.0,3484000.0,-1685000.0,,
Change In Other Current Liabilities,-1092000.0,-1337000.0,-1010000.0,-598000.0,-888000.0,,
Change In Other Current Assets,3708000.0,-10997000.0,3539000.0,-1682000.0,1559000.0,,
Change In Payables And Accrued Expense,1804000.0,19128000.0,5999000.0,978000.0,-7452000.0,,
Change In Accrued Expense,9289000.0,13613000.0,11083000.0,-3172000.0,-5475000.0,,
Change In Payable,-7485000.0,5515000.0,-5084000.0,4150000.0,-1977000.0,,
Change In Account Payable,-7485000.0,5515000.0,-5084000.0,4150000.0,-1977000.0,,
Change In Receivables,18292000.0,9095000.0,7703000.0,-934000.0,-720000.0,,
Changes In Account Receivables,18292000.0,9095000.0,7703000.0,-934000.0,-720000.0,,
Other Non Cash Items,1364000.0,1695000.0,2813000.0,3041000.0,-434000.0,,
Stock Based Compensation,10818000.0,9592000.0,11610000.0,5849000.0,4138000.0,,
Asset Impairment Charge,0.0,630541000.0,0.0,404855000.0,3631000.0,,
Deferred Tax,3333000.0,2956000.0,762000.0,586000.0,2184000.0,,
Deferred Income Tax,3333000.0,2956000.0,762000.0,586000.0,2184000.0,,
Depreciation Amortization Depletion,4412000.0,4998000.0,4642000.0,6631000.0,9585000.0,,
Depreciation And Amortization,4412000.0,4998000.0,4642000.0,6631000.0,9585000.0,,
Operating Gains Losses,-9138000.0,4931000.0,-12129000.0,16009000.0,13496000.0,,
Gain Loss On Investment Securities,-675000.0,641000.0,638000.0,1234000.0,2636000.0,,
Net Foreign Currency Exchange Gain Loss,-8463000.0,4290000.0,-12767000.0,14775000.0,10860000.0,,
Net Income From Continuing Operations,52622000.0,-599838000.0,51645000.0,-366983000.0,19831000.0,,
