,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31
Free Cash Flow,22534000.0,39690000.0,55330000.0,5902000.0,-34027000.0
Repurchase Of Capital Stock,0.0,-91000.0,0.0,0.0,-22000.0
Repayment Of Debt,-40000.0,3961000.0,-23000.0,-4022000.0,-22000.0
Issuance Of Debt,,0.0,0.0,27865000.0,0.0
Issuance Of Capital Stock,,0.0,0.0,,
Capital Expenditure,-10342000.0,-5090000.0,-7095000.0,-1386000.0,-2689000.0
Interest Paid Supplemental Data,,,,,10829000.0
End Cash Position,823390000.0,800042000.0,756982000.0,722687000.0,35290000.0
Beginning Cash Position,800042000.0,756982000.0,722687000.0,35290000.0,68028000.0
Effect Of Exchange Rate Changes,-10000.0,-29000.0,62000.0,93000.0,4000.0
Changes In Cash,23358000.0,43089000.0,34233000.0,687304000.0,-32742000.0
Financing Cash Flow,824000.0,3399000.0,-21097000.0,681402000.0,1285000.0
Cash Flow From Continuing Financing Activities,824000.0,3399000.0,-21097000.0,681402000.0,1285000.0
Net Other Financing Charges,-56000.0,-4333000.0,-22225000.0,-3598000.0,-105000.0
Proceeds From Stock Option Exercised,920000.0,3862000.0,1151000.0,11460000.0,1434000.0
Net Preferred Stock Issuance,,0.0,0.0,,
Preferred Stock Issuance,,0.0,0.0,,
Net Common Stock Issuance,0.0,-91000.0,0.0,528459000.0,-22000.0
Common Stock Payments,0.0,-91000.0,0.0,0.0,-22000.0
Common Stock Issuance,,0.0,0.0,,
Net Issuance Payments Of Debt,-40000.0,3961000.0,-23000.0,23843000.0,-22000.0
Net Long Term Debt Issuance,-40000.0,3961000.0,-23000.0,23843000.0,-22000.0
Long Term Debt Payments,-40000.0,3961000.0,-23000.0,-4022000.0,-22000.0
Long Term Debt Issuance,,0.0,0.0,27865000.0,0.0
Investing Cash Flow,-10342000.0,-5090000.0,-7095000.0,-1386000.0,-2689000.0
Cash Flow From Continuing Investing Activities,-10342000.0,-5090000.0,-7095000.0,-1386000.0,-2689000.0
Net Investment Purchase And Sale,,0.0,0.0,0.0,0.0
Sale Of Investment,,0.0,0.0,0.0,0.0
Net PPE Purchase And Sale,-10342000.0,-5090000.0,-7095000.0,-1386000.0,-2689000.0
Purchase Of PPE,-10342000.0,-5090000.0,-7095000.0,-1386000.0,-2689000.0
Operating Cash Flow,32876000.0,44780000.0,62425000.0,7288000.0,-31338000.0
Cash Flow From Continuing Operating Activities,32876000.0,44780000.0,62425000.0,7288000.0,-31338000.0
Change In Working Capital,8288000.0,-59096000.0,14087000.0,-1439000.0,13321000.0
Change In Other Current Assets,153000.0,374000.0,-660000.0,298000.0,36000.0
Change In Payables And Accrued Expense,1394000.0,41502000.0,1618000.0,-21447000.0,841000.0
Change In Accrued Expense,-14977000.0,29271000.0,889000.0,-21261000.0,2580000.0
Change In Payable,16371000.0,12231000.0,729000.0,-186000.0,-1739000.0
Change In Account Payable,16371000.0,12231000.0,729000.0,-186000.0,-1739000.0
Change In Prepaid Assets,-1554000.0,-345000.0,-2540000.0,-4735000.0,2470000.0
Change In Inventory,-13328000.0,-9606000.0,-8523000.0,-4682000.0,2061000.0
Change In Receivables,21623000.0,-91021000.0,24192000.0,29127000.0,7913000.0
Changes In Account Receivables,21623000.0,-91021000.0,24192000.0,29127000.0,7913000.0
Other Non Cash Items,4161000.0,2295000.0,3407000.0,10014000.0,3853000.0
Stock Based Compensation,15872000.0,13367000.0,13655000.0,28293000.0,14691000.0
Unrealized Gain Loss On Investment Securities,0.0,1000.0,2081000.0,17870000.0,32333000.0
Depreciation Amortization Depletion,5065000.0,4291000.0,4870000.0,6409000.0,7045000.0
Depreciation And Amortization,5065000.0,4291000.0,4870000.0,6409000.0,7045000.0
Operating Gains Losses,,1965000.0,0.0,,
Net Income From Continuing Operations,-510000.0,81957000.0,24325000.0,-71789000.0,-102581000.0
