,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,53032000.0,49601000.0,53559000.0,15295000.0,35566000.0,,
Repurchase Of Capital Stock,-18402000.0,-11174000.0,-1232000.0,-131000.0,-141359000.0,,
Repayment Of Debt,0.0,0.0,0.0,0.0,-399800000.0,,
Issuance Of Debt,0.0,0.0,0.0,0.0,575000000.0,,
Capital Expenditure,-43692000.0,-25306000.0,-37052000.0,-41549000.0,-43353000.0,,
Interest Paid Supplemental Data,6353000.0,300000.0,6198000.0,716000.0,1468000.0,,
Income Tax Paid Supplemental Data,1098000.0,15107000.0,2299000.0,4585000.0,788000.0,,
End Cash Position,235090000.0,215729000.0,189978000.0,148763000.0,135411000.0,,
Beginning Cash Position,215729000.0,189978000.0,148763000.0,135411000.0,84176000.0,,
Effect Of Exchange Rate Changes,-117000.0,106000.0,-137000.0,340000.0,6000.0,,
Changes In Cash,19478000.0,25645000.0,41352000.0,13012000.0,51229000.0,,
Financing Cash Flow,-33554000.0,-23956000.0,-12207000.0,-2283000.0,15663000.0,,
Cash Flow From Continuing Financing Activities,-33554000.0,-23956000.0,-12207000.0,-2283000.0,15663000.0,,
Net Other Financing Charges,-1163000.0,0.0,0.0,-7000.0,-16496000.0,,
Proceeds From Stock Option Exercised,241000.0,0.0,1625000.0,12180000.0,10803000.0,,
Cash Dividends Paid,-14230000.0,-12782000.0,-12600000.0,-14325000.0,-12485000.0,,
Common Stock Dividend Paid,-14230000.0,-12782000.0,-12600000.0,-14325000.0,-12485000.0,,
Net Common Stock Issuance,-18402000.0,-11174000.0,-1232000.0,-131000.0,-141359000.0,,
Common Stock Payments,-18402000.0,-11174000.0,-1232000.0,-131000.0,-141359000.0,,
Net Issuance Payments Of Debt,0.0,0.0,0.0,0.0,175200000.0,,
Net Long Term Debt Issuance,0.0,110000000.0,0.0,0.0,175200000.0,,
Long Term Debt Payments,0.0,110000000.0,0.0,0.0,-399800000.0,,
Long Term Debt Issuance,0.0,0.0,0.0,0.0,575000000.0,,
Investing Cash Flow,-43692000.0,-25306000.0,-37052000.0,-41549000.0,-43353000.0,,
Cash Flow From Continuing Investing Activities,-43692000.0,-25306000.0,-37052000.0,-41549000.0,-43353000.0,,
Net Other Investing Changes,,,,,,0.0,148000.0
Net Intangibles Purchase And Sale,-315000.0,-150000.0,-369000.0,0.0,-537000.0,,
Purchase Of Intangibles,-315000.0,-150000.0,-369000.0,0.0,-537000.0,,
Net PPE Purchase And Sale,-43377000.0,-25156000.0,-36683000.0,-41549000.0,-42816000.0,,
Purchase Of PPE,-43377000.0,-25156000.0,-36683000.0,-41549000.0,-42816000.0,,
Operating Cash Flow,96724000.0,74907000.0,90611000.0,56844000.0,78919000.0,,
Cash Flow From Continuing Operating Activities,96724000.0,74907000.0,90611000.0,56844000.0,78919000.0,,
Change In Working Capital,5655000.0,3434000.0,22712000.0,-21350000.0,-8004000.0,,
Change In Other Working Capital,-4447000.0,38103000.0,-35102000.0,7567000.0,-23678000.0,,
Change In Other Current Liabilities,-25142000.0,,,-3569000.0,-26954000.0,,
Change In Other Current Assets,2157000.0,-2318000.0,-7198000.0,-10008000.0,1714000.0,,
Change In Payables And Accrued Expense,16498000.0,-7645000.0,37033000.0,-5600000.0,11432000.0,,
Change In Accrued Expense,13786000.0,-14043000.0,39571000.0,-3367000.0,11364000.0,,
Change In Payable,2712000.0,6398000.0,-2538000.0,-2233000.0,68000.0,,
Change In Account Payable,2712000.0,6398000.0,-2538000.0,-2233000.0,68000.0,,
Change In Prepaid Assets,-23103000.0,4582000.0,-1109000.0,-3060000.0,-443000.0,,
Change In Inventory,3404000.0,9445000.0,2998000.0,497000.0,-2379000.0,,
Change In Receivables,36288000.0,-24777000.0,-4433000.0,-7177000.0,32304000.0,,
Other Non Cash Items,,0.0,0.0,,,0.0,0.0
Stock Based Compensation,7014000.0,6792000.0,5672000.0,7189000.0,7581000.0,,
Asset Impairment Charge,432000.0,19342000.0,-253000.0,98000.0,138000.0,,
Deferred Tax,6091000.0,-12106000.0,3162000.0,-2051000.0,4290000.0,,
Deferred Income Tax,6091000.0,-12106000.0,3162000.0,-2051000.0,4290000.0,,
Depreciation Amortization Depletion,27984000.0,28670000.0,27419000.0,26860000.0,26082000.0,,
Depreciation And Amortization,27984000.0,28670000.0,27419000.0,26860000.0,26082000.0,,
Operating Gains Losses,,0.0,0.0,0.0,15891000.0,,
Net Income From Continuing Operations,49548000.0,28775000.0,31899000.0,54812000.0,32941000.0,,
