,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,33546000.0,31245000.0,52642000.0,18187000.0,23660000.0,,
Repurchase Of Capital Stock,-20452000.0,-22568000.0,-19695000.0,-23106000.0,-21538000.0,,
Repayment Of Debt,0.0,0.0,-5000000.0,0.0,-10000000.0,,
Issuance Of Debt,0.0,0.0,0.0,0.0,10000000.0,,
Capital Expenditure,-6262000.0,-5873000.0,-6196000.0,-8041000.0,-5795000.0,,
Interest Paid Supplemental Data,983000.0,12902000.0,1986000.0,13903000.0,1164000.0,,
Income Tax Paid Supplemental Data,,345000.0,135000.0,767000.0,1321000.0,981000.0,
End Cash Position,64598000.0,56236000.0,55072000.0,27704000.0,31435000.0,,
Beginning Cash Position,56236000.0,55072000.0,27704000.0,31435000.0,50673000.0,,
Effect Of Exchange Rate Changes,-190000.0,181000.0,-51000.0,385000.0,-570000.0,,
Changes In Cash,8552000.0,983000.0,27419000.0,-4116000.0,-18668000.0,,
Financing Cash Flow,-24994000.0,-22056000.0,-25223000.0,-21956000.0,-27387000.0,,
Cash Flow From Continuing Financing Activities,-24994000.0,-22056000.0,-25223000.0,-21956000.0,-27387000.0,,
Net Other Financing Charges,,,,,,0.0,0.0
Proceeds From Stock Option Exercised,-4542000.0,512000.0,-528000.0,1150000.0,-5849000.0,,
Net Common Stock Issuance,-20452000.0,-22568000.0,-19695000.0,-23106000.0,-21538000.0,,
Common Stock Payments,-20452000.0,-22568000.0,-19695000.0,-23106000.0,-21538000.0,,
Net Issuance Payments Of Debt,0.0,0.0,-5000000.0,0.0,0.0,,
Net Long Term Debt Issuance,0.0,0.0,5000000.0,-10000000.0,0.0,,
Long Term Debt Payments,0.0,0.0,-5000000.0,0.0,-10000000.0,,
Long Term Debt Issuance,0.0,0.0,,,10000000.0,,
Investing Cash Flow,-6262000.0,-14079000.0,-6196000.0,-8388000.0,-20736000.0,,
Cash Flow From Continuing Investing Activities,-6262000.0,-14079000.0,-6196000.0,-8388000.0,-20736000.0,,
Net Investment Purchase And Sale,0.0,0.0,0.0,0.0,9481000.0,,
Sale Of Investment,0.0,0.0,0.0,0.0,9481000.0,,
Net Business Purchase And Sale,0.0,0.0,0.0,-347000.0,-24422000.0,,
Purchase Of Business,0.0,0.0,0.0,-347000.0,-24422000.0,,
Net PPE Purchase And Sale,-262000.0,-385000.0,-559000.0,-2531000.0,-811000.0,,
Purchase Of PPE,-262000.0,-385000.0,-559000.0,-2531000.0,-811000.0,,
Capital Expenditure Reported,-6000000.0,-5488000.0,-5637000.0,-5510000.0,-4984000.0,,
Operating Cash Flow,39808000.0,37118000.0,58838000.0,26228000.0,29455000.0,,
Cash Flow From Continuing Operating Activities,39808000.0,37118000.0,58838000.0,26228000.0,29455000.0,,
Change In Working Capital,4641000.0,-1191000.0,12282000.0,-12928000.0,-5340000.0,,
Change In Other Current Liabilities,5659000.0,-7160000.0,9657000.0,-7607000.0,4396000.0,,
Change In Payables And Accrued Expense,-2912000.0,3634000.0,8606000.0,-3929000.0,-13116000.0,,
Change In Accrued Expense,-4458000.0,8999000.0,6451000.0,-6150000.0,-8420000.0,,
Change In Payable,1546000.0,-5365000.0,2155000.0,2221000.0,-4696000.0,,
Change In Account Payable,1546000.0,-5365000.0,2155000.0,2221000.0,-4696000.0,,
Change In Prepaid Assets,5739000.0,5791000.0,-9243000.0,223000.0,970000.0,,
Change In Receivables,-3845000.0,-3456000.0,3262000.0,-1615000.0,2410000.0,,
Changes In Account Receivables,-3845000.0,-3456000.0,3262000.0,-1615000.0,2410000.0,,
Other Non Cash Items,655000.0,551000.0,1325000.0,958000.0,1431000.0,,
Stock Based Compensation,8569000.0,8894000.0,7420000.0,6679000.0,8334000.0,,
Provisionand Write Offof Assets,607000.0,460000.0,544000.0,598000.0,359000.0,,
Deferred Tax,3003000.0,5181000.0,5111000.0,1501000.0,-343000.0,,
Deferred Income Tax,3003000.0,5181000.0,5111000.0,1501000.0,-343000.0,,
Depreciation Amortization Depletion,16718000.0,16466000.0,23464000.0,24873000.0,27039000.0,,
Depreciation And Amortization,16718000.0,16466000.0,23464000.0,24873000.0,27039000.0,,
Amortization Cash Flow,10543000.0,10527000.0,17463000.0,17458000.0,17378000.0,,
Amortization Of Intangibles,10543000.0,10527000.0,17463000.0,17458000.0,17378000.0,,
Depreciation,6175000.0,5939000.0,6001000.0,7415000.0,9661000.0,,
Operating Gains Losses,637000.0,-641000.0,1034000.0,-2462000.0,-12000.0,,
Net Foreign Currency Exchange Gain Loss,637000.0,-641000.0,1034000.0,-2462000.0,-12000.0,,
Net Income From Continuing Operations,4978000.0,7398000.0,7658000.0,7009000.0,-2013000.0,,
