,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,10500309.0,16065411.0,5998355.0,3049037.0,-22310504.0,
Repurchase Of Capital Stock,,0.0,-263111.0,,,
Repayment Of Debt,-11937817.0,-7380138.0,-19820864.0,-1566832.0,-17143957.0,
Issuance Of Debt,23251835.0,5342556.0,15097111.0,6399995.0,24337737.0,
Capital Expenditure,-11784371.0,-13742220.0,-8601129.0,-10719448.0,-12689383.0,
Interest Paid Supplemental Data,252420.0,217632.0,312624.0,186164.0,155212.0,
Income Tax Paid Supplemental Data,0.0,0.0,0.0,0.0,0.0,
End Cash Position,98596843.0,75677262.0,63348671.0,21452222.0,47534703.0,
Beginning Cash Position,75677262.0,63348671.0,21452222.0,47534703.0,60786002.0,
Effect Of Exchange Rate Changes,1105254.0,1379403.0,960577.0,1360215.0,346819.0,
Changes In Cash,21814327.0,10949188.0,40935872.0,-27442696.0,-13598118.0,
Financing Cash Flow,11314018.0,-2198156.0,34776759.0,-30499878.0,5925771.0,
Cash Flow From Continuing Financing Activities,11314018.0,-2198156.0,34776759.0,-30499878.0,5925771.0,
Net Other Financing Charges,,-160574.0,39763623.0,-34095921.0,-1268009.0,9152871.0
Net Common Stock Issuance,,0.0,-263111.0,,,
Common Stock Payments,,0.0,-263111.0,,,
Net Issuance Payments Of Debt,11314018.0,-2037582.0,-4723753.0,4833163.0,7193780.0,
Net Short Term Debt Issuance,,,,,,1386510.0
Short Term Debt Payments,,,,,,-4144496.0
Short Term Debt Issuance,,,,,,5531006.0
Net Long Term Debt Issuance,11314018.0,-7420047.0,-4723753.0,4833163.0,7193780.0,
Long Term Debt Payments,-11937817.0,38414796.0,-19820864.0,-1566832.0,-17143957.0,
Long Term Debt Issuance,23251835.0,-45834843.0,15097111.0,6399995.0,24337737.0,
Investing Cash Flow,-11784371.0,-16660287.0,-8440371.0,-10711303.0,-9902768.0,
Cash Flow From Continuing Investing Activities,-11784371.0,-16660287.0,-8440371.0,-10711303.0,-9902768.0,
Net Other Investing Changes,,12730.0,12231.0,8145.0,2786615.0,
Net Investment Purchase And Sale,,0.0,0.0,0.0,0.0,-1643.0
Purchase Of Investment,,0.0,0.0,0.0,0.0,-1643.0
Net Business Purchase And Sale,,-2931471.0,0.0,,,50.0
Sale Of Business,,0.0,0.0,,,50.0
Net PPE Purchase And Sale,-11784371.0,-13741546.0,-8452602.0,-10719448.0,-12689383.0,
Sale Of PPE,,674.0,148527.0,,,30765.0
Purchase Of PPE,-11784371.0,-13742220.0,-8601129.0,-10719448.0,-12689383.0,
Operating Cash Flow,22284680.0,29807631.0,14599484.0,13768485.0,-9621121.0,
Cash Flow From Continuing Operating Activities,22284680.0,29807631.0,14599484.0,13768485.0,-9621121.0,
Change In Working Capital,23589248.0,30226688.0,9914897.0,13041653.0,-10834692.0,
Change In Other Working Capital,1992.0,-2262.0,998.0,6122.0,3447.0,
Change In Other Current Liabilities,-145066.0,1114170.0,-167784.0,-624443.0,-124846.0,
Change In Payables And Accrued Expense,59080081.0,41249290.0,22789335.0,6907280.0,3765528.0,
Change In Accrued Expense,11807100.0,8557318.0,2993954.0,3946165.0,-4441468.0,
Change In Payable,47272981.0,32691972.0,19795381.0,2961115.0,8206996.0,
Change In Account Payable,47272981.0,32508121.0,19979232.0,2961115.0,8206996.0,
Change In Tax Payable,,,-183851.0,,,
Change In Income Tax Payable,,,-183851.0,,,
Change In Prepaid Assets,-1043933.0,-3514465.0,-1944512.0,8873267.0,1987955.0,
Change In Inventory,-26753382.0,-18305319.0,1835045.0,-8667434.0,-8748990.0,
Change In Receivables,-7550444.0,9685274.0,-12598185.0,6546861.0,-7717786.0,
Changes In Account Receivables,-7550444.0,,,,-7717786.0,
Stock Based Compensation,443.0,12992.0,13923.0,22823.0,27066.0,
Provisionand Write Offof Assets,48817.0,-70143.0,-157510.0,75871.0,-58395.0,
Asset Impairment Charge,2592622.0,2859752.0,1167549.0,1645314.0,934424.0,
Depreciation Amortization Depletion,3680954.0,4332374.0,1534081.0,2292759.0,2416583.0,
Depreciation And Amortization,3680954.0,4332374.0,1534081.0,2292759.0,2416583.0,
Depreciation,3680954.0,4332374.0,1534081.0,2292759.0,2416583.0,
Operating Gains Losses,1334886.0,69071.0,43996.0,50463.0,-55125.0,
Earnings Losses From Equity Investments,0.0,-111295.0,-147.0,21470.0,-55125.0,
Gain Loss On Investment Securities,1128941.0,,,,,
Gain Loss On Sale Of PPE,205945.0,-19702.0,44143.0,28993.0,0.0,
Gain Loss On Sale Of Business,,0.0,0.0,,,-18782.0
Net Income From Continuing Operations,-8962290.0,-7623103.0,2082548.0,-3360398.0,-2050982.0,
