,2026-03-31,2025-12-31,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,41585000.0,104877000.0,27353000.0,43646000.0,105706000.0
Repurchase Of Capital Stock,-100166000.0,-388082000.0,-100220000.0,-72275000.0,
Repayment Of Debt,-3258000.0,-2502000.0,-2502000.0,-2503000.0,-2000000.0
Issuance Of Debt,0.0,300000000.0,0.0,225000000.0,
Capital Expenditure,-15876000.0,-14287000.0,-15703000.0,-14846000.0,-7939000.0
Interest Paid Supplemental Data,19008000.0,14811000.0,17258000.0,16358000.0,14604000.0
Income Tax Paid Supplemental Data,,2396000.0,26183000.0,445000.0,8605000.0
End Cash Position,36900000.0,111192000.0,55053000.0,130323000.0,398983000.0
Beginning Cash Position,111192000.0,97141000.0,130323000.0,398983000.0,286303000.0
Effect Of Exchange Rate Changes,48000.0,114000.0,50000.0,-13000.0,-170000.0
Changes In Cash,-74340000.0,13937000.0,-75320000.0,-268647000.0,112850000.0
Financing Cash Flow,-115925000.0,-90940000.0,-102673000.0,102840000.0,7144000.0
Cash Flow From Continuing Financing Activities,-115925000.0,-90940000.0,-102673000.0,102840000.0,7144000.0
Net Other Financing Charges,-17272000.0,-1456000.0,-881000.0,-50036000.0,-365000.0
Proceeds From Stock Option Exercised,4771000.0,1100000.0,930000.0,2654000.0,9509000.0
Net Common Stock Issuance,-100166000.0,-388082000.0,-100220000.0,-72275000.0,
Common Stock Payments,-100166000.0,-388082000.0,-100220000.0,-72275000.0,
Net Issuance Payments Of Debt,-3258000.0,297498000.0,-2502000.0,222497000.0,-2000000.0
Net Long Term Debt Issuance,-3258000.0,297498000.0,-2502000.0,222497000.0,-2000000.0
Long Term Debt Payments,-3258000.0,-2502000.0,-2502000.0,-2503000.0,-2000000.0
Long Term Debt Issuance,0.0,300000000.0,0.0,225000000.0,
Investing Cash Flow,-15876000.0,-14287000.0,-15703000.0,-429979000.0,-7939000.0
Cash Flow From Continuing Investing Activities,-15876000.0,-14287000.0,-15703000.0,-429979000.0,-7939000.0
Net Business Purchase And Sale,0.0,0.0,0.0,-415133000.0,
Purchase Of Business,0.0,0.0,0.0,-415133000.0,
Net Intangibles Purchase And Sale,-15876000.0,-14287000.0,-15703000.0,-14846000.0,-7939000.0
Purchase Of Intangibles,-15876000.0,-14287000.0,-15703000.0,-14846000.0,-7939000.0
Operating Cash Flow,57461000.0,119164000.0,43056000.0,58492000.0,113645000.0
Cash Flow From Continuing Operating Activities,57461000.0,119164000.0,43056000.0,58492000.0,113645000.0
Change In Working Capital,-25805000.0,23682000.0,-49275000.0,-14518000.0,28741000.0
Change In Other Working Capital,17383000.0,-2735000.0,-24750000.0,-610000.0,-8575000.0
Change In Other Current Liabilities,-621000.0,-2472000.0,-4004000.0,-1206000.0,-2422000.0
Change In Other Current Assets,-6685000.0,2158000.0,6358000.0,-4039000.0,4417000.0
Change In Payables And Accrued Expense,-32445000.0,23107000.0,5973000.0,-16027000.0,12280000.0
Change In Accrued Expense,-25104000.0,14787000.0,11752000.0,-20983000.0,15693000.0
Change In Payable,-7341000.0,8320000.0,-5779000.0,4956000.0,-3413000.0
Change In Account Payable,-7341000.0,8320000.0,-5779000.0,4956000.0,-3413000.0
Change In Receivables,-3437000.0,3624000.0,-32852000.0,7364000.0,23041000.0
Changes In Account Receivables,-3437000.0,3624000.0,-32852000.0,7364000.0,23041000.0
Other Non Cash Items,1303000.0,1269000.0,1259000.0,521000.0,447000.0
Stock Based Compensation,31871000.0,29178000.0,45975000.0,61048000.0,43817000.0
Asset Impairment Charge,,,,,0.0
Deferred Tax,2797000.0,19705000.0,-7162000.0,-13354000.0,2420000.0
Deferred Income Tax,2797000.0,19705000.0,-7162000.0,-13354000.0,2420000.0
Depreciation Amortization Depletion,36273000.0,37263000.0,36659000.0,36475000.0,31502000.0
Depreciation And Amortization,36273000.0,37263000.0,36659000.0,36475000.0,31502000.0
Amortization Cash Flow,22880000.0,22879000.0,22881000.0,22880000.0,18114000.0
Amortization Of Intangibles,22880000.0,22879000.0,22881000.0,22880000.0,18114000.0
Depreciation,13393000.0,14384000.0,13778000.0,13595000.0,13388000.0
Operating Gains Losses,-4395000.0,-53000.0,2640000.0,5741000.0,458000.0
Gain Loss On Investment Securities,-4395000.0,-55000.0,2640000.0,5741000.0,458000.0
Gain Loss On Sale Of PPE,,2000.0,0.0,0.0,0.0
Net Income From Continuing Operations,15417000.0,8120000.0,12960000.0,-17421000.0,6260000.0
