,2026-03-31,2025-09-30
Free Cash Flow,-326107.0,0.0
End Cash Position,410097.0,0.0
Beginning Cash Position,736204.0,0.0
Changes In Cash,-326107.0,
Operating Cash Flow,-326107.0,0.0
Cash Flow From Continuing Operating Activities,-326107.0,0.0
Change In Working Capital,47566.0,9292.0
Change In Payables And Accrued Expense,24938.0,0.0
Change In Accrued Expense,24938.0,0.0
Change In Prepaid Assets,22628.0,9292.0
Other Non Cash Items,-3545046.0,41637.0
Net Income From Continuing Operations,3171373.0,-50929.0
