,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,-57247000.0,-36223000.0,-38991000.0,-27973000.0,-29293000.0,
Repayment Of Debt,,0.0,0.0,0.0,0.0,0.0
Issuance Of Capital Stock,391550000.0,98449000.0,49001000.0,0.0,0.0,
Capital Expenditure,-304000.0,-7000.0,-97000.0,-14000.0,-16000.0,
Interest Paid Supplemental Data,47000.0,,,,0.0,0.0
Income Tax Paid Supplemental Data,0.0,0.0,5000.0,11000.0,0.0,
End Cash Position,33700000.0,32490000.0,45145000.0,14624000.0,41472000.0,
Beginning Cash Position,32490000.0,45145000.0,14624000.0,41472000.0,257068000.0,
Changes In Cash,1210000.0,-12655000.0,30521000.0,-26848000.0,-215596000.0,
Financing Cash Flow,392998000.0,99066000.0,54370000.0,-296000.0,450000.0,
Cash Flow From Continuing Financing Activities,392998000.0,99066000.0,54370000.0,-296000.0,450000.0,
Net Other Financing Charges,-221000.0,-39000.0,270000.0,-315000.0,-232000.0,
Proceeds From Stock Option Exercised,1669000.0,656000.0,5099000.0,19000.0,682000.0,
Net Preferred Stock Issuance,,,,,,0.0
Preferred Stock Issuance,,,,,,0.0
Net Common Stock Issuance,391550000.0,98449000.0,49001000.0,0.0,0.0,
Common Stock Issuance,391550000.0,98449000.0,49001000.0,0.0,0.0,
Net Issuance Payments Of Debt,,0.0,0.0,0.0,0.0,0.0
Net Long Term Debt Issuance,,0.0,0.0,0.0,0.0,0.0
Long Term Debt Payments,,0.0,0.0,0.0,0.0,0.0
Investing Cash Flow,-334845000.0,-75505000.0,15045000.0,1407000.0,-186769000.0,
Cash Flow From Continuing Investing Activities,-334845000.0,-75505000.0,15045000.0,1407000.0,-186769000.0,
Net Other Investing Changes,,,,-1000000.0,-25000000.0,
Net Investment Purchase And Sale,-334541000.0,-75498000.0,11109000.0,2421000.0,-161753000.0,
Sale Of Investment,252853000.0,222240000.0,251379000.0,170381000.0,200139000.0,
Purchase Of Investment,-587394000.0,-297738000.0,-240270000.0,-167960000.0,-361892000.0,
Net Business Purchase And Sale,,0.0,,,,
Purchase Of Business,,0.0,,,,
Net PPE Purchase And Sale,-304000.0,-7000.0,-97000.0,-14000.0,-16000.0,
Purchase Of PPE,-304000.0,-7000.0,-97000.0,-14000.0,-16000.0,
Operating Cash Flow,-56943000.0,-36216000.0,-38894000.0,-27959000.0,-29277000.0,
Cash Flow From Continuing Operating Activities,-56943000.0,-36216000.0,-38894000.0,-27959000.0,-29277000.0,
Change In Working Capital,-5779000.0,-3983000.0,-2873000.0,8663000.0,469000.0,
Change In Other Current Liabilities,-329000.0,-496000.0,,,0.0,
Change In Other Current Assets,-998000.0,-1564000.0,-7000.0,22000.0,-35000.0,
Change In Payables And Accrued Expense,4129000.0,252000.0,-2152000.0,7861000.0,1050000.0,
Change In Accrued Expense,1607000.0,3731000.0,-3379000.0,7467000.0,836000.0,
Change In Payable,2522000.0,-3479000.0,1227000.0,394000.0,214000.0,
Change In Account Payable,2522000.0,-3479000.0,1227000.0,394000.0,214000.0,
Change In Prepaid Assets,-8066000.0,-1810000.0,-105000.0,561000.0,-546000.0,
Change In Inventory,72000.0,-64000.0,,,0.0,
Change In Receivables,-587000.0,-301000.0,-238000.0,219000.0,0.0,
Changes In Account Receivables,-587000.0,-301000.0,-238000.0,219000.0,0.0,
Other Non Cash Items,59000.0,89000.0,-161000.0,-472000.0,-190000.0,
Stock Based Compensation,6474000.0,7187000.0,7331000.0,7007000.0,5151000.0,
Unrealized Gain Loss On Investment Securities,1664000.0,951000.0,201000.0,-1887000.0,-279000.0,
Amortization Of Securities,,951000.0,201000.0,-1887000.0,-279000.0,1255000.0
Depreciation Amortization Depletion,841000.0,849000.0,416000.0,156000.0,24000.0,
Depreciation And Amortization,841000.0,849000.0,416000.0,156000.0,24000.0,
Net Income From Continuing Operations,-60202000.0,-41309000.0,-43808000.0,-41426000.0,-34452000.0,
