,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,-4654797.0,-3069945.0,-2174170.0,-5343260.0,-3241907.0,
Repurchase Of Capital Stock,0.0,0.0,-1486.0,0.0,-557.0,
Repayment Of Debt,-96218.0,-30791.0,-90974.0,-88906.0,-86882.0,
Issuance Of Capital Stock,500878.0,501745.0,0.0,4511664.0,9033021.0,
Capital Expenditure,-6179.0,,,,,
Interest Paid Supplemental Data,6111.0,2758.0,2116.0,4185.0,6208.0,
Income Tax Paid Supplemental Data,0.0,0.0,0.0,0.0,0.0,
End Cash Position,2950877.0,7201014.0,9864087.0,12129873.0,13047592.0,
Beginning Cash Position,7201014.0,9864087.0,12129873.0,13047592.0,6461378.0,
Changes In Cash,-4250137.0,-2663073.0,-2265786.0,-917719.0,6586214.0,
Financing Cash Flow,404660.0,406872.0,-91616.0,4425541.0,9828121.0,
Cash Flow From Continuing Financing Activities,404660.0,406872.0,-91616.0,4425541.0,9828121.0,
Net Other Financing Charges,,-64082.0,0.0,0.0,882539.0,-10000.0
Proceeds From Stock Option Exercised,,0.0,844.0,2783.0,0.0,-1.0
Net Common Stock Issuance,500878.0,501745.0,-1486.0,4511664.0,9032464.0,
Common Stock Payments,0.0,0.0,-1486.0,0.0,-557.0,
Common Stock Issuance,500878.0,501745.0,0.0,4511664.0,9033021.0,
Net Issuance Payments Of Debt,-96218.0,-30791.0,-90974.0,-88906.0,-86882.0,
Net Short Term Debt Issuance,-96218.0,-30791.0,-90974.0,-88906.0,-86882.0,
Short Term Debt Payments,-96218.0,-30791.0,-90974.0,-88906.0,-86882.0,
Investing Cash Flow,-6179.0,,,,0.0,-4188.0
Cash Flow From Continuing Investing Activities,-6179.0,,,,0.0,-4188.0
Net PPE Purchase And Sale,-6179.0,,,,0.0,-4188.0
Purchase Of PPE,-6179.0,,,,0.0,-4188.0
Operating Cash Flow,-4648618.0,-3051770.0,-2174170.0,-5343260.0,-3241907.0,
Cash Flow From Continuing Operating Activities,-4648618.0,-3051770.0,-2174170.0,-5343260.0,-3241907.0,
Change In Working Capital,284005.0,2815385.0,1025162.0,-2991241.0,995946.0,
Change In Payables And Accrued Expense,577795.0,1809866.0,667201.0,-1307397.0,372783.0,
Change In Prepaid Assets,-293790.0,961819.0,401661.0,-1683844.0,623163.0,
Other Non Cash Items,,,,,,1.0
Stock Based Compensation,2555.0,85068.0,18452.0,21841.0,62367.0,
Depreciation Amortization Depletion,1868.0,1020.0,697.0,1101.0,1100.0,
Depreciation And Amortization,1868.0,1020.0,697.0,1101.0,1100.0,
Depreciation,1868.0,1020.0,697.0,1101.0,1100.0,
Operating Gains Losses,,,,,,0.0
Gain Loss On Sale Of PPE,,2559.0,0.0,0.0,0.0,0.0
Net Income From Continuing Operations,-4937046.0,-5955802.0,-3218481.0,-2374961.0,-4301320.0,
