,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31
Free Cash Flow,-87332000.0,-79916000.0,-64351000.0,-54673000.0,-67058000.0
Issuance Of Debt,,223100000.0,0.0,,
Issuance Of Capital Stock,45712000.0,-80719000.0,215792000.0,0.0,24250000.0
Capital Expenditure,-449000.0,-811000.0,-65000.0,-131000.0,-547000.0
End Cash Position,241624000.0,312428000.0,125633000.0,127598000.0,126003000.0
Beginning Cash Position,312428000.0,125633000.0,127598000.0,126003000.0,98165000.0
Changes In Cash,-70804000.0,186795000.0,-1965000.0,1595000.0,27838000.0
Financing Cash Flow,52536000.0,588669000.0,217367000.0,47227000.0,24970000.0
Cash Flow From Continuing Financing Activities,52536000.0,588669000.0,217367000.0,47227000.0,24970000.0
Net Other Financing Charges,,-49214000.0,-235000.0,,
Proceeds From Stock Option Exercised,6824000.0,550137000.0,1810000.0,5000.0,720000.0
Net Common Stock Issuance,45712000.0,-80719000.0,215792000.0,0.0,24250000.0
Common Stock Issuance,45712000.0,-80719000.0,215792000.0,0.0,24250000.0
Net Issuance Payments Of Debt,,168465000.0,0.0,,
Net Long Term Debt Issuance,,-54635000.0,0.0,,
Long Term Debt Issuance,,0.0,0.0,,
Investing Cash Flow,-36457000.0,-322769000.0,-155046000.0,8910000.0,69379000.0
Cash Flow From Continuing Investing Activities,-36457000.0,-322769000.0,-155046000.0,8910000.0,69379000.0
Net Investment Purchase And Sale,-36008000.0,-321958000.0,-154981000.0,9041000.0,69926000.0
Sale Of Investment,97831000.0,73264000.0,69085000.0,76924000.0,69926000.0
Purchase Of Investment,-133839000.0,-395222000.0,-224066000.0,-67883000.0,0.0
Net PPE Purchase And Sale,-449000.0,-811000.0,-65000.0,-131000.0,-547000.0
Purchase Of PPE,-449000.0,-811000.0,-65000.0,-131000.0,-547000.0
Operating Cash Flow,-86883000.0,-79105000.0,-64286000.0,-54542000.0,-66511000.0
Cash Flow From Continuing Operating Activities,-86883000.0,-79105000.0,-64286000.0,-54542000.0,-66511000.0
Change In Working Capital,-6827000.0,132000.0,4760000.0,7835000.0,-4716000.0
Change In Other Current Liabilities,-393000.0,-394000.0,-389000.0,-378000.0,-371000.0
Change In Other Current Assets,1361000.0,1187000.0,374000.0,0.0,0.0
Change In Payables And Accrued Expense,-5960000.0,2575000.0,3969000.0,8150000.0,-6517000.0
Change In Accrued Expense,-10200000.0,9100000.0,4565000.0,5679000.0,-8658000.0
Change In Payable,4240000.0,-6525000.0,-596000.0,2471000.0,2141000.0
Change In Account Payable,4240000.0,-6525000.0,-596000.0,2471000.0,2141000.0
Change In Prepaid Assets,-1835000.0,-3236000.0,806000.0,63000.0,2172000.0
Other Non Cash Items,278000.0,238000.0,300000.0,,
Stock Based Compensation,16908000.0,15751000.0,10604000.0,9716000.0,10008000.0
Amortization Of Securities,-1180000.0,-1056000.0,-167000.0,216000.0,-955000.0
Depreciation Amortization Depletion,1155000.0,1141000.0,1147000.0,1157000.0,1138000.0
Depreciation And Amortization,1155000.0,1141000.0,1147000.0,1157000.0,1138000.0
Depreciation,1155000.0,1141000.0,1147000.0,1157000.0,1138000.0
Operating Gains Losses,135000.0,,,,
Gain Loss On Sale Of PPE,135000.0,,,,0.0
Net Income From Continuing Operations,-97352000.0,-102492000.0,-80930000.0,-73529000.0,-71986000.0
