,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,-168000000.0,42200000.0,73600000.0,68500000.0,19000000.0,,
Repurchase Of Capital Stock,-97000000.0,,,,0.0,,
Repayment Of Debt,,-15100000.0,-64900000.0,-30100000.0,-8700000.0,-14600000.0,
Issuance Of Debt,0.0,9000000.0,12100000.0,46800000.0,50000000.0,,
Issuance Of Capital Stock,977000000.0,,,,0.0,0.0,
Capital Expenditure,-11000000.0,-3100000.0,-1900000.0,-4400000.0,-4000000.0,,
Interest Paid Supplemental Data,20000000.0,700000.0,1200000.0,2700000.0,1000000.0,,
End Cash Position,484000000.0,199000000.0,170300000.0,177300000.0,127000000.0,,
Beginning Cash Position,199000000.0,170300000.0,177300000.0,127000000.0,224000000.0,,
Changes In Cash,285000000.0,28700000.0,-7000000.0,50500000.0,-97000000.0,,
Financing Cash Flow,798000000.0,-14300000.0,-75400000.0,-5500000.0,45000000.0,,
Cash Flow From Continuing Financing Activities,798000000.0,-14300000.0,-75400000.0,-5500000.0,45000000.0,,
Net Other Financing Charges,-85000000.0,-15200000.0,-27900000.0,-12900000.0,-14000000.0,,
Proceeds From Stock Option Exercised,13000000.0,7000000.0,5300000.0,1400000.0,7000000.0,,
Net Common Stock Issuance,880000000.0,,,,0.0,0.0,
Common Stock Payments,-97000000.0,,,,0.0,,
Common Stock Issuance,977000000.0,,,,0.0,0.0,
Net Issuance Payments Of Debt,-10000000.0,-6100000.0,-52800000.0,6000000.0,52000000.0,,
Net Short Term Debt Issuance,,-6100000.0,-52800000.0,6200000.0,51800000.0,-3900000.0,
Short Term Debt Payments,,-15100000.0,5100000.0,-30100000.0,-8700000.0,-14600000.0,
Short Term Debt Issuance,,9000000.0,-57900000.0,36300000.0,60500000.0,10700000.0,
Net Long Term Debt Issuance,-10000000.0,0.0,,,52000000.0,0.0,0.0
Long Term Debt Payments,,0.0,,,,0.0,0.0
Long Term Debt Issuance,0.0,0.0,,,50000000.0,0.0,0.0
Investing Cash Flow,-356000000.0,-2300000.0,-7100000.0,-16900000.0,-165000000.0,,
Cash Flow From Continuing Investing Activities,-356000000.0,-2300000.0,-7100000.0,-16900000.0,-165000000.0,,
Net Business Purchase And Sale,-345000000.0,800000.0,-5200000.0,-12500000.0,-161000000.0,,
Purchase Of Business,-345000000.0,800000.0,-5200000.0,-12500000.0,-161000000.0,,
Capital Expenditure Reported,-11000000.0,-3100000.0,-1900000.0,-4400000.0,-4000000.0,,
Operating Cash Flow,-157000000.0,45300000.0,75500000.0,72900000.0,23000000.0,,
Cash Flow From Continuing Operating Activities,-157000000.0,45300000.0,75500000.0,72900000.0,23000000.0,,
Change In Working Capital,-52000000.0,4600000.0,-4400000.0,-51300000.0,18000000.0,,
Change In Other Working Capital,-6000000.0,-2400000.0,-3800000.0,-3800000.0,-2000000.0,,
Change In Other Current Assets,-2000000.0,200000.0,-5000000.0,4700000.0,-5000000.0,,
Change In Payables And Accrued Expense,-32000000.0,-17700000.0,-25400000.0,-19000000.0,40000000.0,,
Change In Accrued Expense,-63000000.0,4600000.0,15300000.0,-71500000.0,27000000.0,,
Change In Payable,31000000.0,-22300000.0,-40700000.0,52500000.0,13000000.0,,
Change In Account Payable,-5000000.0,-3000000.0,-500000.0,-300000.0,1000000.0,,
Change In Receivables,-12000000.0,24500000.0,29800000.0,-33200000.0,-15000000.0,,
Changes In Account Receivables,-12000000.0,24500000.0,29800000.0,-33200000.0,-15000000.0,,
Other Non Cash Items,1000000.0,900000.0,900000.0,-2000000.0,1000000.0,,
Stock Based Compensation,108000000.0,57500000.0,59600000.0,54600000.0,31000000.0,,
Provisionand Write Offof Assets,8000000.0,,,,0.0,,
Asset Impairment Charge,,-500000.0,-600000.0,100000.0,400000.0,-2000000.0,
Deferred Tax,-402000000.0,,,,-4000000.0,,
Deferred Income Tax,-402000000.0,,,,-4000000.0,,
Depreciation Amortization Depletion,163000000.0,26900000.0,27600000.0,29200000.0,29000000.0,,
Depreciation And Amortization,163000000.0,26900000.0,27600000.0,29200000.0,29000000.0,,
Operating Gains Losses,-5000000.0,-1600000.0,-3000000.0,-1500000.0,-1000000.0,,
Earnings Losses From Equity Investments,,-1600000.0,-3000000.0,-1700000.0,-800000.0,-100000.0,
Gain Loss On Sale Of Business,-5000000.0,,,,-1000000.0,,
Net Income From Continuing Operations,22000000.0,-42500000.0,-4600000.0,39400000.0,-51000000.0,,
