,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,-8018338.0,-6575699.0,-6465210.0,-6514695.0,-3894359.0,
Issuance Of Capital Stock,,0.0,0.0,,,0.0
End Cash Position,7941751.0,8235469.0,9437400.0,8320713.0,10501714.0,
Beginning Cash Position,8235469.0,9437400.0,8320713.0,10501714.0,8999496.0,
Changes In Cash,-293718.0,-1201931.0,1116687.0,-2181001.0,1502218.0,
Financing Cash Flow,13800.0,0.0,0.0,4588687.0,0.0,
Cash Flow From Continuing Financing Activities,13800.0,0.0,0.0,4588687.0,0.0,
Proceeds From Stock Option Exercised,13800.0,,,,0.0,
Net Common Stock Issuance,,0.0,0.0,,,0.0
Common Stock Issuance,,0.0,0.0,,,0.0
Investing Cash Flow,7710820.0,5373768.0,7581897.0,-254993.0,5396577.0,
Cash Flow From Continuing Investing Activities,7710820.0,5373768.0,7581897.0,-254993.0,5396577.0,
Net Investment Purchase And Sale,7710820.0,5373768.0,7581897.0,-254993.0,5396577.0,
Sale Of Investment,8700000.0,10000000.0,11500000.0,9500000.0,12500000.0,
Purchase Of Investment,-989180.0,-4626232.0,-3918103.0,-9754993.0,-7103423.0,
Operating Cash Flow,-8018338.0,-6575699.0,-6465210.0,-6514695.0,-3894359.0,
Cash Flow From Continuing Operating Activities,-8018338.0,-6575699.0,-6465210.0,-6514695.0,-3894359.0,
Change In Working Capital,-333272.0,1358914.0,1191237.0,-518640.0,890336.0,
Change In Other Working Capital,,-41250.0,-105977.0,,,
Change In Payables And Accrued Expense,-331929.0,46803.0,19271.0,637042.0,63719.0,
Change In Accrued Expense,-1097293.0,-48096.0,454084.0,713608.0,-285439.0,
Change In Payable,765364.0,94899.0,-434813.0,-76566.0,349158.0,
Change In Account Payable,765364.0,94899.0,-434813.0,-76566.0,349158.0,
Change In Prepaid Assets,-428336.0,418967.0,278355.0,-260580.0,201613.0,
Change In Receivables,426993.0,934394.0,999588.0,-731748.0,625004.0,
Stock Based Compensation,349196.0,298735.0,291717.0,497015.0,361167.0,
Unrealized Gain Loss On Investment Securities,,,,,,0.0
Amortization Of Securities,-70104.0,-146058.0,-221525.0,-234666.0,-251828.0,
Net Income From Continuing Operations,-7964158.0,-8087290.0,-7726639.0,-6258404.0,-4894034.0,
