,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,729000000.0,709000000.0,607000000.0,-141000000.0,536000000.0,
Repurchase Of Capital Stock,-222000000.0,-112000000.0,-112000000.0,-421000000.0,-751000000.0,
Repayment Of Debt,-2000000.0,-601000000.0,-9000000.0,-1000000.0,-2000000.0,
Issuance Of Debt,0.0,300000000.0,0.0,0.0,600000000.0,
Capital Expenditure,-543000000.0,-677000000.0,-730000000.0,-776000000.0,-719000000.0,
End Cash Position,964000000.0,670000000.0,612000000.0,387000000.0,1139000000.0,
Beginning Cash Position,670000000.0,612000000.0,387000000.0,1139000000.0,933000000.0,
Changes In Cash,294000000.0,58000000.0,225000000.0,-752000000.0,206000000.0,
Financing Cash Flow,-411000000.0,-622000000.0,-421000000.0,-580000000.0,-402000000.0,
Cash Flow From Continuing Financing Activities,-411000000.0,-622000000.0,-421000000.0,-580000000.0,-402000000.0,
Net Other Financing Charges,73000000.0,33000000.0,-58000000.0,85000000.0,-4000000.0,
Cash Dividends Paid,-260000000.0,-242000000.0,-242000000.0,-243000000.0,-245000000.0,
Common Stock Dividend Paid,-260000000.0,,-242000000.0,-243000000.0,-245000000.0,
Net Common Stock Issuance,-222000000.0,-112000000.0,-112000000.0,-421000000.0,-751000000.0,
Common Stock Payments,-222000000.0,-112000000.0,-112000000.0,-421000000.0,-751000000.0,
Net Issuance Payments Of Debt,-2000000.0,-301000000.0,-9000000.0,-1000000.0,598000000.0,
Net Long Term Debt Issuance,-2000000.0,-301000000.0,-9000000.0,-1000000.0,598000000.0,
Long Term Debt Payments,-2000000.0,-601000000.0,-9000000.0,-1000000.0,-2000000.0,
Long Term Debt Issuance,0.0,300000000.0,0.0,0.0,600000000.0,
Investing Cash Flow,-567000000.0,-706000000.0,-691000000.0,-807000000.0,-647000000.0,
Cash Flow From Continuing Investing Activities,-567000000.0,-706000000.0,-691000000.0,-807000000.0,-647000000.0,
Net Other Investing Changes,47000000.0,-50000000.0,22000000.0,-45000000.0,-18000000.0,
Net Investment Purchase And Sale,-135000000.0,8000000.0,3000000.0,2000000.0,67000000.0,
Sale Of Investment,5000000.0,8000000.0,3000000.0,2000000.0,67000000.0,
Purchase Of Investment,-140000000.0,,,,0.0,-66000000.0
Net Business Purchase And Sale,,-1000000.0,-1000000.0,-14000000.0,0.0,-2000000.0
Purchase Of Business,,-1000000.0,-1000000.0,-14000000.0,0.0,-2000000.0
Net PPE Purchase And Sale,-479000000.0,-663000000.0,-715000000.0,-750000000.0,-696000000.0,
Sale Of PPE,64000000.0,14000000.0,15000000.0,26000000.0,23000000.0,
Purchase Of PPE,-543000000.0,-677000000.0,-730000000.0,-776000000.0,-719000000.0,
Operating Cash Flow,1272000000.0,1386000000.0,1337000000.0,635000000.0,1255000000.0,
Cash Flow From Continuing Operating Activities,1272000000.0,1386000000.0,1337000000.0,635000000.0,1255000000.0,
Change In Working Capital,46000000.0,223000000.0,-81000000.0,-561000000.0,175000000.0,
Change In Other Current Liabilities,-36000000.0,112000000.0,-5000000.0,-2000000.0,9000000.0,
Change In Other Current Assets,-38000000.0,-55000000.0,-19000000.0,21000000.0,-34000000.0,
Change In Payables And Accrued Expense,240000000.0,48000000.0,-63000000.0,-553000000.0,209000000.0,
Change In Payable,240000000.0,48000000.0,-63000000.0,-553000000.0,209000000.0,
Change In Account Payable,64000000.0,-61000000.0,83000000.0,-16000000.0,34000000.0,
Change In Tax Payable,176000000.0,109000000.0,-146000000.0,-537000000.0,175000000.0,
Change In Income Tax Payable,176000000.0,109000000.0,-146000000.0,-537000000.0,175000000.0,
Change In Receivables,-120000000.0,118000000.0,6000000.0,-27000000.0,-9000000.0,
Changes In Account Receivables,-120000000.0,118000000.0,6000000.0,-27000000.0,-9000000.0,
Other Non Cash Items,-47000000.0,-12000000.0,-8000000.0,-46000000.0,-4000000.0,
Asset Impairment Charge,,0.0,,,,
Deferred Tax,51000000.0,51000000.0,144000000.0,-14000000.0,13000000.0,
Deferred Income Tax,51000000.0,51000000.0,144000000.0,-14000000.0,13000000.0,
Depreciation Amortization Depletion,415000000.0,404000000.0,424000000.0,427000000.0,425000000.0,
Depreciation And Amortization,415000000.0,404000000.0,424000000.0,427000000.0,425000000.0,
Operating Gains Losses,,,,,,-3000000.0
Gain Loss On Sale Of PPE,,,,,,-3000000.0
Net Income From Continuing Operations,807000000.0,720000000.0,694000000.0,829000000.0,646000000.0,
