,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,1210000.0,3944000.0,4377000.0,2789000.0,1845000.0,
Repurchase Of Capital Stock,-311000.0,0.0,0.0,0.0,0.0,
Capital Expenditure,,-25000.0,,,-77000.0,
Income Tax Paid Supplemental Data,61000.0,,,,34000.0,9000.0
End Cash Position,16960000.0,18378000.0,14168000.0,7003000.0,9308000.0,
Beginning Cash Position,18378000.0,14168000.0,7003000.0,9308000.0,7951000.0,
Changes In Cash,-1418000.0,4210000.0,7165000.0,-2305000.0,1357000.0,
Financing Cash Flow,-5174000.0,-5991000.0,-5825000.0,-11327000.0,-2635000.0,
Cash Flow From Continuing Financing Activities,-5174000.0,-5991000.0,-5825000.0,-11327000.0,-2635000.0,
Net Other Financing Charges,-1000.0,-1292000.0,-1179000.0,-939000.0,-358000.0,
Cash Dividends Paid,-4862000.0,-4699000.0,-4646000.0,-10388000.0,-2277000.0,
Common Stock Dividend Paid,-4862000.0,-4699000.0,-4646000.0,-10388000.0,-2277000.0,
Net Common Stock Issuance,-311000.0,0.0,0.0,0.0,0.0,
Common Stock Payments,-311000.0,0.0,0.0,0.0,0.0,
Investing Cash Flow,2546000.0,6232000.0,8613000.0,6233000.0,2070000.0,
Cash Flow From Continuing Investing Activities,2546000.0,6232000.0,8613000.0,6233000.0,2070000.0,
Net Investment Purchase And Sale,2546000.0,6257000.0,8613000.0,6233000.0,2147000.0,
Sale Of Investment,5500000.0,6751000.0,9350000.0,11050000.0,8400000.0,
Purchase Of Investment,-2954000.0,-494000.0,-737000.0,-4817000.0,-6253000.0,
Net Business Purchase And Sale,,,,,,0.0
Purchase Of Business,,,,,,0.0
Net PPE Purchase And Sale,0.0,-25000.0,0.0,0.0,-77000.0,
Purchase Of PPE,0.0,-25000.0,0.0,0.0,-77000.0,
Operating Cash Flow,1210000.0,3969000.0,4377000.0,2789000.0,1922000.0,
Cash Flow From Continuing Operating Activities,1210000.0,3969000.0,4377000.0,2789000.0,1922000.0,
Change In Working Capital,561000.0,6077000.0,977000.0,-1996000.0,-794000.0,
Change In Other Working Capital,202000.0,66000.0,-1307000.0,-897000.0,-479000.0,
Change In Other Current Assets,-227000.0,-450000.0,-79000.0,332000.0,3000.0,
Change In Payables And Accrued Expense,-2498000.0,6153000.0,210000.0,2201000.0,1301000.0,
Change In Accrued Expense,583000.0,-430000.0,2477000.0,1965000.0,2058000.0,
Change In Payable,-3081000.0,6583000.0,-2267000.0,236000.0,-757000.0,
Change In Account Payable,-3081000.0,6583000.0,-2267000.0,236000.0,-757000.0,
Change In Receivables,3084000.0,308000.0,2153000.0,-3632000.0,-1619000.0,
Changes In Account Receivables,3084000.0,308000.0,2153000.0,-3632000.0,-1619000.0,
Other Non Cash Items,-3921000.0,-6377000.0,-3105000.0,-1930000.0,-1984000.0,
Stock Based Compensation,2241000.0,4312000.0,6977000.0,2214000.0,863000.0,
Asset Impairment Charge,,,,,,0.0
Amortization Of Securities,-32000.0,-63000.0,-100000.0,-159000.0,-195000.0,
Depreciation Amortization Depletion,3719000.0,3857000.0,3622000.0,3642000.0,3554000.0,
Depreciation And Amortization,3719000.0,3857000.0,3622000.0,3642000.0,3554000.0,
Amortization Cash Flow,3678000.0,3815000.0,3583000.0,3600000.0,3513000.0,
Amortization Of Intangibles,3678000.0,3815000.0,3583000.0,3600000.0,3513000.0,
Depreciation,41000.0,42000.0,39000.0,42000.0,41000.0,
Operating Gains Losses,-30000.0,-51000.0,-250000.0,234000.0,159000.0,
Earnings Losses From Equity Investments,-30000.0,-51000.0,-76000.0,156000.0,151000.0,
Gain Loss On Investment Securities,,0.0,-174000.0,78000.0,8000.0,-22000.0
Net Income From Continuing Operations,-1328000.0,-3786000.0,-3744000.0,784000.0,319000.0,
