,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,-151387000.0,-148295000.0,-116859000.0,-132381000.0,-137281000.0,
Repayment Of Debt,-2735000.0,-2722000.0,-405209000.0,-2698000.0,-2884000.0,
Issuance Of Debt,,0.0,,,,
Issuance Of Capital Stock,,0.0,0.0,0.0,0.0,0.0
Capital Expenditure,-5930000.0,-5644000.0,-9354000.0,-4145000.0,-5664000.0,
Interest Paid Supplemental Data,1585000.0,3040000.0,9621000.0,606000.0,9647000.0,
End Cash Position,132954000.0,125632000.0,228579000.0,76551000.0,74055000.0,
Beginning Cash Position,125632000.0,228579000.0,76551000.0,74055000.0,95232000.0,
Effect Of Exchange Rate Changes,-483000.0,191000.0,46000.0,-682000.0,-270000.0,
Changes In Cash,7805000.0,-103138000.0,151982000.0,3178000.0,-20907000.0,
Financing Cash Flow,7770000.0,110705000.0,330466000.0,78533000.0,4754000.0,
Cash Flow From Continuing Financing Activities,7770000.0,110705000.0,330466000.0,78533000.0,4754000.0,
Net Other Financing Charges,-841000.0,98779000.0,-720000.0,74486000.0,-13000.0,
Proceeds From Stock Option Exercised,11346000.0,14648000.0,6935000.0,6745000.0,7651000.0,
Net Common Stock Issuance,,0.0,0.0,0.0,0.0,0.0
Common Stock Issuance,,0.0,0.0,0.0,0.0,0.0
Net Issuance Payments Of Debt,-2735000.0,-2722000.0,324251000.0,-2698000.0,-2884000.0,
Net Long Term Debt Issuance,-2735000.0,-2722000.0,324251000.0,-2698000.0,-2884000.0,
Long Term Debt Payments,-2735000.0,-2722000.0,-405209000.0,-2698000.0,-2884000.0,
Long Term Debt Issuance,,0.0,,,,
Investing Cash Flow,145492000.0,-71192000.0,-70979000.0,52881000.0,105956000.0,
Cash Flow From Continuing Investing Activities,145492000.0,-71192000.0,-70979000.0,52881000.0,105956000.0,
Net Investment Purchase And Sale,151422000.0,-65548000.0,-61625000.0,57026000.0,111620000.0,
Sale Of Investment,257938000.0,280102000.0,273827000.0,279992000.0,275725000.0,
Purchase Of Investment,-106516000.0,-345650000.0,-335452000.0,-222966000.0,-164105000.0,
Net PPE Purchase And Sale,-5930000.0,-5644000.0,-9354000.0,-4145000.0,-5664000.0,
Purchase Of PPE,-5930000.0,-5644000.0,-9354000.0,-4145000.0,-5664000.0,
Operating Cash Flow,-145457000.0,-142651000.0,-107505000.0,-128236000.0,-131617000.0,
Cash Flow From Continuing Operating Activities,-145457000.0,-142651000.0,-107505000.0,-128236000.0,-131617000.0,
Change In Working Capital,-219000.0,-1845000.0,22531000.0,-51111000.0,-5203000.0,
Change In Other Working Capital,41000.0,0.0,268000.0,,,
Change In Other Current Liabilities,-4993000.0,-7751000.0,-4831000.0,-3985000.0,-522000.0,
Change In Payables And Accrued Expense,-4694000.0,26059000.0,14215000.0,14935000.0,-18943000.0,
Change In Accrued Expense,-6213000.0,26368000.0,7617000.0,13985000.0,-14367000.0,
Change In Payable,1519000.0,-309000.0,6598000.0,950000.0,-4576000.0,
Change In Account Payable,1519000.0,-309000.0,6598000.0,950000.0,-4576000.0,
Change In Prepaid Assets,2057000.0,-4197000.0,6277000.0,-4637000.0,-376000.0,
Change In Inventory,-3567000.0,,,,0.0,
Change In Receivables,10937000.0,-15956000.0,6602000.0,-6398000.0,14638000.0,
Changes In Account Receivables,10937000.0,-15956000.0,6602000.0,-6398000.0,14638000.0,
Other Non Cash Items,28582000.0,9766000.0,143468000.0,30441000.0,8713000.0,
Stock Based Compensation,30394000.0,30506000.0,30696000.0,27535000.0,23549000.0,
Depreciation Amortization Depletion,3378000.0,2861000.0,2679000.0,2285000.0,2300000.0,
Depreciation And Amortization,3378000.0,2861000.0,2679000.0,2285000.0,2300000.0,
Depreciation,3378000.0,2861000.0,2679000.0,2285000.0,2300000.0,
Operating Gains Losses,-1561000.0,-908000.0,-701000.0,-3016000.0,400000.0,
Gain Loss On Investment Securities,-1561000.0,-908000.0,-701000.0,-3016000.0,400000.0,
Net Income From Continuing Operations,-206031000.0,-183031000.0,-306178000.0,-134370000.0,-161376000.0,
