,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,17882700.0,12115500.0,10059500.0,1750600.0,-9741000.0,
Repurchase Of Capital Stock,0.0,-38944800.0,-6412600.0,0.0,-8250200.0,
Repayment Of Debt,,-15234100.0,-4629600.0,,,
Issuance Of Debt,,0.0,0.0,960000000.0,0.0,0.0
Issuance Of Capital Stock,,0.0,0.0,,,110411500.0
Capital Expenditure,-7300.0,-3800.0,-14000.0,-552500.0,-3200.0,
Interest Paid Supplemental Data,0.0,0.0,370400.0,0.0,0.0,
Income Tax Paid Supplemental Data,0.0,79900.0,0.0,895700.0,0.0,
End Cash Position,279600400.0,165888100.0,501911500.0,2343901700.0,146127400.0,
Beginning Cash Position,165888100.0,501911500.0,2343901700.0,146127400.0,170236100.0,
Changes In Cash,113712300.0,-336023400.0,-1841990200.0,2197774300.0,-24108700.0,
Financing Cash Flow,80500.0,-53967900.0,-11012100.0,2321217700.0,-8060800.0,
Cash Flow From Continuing Financing Activities,80500.0,-53967900.0,-11012100.0,2321217700.0,-8060800.0,
Net Other Financing Charges,,179400.0,0.0,,,0.0
Proceeds From Stock Option Exercised,80500.0,31600.0,30100.0,48700.0,189400.0,
Net Common Stock Issuance,0.0,-38944800.0,-6412600.0,1395318300.0,-8250200.0,
Common Stock Payments,0.0,-38944800.0,-6412600.0,0.0,-8250200.0,
Common Stock Issuance,,0.0,0.0,,,110411500.0
Net Issuance Payments Of Debt,,-15234100.0,-4629600.0,925600700.0,0.0,0.0
Net Long Term Debt Issuance,,-15234100.0,-4629600.0,925600700.0,0.0,0.0
Long Term Debt Payments,,-15234100.0,-4629600.0,,,
Long Term Debt Issuance,,0.0,0.0,960000000.0,0.0,0.0
Investing Cash Flow,95741800.0,-294174800.0,-1841051600.0,-125746500.0,-6310100.0,
Cash Flow From Continuing Investing Activities,95741800.0,-294174800.0,-1841051600.0,-125746500.0,-6310100.0,
Net Investment Purchase And Sale,95749100.0,-294171000.0,-1841037600.0,-125194000.0,-6306900.0,
Sale Of Investment,100000000.0,250000000.0,75074000.0,18300.0,0.0,
Purchase Of Investment,-4250900.0,-544171000.0,-1916111600.0,-125212300.0,-6306900.0,
Net Intangibles Purchase And Sale,,0.0,,,,
Purchase Of Intangibles,,0.0,,,,
Net PPE Purchase And Sale,-7300.0,-3800.0,-14000.0,-552500.0,-3200.0,
Purchase Of PPE,-7300.0,-3800.0,-14000.0,-552500.0,-3200.0,
Operating Cash Flow,17890000.0,12119300.0,10073500.0,2303100.0,-9737800.0,
Cash Flow From Continuing Operating Activities,17890000.0,12119300.0,10073500.0,2303100.0,-9737800.0,
Change In Working Capital,31982400.0,-7564000.0,10552600.0,1592600.0,1949100.0,
Change In Other Current Liabilities,-245200.0,-231800.0,-225400.0,-220500.0,-216200.0,
Change In Payables And Accrued Expense,24518600.0,3135700.0,16885400.0,3452900.0,3326600.0,
Change In Payable,24518600.0,,16885400.0,3452900.0,3326600.0,
Change In Account Payable,24518600.0,,16885400.0,3452900.0,3326600.0,
Change In Prepaid Assets,7684800.0,-10528800.0,-6149700.0,-1108900.0,-381600.0,
Change In Receivables,24200.0,60900.0,42300.0,-530900.0,-779700.0,
Changes In Account Receivables,23000.0,54200.0,18500.0,-284200.0,-15700.0,
Other Non Cash Items,9052700.0,55065700.0,11104100.0,4105100.0,186800.0,
Stock Based Compensation,11829600.0,13104600.0,10490200.0,17744600.0,17851700.0,
Unrealized Gain Loss On Investment Securities,368699200.0,554972800.0,30557100.0,-3506900.0,0.0,
Deferred Tax,98800.0,165200.0,84600.0,310300.0,0.0,
Deferred Income Tax,98800.0,165200.0,84600.0,310300.0,0.0,
Depreciation Amortization Depletion,2111500.0,2138200.0,2133400.0,2059300.0,2001200.0,
Depreciation And Amortization,2111500.0,2138200.0,2133400.0,2059300.0,2001200.0,
Amortization Cash Flow,,,,1379600.0,1364400.0,2454600.0
Amortization Of Intangibles,,,,1379600.0,1364400.0,2454600.0
Depreciation,2111500.0,2138200.0,4877400.0,-684700.0,2001200.0,
Operating Gains Losses,,,,,,0.0
Gain Loss On Investment Securities,,,,,,0.0
Net Income From Continuing Operations,-405884200.0,-605763200.0,-54848500.0,-20001900.0,-31726600.0,
