,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,-12055000.0,-11619000.0,-15270000.0,-20288000.0,-19366000.0,
Repayment Of Debt,,0.0,,,,0.0
Issuance Of Debt,,0.0,,,,-20000.0
Issuance Of Capital Stock,662000.0,77516000.0,1581000.0,5300000.0,10547000.0,
Capital Expenditure,-118000.0,-369000.0,,-17000.0,-314000.0,-97000.0
Interest Paid Supplemental Data,297000.0,325000.0,345000.0,345000.0,340000.0,
End Cash Position,125847000.0,137153000.0,71212000.0,84806000.0,99789000.0,
Beginning Cash Position,137153000.0,71212000.0,84806000.0,99789000.0,108468000.0,
Changes In Cash,-11306000.0,65941000.0,-13594000.0,-14983000.0,-8679000.0,
Financing Cash Flow,745000.0,77516000.0,1659000.0,5300000.0,10687000.0,
Cash Flow From Continuing Financing Activities,745000.0,77516000.0,1659000.0,5300000.0,10687000.0,
Net Other Financing Charges,,,,,9516000.0,
Proceeds From Stock Option Exercised,83000.0,0.0,78000.0,0.0,140000.0,
Net Common Stock Issuance,662000.0,77516000.0,1581000.0,5300000.0,10547000.0,
Common Stock Issuance,662000.0,77516000.0,1581000.0,5300000.0,10547000.0,
Net Issuance Payments Of Debt,,0.0,,,,-20000.0
Net Long Term Debt Issuance,,0.0,,,,-20000.0
Long Term Debt Payments,,0.0,,,,0.0
Long Term Debt Issuance,,0.0,,,,-20000.0
Investing Cash Flow,-114000.0,-325000.0,17000.0,-12000.0,-314000.0,
Cash Flow From Continuing Investing Activities,-114000.0,-325000.0,17000.0,-12000.0,-314000.0,
Net Business Purchase And Sale,,,,,,0.0
Sale Of Business,,,,,,0.0
Net Intangibles Purchase And Sale,-100000.0,-350000.0,0.0,-15000.0,-250000.0,
Purchase Of Intangibles,-100000.0,-350000.0,0.0,-15000.0,-250000.0,
Net PPE Purchase And Sale,-14000.0,25000.0,17000.0,3000.0,-64000.0,
Sale Of PPE,4000.0,44000.0,17000.0,5000.0,0.0,
Purchase Of PPE,-18000.0,-19000.0,0.0,-2000.0,-64000.0,
Operating Cash Flow,-11937000.0,-11250000.0,-15270000.0,-20271000.0,-19052000.0,
Cash Flow From Continuing Operating Activities,-11937000.0,-11250000.0,-15270000.0,-20271000.0,-19052000.0,
Change In Working Capital,-5856000.0,-27213000.0,1885000.0,-2621000.0,-1295000.0,
Change In Other Working Capital,,-31205000.0,624000.0,-651000.0,439000.0,883000.0
Change In Other Current Liabilities,-2153000.0,1801000.0,-442000.0,990000.0,-5431000.0,
Change In Other Current Assets,42000.0,490000.0,-106000.0,-304000.0,259000.0,
Change In Payables And Accrued Expense,648000.0,-1050000.0,220000.0,199000.0,-106000.0,
Change In Payable,648000.0,-1050000.0,220000.0,199000.0,-106000.0,
Change In Account Payable,648000.0,-1050000.0,220000.0,199000.0,-106000.0,
Change In Prepaid Assets,-393000.0,2747000.0,1593000.0,-2859000.0,1850000.0,
Change In Receivables,-4000000.0,4000.0,-4000.0,4000.0,1694000.0,
Changes In Account Receivables,-4000000.0,4000.0,-4000.0,4000.0,225000.0,
Other Non Cash Items,117000.0,529000.0,2205000.0,-164000.0,-141000.0,
Stock Based Compensation,1549000.0,2041000.0,2386000.0,2937000.0,2822000.0,
Depreciation Amortization Depletion,640000.0,678000.0,674000.0,696000.0,705000.0,
Depreciation And Amortization,640000.0,678000.0,674000.0,696000.0,705000.0,
Depreciation,640000.0,678000.0,674000.0,696000.0,705000.0,
Operating Gains Losses,10054000.0,-7454000.0,1767000.0,-14000.0,-578000.0,
Earnings Losses From Equity Investments,0.0,5370000.0,591000.0,665000.0,-1342000.0,
Gain Loss On Investment Securities,10058000.0,-12359000.0,1179000.0,-704000.0,755000.0,
Gain Loss On Sale Of Business,,,,,,0.0
Net Income From Continuing Operations,-18441000.0,20133000.0,-21772000.0,-23520000.0,-20565000.0,
