,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,-27911000.0,45243000.0,-4286000.0,-31422000.0,-22628000.0,,
Issuance Of Capital Stock,,74623000.0,10531000.0,2850000.0,0.0,-18000.0,
Capital Expenditure,-189000.0,,,,,,-167000.0
End Cash Position,156158000.0,167852000.0,92447000.0,86061000.0,114633000.0,,
Beginning Cash Position,167852000.0,92447000.0,86061000.0,114633000.0,144761000.0,,
Changes In Cash,-11694000.0,75405000.0,6386000.0,-28572000.0,-30128000.0,,
Financing Cash Flow,16217000.0,30162000.0,10672000.0,2850000.0,-7500000.0,,
Cash Flow From Continuing Financing Activities,16217000.0,30162000.0,10672000.0,2850000.0,-7500000.0,,
Net Other Financing Charges,,244000.0,0.0,0.0,-7500000.0,-343721000.0,
Interest Paid Cff,,0.0,0.0,0.0,0.0,343750000.0,
Proceeds From Stock Option Exercised,16217000.0,10207000.0,141000.0,0.0,0.0,,
Cash Dividends Paid,,0.0,0.0,0.0,0.0,0.0,
Net Common Stock Issuance,,74623000.0,10531000.0,2850000.0,0.0,-18000.0,
Common Stock Issuance,,74623000.0,10531000.0,2850000.0,0.0,-18000.0,
Investing Cash Flow,-189000.0,0.0,0.0,0.0,0.0,,
Cash Flow From Continuing Investing Activities,-189000.0,0.0,0.0,0.0,0.0,,
Net Investment Purchase And Sale,,,,,,0.0,0.0
Sale Of Investment,,,,,,0.0,0.0
Net PPE Purchase And Sale,-189000.0,0.0,0.0,0.0,0.0,,
Purchase Of PPE,-189000.0,0.0,0.0,0.0,0.0,,
Operating Cash Flow,-27722000.0,45243000.0,-4286000.0,-31422000.0,-22628000.0,,
Cash Flow From Continuing Operating Activities,-27722000.0,45243000.0,-4286000.0,-31422000.0,-22628000.0,,
Change In Working Capital,-1057000.0,-21325000.0,20967000.0,-26312000.0,12028000.0,,
Change In Other Working Capital,9054000.0,3798000.0,8366000.0,17771000.0,-3976000.0,,
Change In Other Current Liabilities,,1303000.0,0.0,,,,0.0
Change In Payables And Accrued Expense,-1526000.0,275000.0,24084000.0,870000.0,26912000.0,,
Change In Accrued Expense,-4864000.0,12720000.0,21183000.0,-1748000.0,-932000.0,,
Change In Payable,3338000.0,-12445000.0,2901000.0,2618000.0,27844000.0,,
Change In Account Payable,3338000.0,-12445000.0,2901000.0,2618000.0,27844000.0,,
Change In Prepaid Assets,-17338000.0,-8906000.0,-6176000.0,-10793000.0,-4925000.0,,
Change In Inventory,915000.0,3415000.0,5927000.0,-15144000.0,-4831000.0,,
Change In Receivables,7838000.0,-21210000.0,-11234000.0,-26452000.0,-1152000.0,,
Changes In Account Receivables,7838000.0,-21210000.0,-11234000.0,-26452000.0,-1152000.0,,
Other Non Cash Items,-3998000.0,2324000.0,3705000.0,4919000.0,3308000.0,,
Stock Based Compensation,2502000.0,2387000.0,2349000.0,2669000.0,2465000.0,,
Amortization Of Securities,,,,,,0.0,0.0
Depreciation Amortization Depletion,27000.0,26000.0,26000.0,27000.0,26000.0,,
Depreciation And Amortization,27000.0,26000.0,26000.0,27000.0,26000.0,,
Depreciation,27000.0,26000.0,26000.0,27000.0,26000.0,,
Operating Gains Losses,,,,,,1683000.0,0.0
Net Income From Continuing Operations,-25196000.0,61831000.0,-31333000.0,-12725000.0,-40455000.0,,
