,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,12577000.0,13804000.0,-18303000.0,-3384000.0,3983000.0,
Repurchase Of Capital Stock,-14317000.0,,,,0.0,
Repayment Of Debt,-10185000.0,4817000.0,-36560000.0,-25000000.0,-12000000.0,
Issuance Of Debt,27500000.0,10000000.0,33500000.0,30000000.0,0.0,
Capital Expenditure,-82000.0,-416000.0,-1470000.0,-1719000.0,-3053000.0,
Interest Paid Supplemental Data,4505000.0,4633000.0,4637000.0,4385000.0,4138000.0,
Income Tax Paid Supplemental Data,0.0,3000.0,0.0,0.0,0.0,
End Cash Position,46211000.0,60269000.0,65731000.0,86087000.0,98575000.0,
Beginning Cash Position,60269000.0,65731000.0,86087000.0,98575000.0,98845000.0,
Changes In Cash,-14058000.0,-5462000.0,-20356000.0,-12488000.0,-270000.0,
Financing Cash Flow,13257000.0,-7330000.0,13869000.0,7040000.0,9830000.0,
Cash Flow From Continuing Financing Activities,13257000.0,-7330000.0,13869000.0,7040000.0,9830000.0,
Net Other Financing Charges,-850000.0,-1496000.0,1838000.0,677000.0,-873000.0,
Net Common Stock Issuance,-14317000.0,,,,0.0,
Common Stock Payments,-14317000.0,,,,0.0,
Net Issuance Payments Of Debt,17315000.0,14817000.0,-3060000.0,5000000.0,-12000000.0,
Net Long Term Debt Issuance,17315000.0,14817000.0,-3060000.0,5000000.0,-12000000.0,
Long Term Debt Payments,-10185000.0,4817000.0,-36560000.0,-25000000.0,-12000000.0,
Long Term Debt Issuance,27500000.0,10000000.0,33500000.0,30000000.0,0.0,
Investing Cash Flow,-39974000.0,-12352000.0,-17392000.0,-17863000.0,-17136000.0,
Cash Flow From Continuing Investing Activities,-39974000.0,-12352000.0,-17392000.0,-17863000.0,-17136000.0,
Net Other Investing Changes,-143000.0,366000.0,-196000.0,598000.0,1191000.0,
Net Investment Purchase And Sale,-23393000.0,-27793000.0,-31361000.0,-9162000.0,-1112000.0,
Sale Of Investment,11397000.0,10309000.0,8094000.0,13451000.0,11048000.0,
Purchase Of Investment,-34790000.0,-38102000.0,-39455000.0,-22613000.0,-12160000.0,
Net Intangibles Purchase And Sale,,,0.0,,,372000.0
Sale Of Intangibles,,,0.0,,,372000.0
Net PPE Purchase And Sale,-82000.0,-416000.0,-1470000.0,-1719000.0,-3053000.0,
Purchase Of PPE,-82000.0,-416000.0,-1470000.0,-1719000.0,-3053000.0,
Operating Cash Flow,12659000.0,14220000.0,-16833000.0,-1665000.0,7036000.0,
Cash From Discontinued Operating Activities,11308000.0,,,,3415000.0,
Cash Flow From Continuing Operating Activities,1351000.0,19350000.0,-16833000.0,1750000.0,3621000.0,
Change In Working Capital,582000.0,5522000.0,-1955000.0,-1541000.0,2049000.0,
Change In Other Working Capital,582000.0,5522000.0,-1955000.0,-1541000.0,2049000.0,
Other Non Cash Items,-86000.0,3065000.0,-12177000.0,8844000.0,-87000.0,
Stock Based Compensation,510000.0,242000.0,189000.0,174000.0,182000.0,
Amortization Of Securities,-972000.0,-748000.0,-626000.0,-381000.0,-311000.0,
Deferred Tax,-1000.0,-720000.0,148000.0,133000.0,149000.0,
Deferred Income Tax,-1000.0,-720000.0,148000.0,133000.0,149000.0,
Depreciation Amortization Depletion,792000.0,839000.0,773000.0,814000.0,664000.0,
Depreciation And Amortization,792000.0,839000.0,773000.0,814000.0,664000.0,
Amortization Cash Flow,107000.0,85000.0,96000.0,103000.0,91000.0,
Amortization Of Intangibles,107000.0,85000.0,96000.0,103000.0,91000.0,
Depreciation,685000.0,754000.0,677000.0,711000.0,573000.0,
Operating Gains Losses,-83000.0,12092000.0,-4678000.0,-7625000.0,-115000.0,
Gain Loss On Investment Securities,-85000.0,0.0,-51000.0,-108000.0,-55000.0,
Gain Loss On Sale Of PPE,,,0.0,,,0.0
Net Income From Continuing Operations,119000.0,-1411000.0,1080000.0,879000.0,705000.0,
