,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,-153908.0,-4355417.0,-1542979.0,2018387.0,-6088526.0,
Repayment Of Debt,,,,,,0.0
Issuance Of Debt,,,,0.0,,
Capital Expenditure,-165163.0,-269637.0,-54071.0,-316203.0,-185754.0,
Income Tax Paid Supplemental Data,0.0,90000.0,41400.0,40000.0,0.0,
End Cash Position,9305157.0,9362857.0,13380124.0,14741173.0,12802614.0,
Beginning Cash Position,9362857.0,13380124.0,14741173.0,12802614.0,20262886.0,
Effect Of Exchange Rate Changes,-16866.0,-21778.0,-15456.0,36585.0,43966.0,
Changes In Cash,-40834.0,-3995489.0,-1345593.0,1901974.0,-7504238.0,
Financing Cash Flow,0.0,,,-408663.0,0.0,0.0
Cash Flow From Continuing Financing Activities,0.0,,,-408663.0,0.0,0.0
Cash Dividends Paid,0.0,,,,0.0,
Common Stock Dividend Paid,0.0,,,,0.0,
Net Issuance Payments Of Debt,,,,0.0,0.0,0.0
Net Long Term Debt Issuance,,,,0.0,0.0,0.0
Long Term Debt Payments,,,,,,0.0
Long Term Debt Issuance,,,,0.0,,
Investing Cash Flow,-52089.0,561662.0,143315.0,-23953.0,-1601466.0,
Cash Flow From Continuing Investing Activities,-52089.0,561662.0,143315.0,-23953.0,-1601466.0,
Net Investment Purchase And Sale,113074.0,831299.0,197386.0,292250.0,-3415712.0,
Net Business Purchase And Sale,,,,0.0,,
Sale Of Business,,,,0.0,,
Net PPE Purchase And Sale,11.0,-6024.0,-904.0,-7082.0,-899.0,
Sale Of PPE,0.0,,,0.0,0.0,
Purchase Of PPE,11.0,-6024.0,-904.0,-7082.0,-899.0,
Capital Expenditure Reported,-165174.0,-263613.0,-53167.0,-309121.0,-184855.0,
Operating Cash Flow,11255.0,-4085780.0,-1488908.0,2334590.0,-5902772.0,
Cash Flow From Continuing Operating Activities,11255.0,-4085780.0,-1488908.0,2334590.0,-5902772.0,
Change In Working Capital,1107698.0,-4571099.0,-2554287.0,2907846.0,-4442825.0,
Change In Other Working Capital,-7065.0,5433.0,-9380.0,3640.0,-42355.0,
Change In Other Current Liabilities,,,,,,-48835.0
Change In Other Current Assets,15713.0,,,36748.0,-77804.0,0.0
Change In Payables And Accrued Expense,-671624.0,338554.0,1625093.0,2119983.0,-5989869.0,
Change In Accrued Expense,169726.0,-236090.0,73039.0,238962.0,1537590.0,
Change In Payable,-841350.0,574644.0,1552054.0,1881021.0,-7527459.0,
Change In Account Payable,-841350.0,605514.0,1521184.0,1881021.0,-7527459.0,
Change In Tax Payable,,,30870.0,,,
Change In Income Tax Payable,,,30870.0,,,
Change In Prepaid Assets,-8110.0,36280.0,-40793.0,66443.0,35205.0,
Change In Inventory,-5846058.0,-1139134.0,1358115.0,-964257.0,2722665.0,
Change In Receivables,7624842.0,-3596720.0,-5487322.0,1645289.0,-1090667.0,
Changes In Account Receivables,7624842.0,-3596720.0,-5487322.0,1645289.0,-1090667.0,
Other Non Cash Items,18596.0,-6017.0,-6018.0,-6017.0,-981949.0,
Stock Based Compensation,0.0,0.0,0.0,180010.0,0.0,
Provisionand Write Offof Assets,-185.0,,,,0.0,
Deferred Tax,0.0,0.0,0.0,-297102.0,2592.0,
Deferred Income Tax,0.0,0.0,0.0,-297102.0,2592.0,
Depreciation Amortization Depletion,95061.0,182084.0,206539.0,179847.0,191813.0,
Depreciation And Amortization,95061.0,182084.0,206539.0,179847.0,191813.0,
Amortization Cash Flow,87018.0,173899.0,198296.0,171721.0,183784.0,
Amortization Of Intangibles,87018.0,173899.0,198296.0,171721.0,183784.0,
Depreciation,8043.0,8185.0,8243.0,8126.0,8029.0,
Operating Gains Losses,540798.0,-174108.0,314322.0,-784306.0,-34697.0,
Net Foreign Currency Exchange Gain Loss,540798.0,223056.0,329972.0,-784306.0,-34697.0,
Gain Loss On Sale Of PPE,0.0,,,0.0,0.0,
Net Income From Continuing Operations,-1750713.0,466665.0,550536.0,-67934.0,-637706.0,
