,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,-485000.0,-11095000.0,9631000.0,8165000.0,6954000.0,
Repurchase Of Capital Stock,,-1047000.0,-4532000.0,0.0,0.0,-4883000.0
Repayment Of Debt,-3173000.0,-3126000.0,-6302000.0,-250000.0,-23594000.0,
Issuance Of Debt,0.0,38000000.0,0.0,0.0,94500000.0,
Capital Expenditure,-1399000.0,-1148000.0,-1280000.0,-1190000.0,-1138000.0,
End Cash Position,8412000.0,15814000.0,7355000.0,18667000.0,21498000.0,
Beginning Cash Position,15814000.0,7355000.0,18667000.0,21498000.0,13729000.0,
Effect Of Exchange Rate Changes,-147000.0,-112000.0,-56000.0,628000.0,677000.0,
Changes In Cash,-7255000.0,8571000.0,-11256000.0,-3459000.0,7092000.0,
Financing Cash Flow,-5105000.0,32766000.0,-14162000.0,-1171000.0,64034000.0,
Cash Flow From Continuing Financing Activities,-5105000.0,32766000.0,-14162000.0,-1171000.0,64034000.0,
Net Other Financing Charges,3855000.0,3988000.0,3866000.0,861000.0,-5656000.0,
Interest Paid Cff,-5787000.0,-5464000.0,-7234000.0,-1782000.0,-1804000.0,
Proceeds From Stock Option Exercised,0.0,41000.0,40000.0,0.0,588000.0,
Cash Dividends Paid,0.0,0.0,0.0,0.0,0.0,
Net Common Stock Issuance,,-673000.0,-4532000.0,0.0,0.0,-4665000.0
Common Stock Payments,,-1047000.0,-4532000.0,0.0,0.0,-4883000.0
Net Issuance Payments Of Debt,-3173000.0,34874000.0,-6302000.0,-250000.0,70906000.0,
Net Long Term Debt Issuance,-3173000.0,34874000.0,-6302000.0,-250000.0,70906000.0,
Long Term Debt Payments,-3173000.0,-3126000.0,-6302000.0,-250000.0,-23594000.0,
Long Term Debt Issuance,0.0,38000000.0,0.0,0.0,94500000.0,
Investing Cash Flow,-3064000.0,-14248000.0,-8005000.0,-11643000.0,-65034000.0,
Cash Flow From Continuing Investing Activities,-3064000.0,-14248000.0,-8005000.0,-11643000.0,-65034000.0,
Interest Received Cfi,14000.0,1000.0,11000.0,50000.0,36000.0,
Net Business Purchase And Sale,-1679000.0,-23904000.0,-6736000.0,-10503000.0,-63932000.0,
Purchase Of Business,-1679000.0,-23904000.0,-6736000.0,-10503000.0,-63932000.0,
Net Intangibles Purchase And Sale,,0.0,0.0,0.0,,-9539000.0
Purchase Of Intangibles,,0.0,0.0,0.0,,-9539000.0
Net PPE Purchase And Sale,-86000.0,-127000.0,-199000.0,-226000.0,-311000.0,
Purchase Of PPE,-86000.0,-127000.0,-199000.0,-226000.0,-311000.0,
Capital Expenditure Reported,-1313000.0,-1021000.0,-1081000.0,-964000.0,-827000.0,
Operating Cash Flow,914000.0,-9947000.0,10911000.0,9355000.0,8092000.0,
Cash Flow From Continuing Operating Activities,914000.0,-9947000.0,10911000.0,9355000.0,8092000.0,
Taxes Refund Paid,-1640000.0,-180000.0,-2106000.0,-5533000.0,-2469000.0,
Change In Working Capital,-1501000.0,-2692000.0,1749000.0,2361000.0,-4860000.0,
Change In Payables And Accrued Expense,785000.0,1809000.0,1230000.0,673000.0,-2653000.0,
Change In Payable,785000.0,1809000.0,1230000.0,673000.0,-2653000.0,
Change In Inventory,,,,,,0.0
Change In Receivables,-2286000.0,-4501000.0,519000.0,1688000.0,-2207000.0,
Other Non Cash Items,-1458000.0,1305000.0,9548000.0,19047000.0,-1042000.0,
Stock Based Compensation,,1578000.0,1728000.0,2222000.0,1409000.0,1216000.0
Provisionand Write Offof Assets,82000.0,-18000.0,-124000.0,142000.0,329000.0,
Depreciation Amortization Depletion,3816000.0,3693000.0,3577000.0,3373000.0,3776000.0,
Depreciation And Amortization,3816000.0,3693000.0,3577000.0,3373000.0,3776000.0,
Amortization Cash Flow,3278000.0,,,2646000.0,3379000.0,
Amortization Of Intangibles,3278000.0,,,2646000.0,3379000.0,
Depreciation,538000.0,,,727000.0,397000.0,
Operating Gains Losses,1563000.0,,,,1409000.0,
Earnings Losses From Equity Investments,1563000.0,,,,1409000.0,
Net Income From Continuing Operations,52000.0,-27639000.0,-3461000.0,-12257000.0,10949000.0,
