,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,-649250.0,-2243053.0,-892697.0,-2877666.0,-831308.0,,
Repayment Of Debt,0.0,0.0,0.0,-199485.0,-200000.0,,
Issuance Of Debt,310000.0,0.0,0.0,0.0,150000.0,,
Issuance Of Capital Stock,0.0,2456610.0,0.0,541050.0,910000.0,,
Interest Paid Supplemental Data,0.0,,0.0,0.0,0.0,0.0,
Income Tax Paid Supplemental Data,11101.0,25761.0,6000.0,0.0,0.0,,
End Cash Position,16805.0,456041.0,225072.0,1117760.0,51236.0,,
Beginning Cash Position,456041.0,225072.0,1117760.0,51236.0,22538.0,,
Effect Of Exchange Rate Changes,14.0,22.0,9.0,18.0,6.0,,
Changes In Cash,-439250.0,230947.0,-892697.0,1066506.0,28692.0,,
Financing Cash Flow,310000.0,2474000.0,0.0,3944172.0,860000.0,,
Cash Flow From Continuing Financing Activities,310000.0,2474000.0,0.0,3944172.0,860000.0,,
Proceeds From Stock Option Exercised,,17390.0,0.0,3602607.0,0.0,0.0,
Net Common Stock Issuance,0.0,2456610.0,0.0,541050.0,910000.0,,
Common Stock Issuance,0.0,2456610.0,0.0,541050.0,910000.0,,
Net Issuance Payments Of Debt,310000.0,0.0,0.0,-199485.0,-50000.0,,
Net Long Term Debt Issuance,310000.0,-50000.0,50000.0,-249485.0,-50000.0,,
Long Term Debt Payments,0.0,0.0,0.0,-199485.0,-200000.0,,
Long Term Debt Issuance,310000.0,-50000.0,50000.0,-50000.0,150000.0,,
Investing Cash Flow,-100000.0,0.0,0.0,0.0,0.0,,
Cash Flow From Continuing Investing Activities,-100000.0,0.0,0.0,0.0,0.0,,
Net Other Investing Changes,,,,,,0.0,0.0
Net Investment Purchase And Sale,-100000.0,,,,0.0,0.0,
Purchase Of Investment,-100000.0,,,,0.0,0.0,
Net Intangibles Purchase And Sale,,,,,,0.0,
Purchase Of Intangibles,,,,,,0.0,
Net PPE Purchase And Sale,,,,,,0.0,0.0
Purchase Of PPE,,,,,,0.0,0.0
Operating Cash Flow,-649250.0,-2243053.0,-892697.0,-2877666.0,-831308.0,,
Cash Flow From Continuing Operating Activities,-649250.0,-2243053.0,-892697.0,-2877666.0,-831308.0,,
Change In Working Capital,561075.0,-1799302.0,2962621.0,-1919754.0,54141.0,,
Change In Other Working Capital,,,,,,,-748.0
Change In Other Current Liabilities,-78165.0,-46444.0,-82621.0,-143892.0,-124715.0,,
Change In Payables And Accrued Expense,383392.0,-1800824.0,1913971.0,-248008.0,194435.0,,
Change In Payable,383392.0,-1800824.0,1913971.0,-248008.0,194435.0,,
Change In Account Payable,,,,,,0.0,0.0
Change In Tax Payable,19559.0,-1772630.0,1677983.0,15125.0,125707.0,,
Change In Income Tax Payable,19559.0,-1772630.0,1677983.0,15125.0,125707.0,,
Change In Prepaid Assets,246654.0,80574.0,977360.0,-1373943.0,-15579.0,,
Change In Receivables,9194.0,-32608.0,0.0,0.0,0.0,,
Changes In Account Receivables,,,,,,0.0,0.0
Other Non Cash Items,,,77651.0,,,,109099.0
Unrealized Gain Loss On Investment Securities,162483197.0,194738313.0,,,0.0,,
Asset Impairment Charge,,852800.0,0.0,,,-1501327.0,2756986.0
Deferred Tax,158.0,20988.0,,,-83956.0,,
Deferred Income Tax,158.0,20988.0,,,-83956.0,,
Depreciation Amortization Depletion,372313.0,717251.0,362904.0,250362.0,176017.0,,
Depreciation And Amortization,372313.0,717251.0,362904.0,250362.0,176017.0,,
Amortization Cash Flow,299430.0,361830.0,361828.0,361827.0,62400.0,,
Amortization Of Intangibles,299430.0,361830.0,361828.0,361827.0,62400.0,,
Depreciation,72883.0,355421.0,1076.0,-111465.0,113617.0,,
Operating Gains Losses,,194738313.0,,,,,
Gain Loss On Investment Securities,,194738313.0,,,,,
Net Income From Continuing Operations,-164065993.0,-196488628.0,12088469.0,-1499054.0,-977510.0,,
