,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,-10732000.0,-12349000.0,-13721000.0,-9026000.0,-8577000.0,
Repayment Of Debt,-70000.0,-68000.0,-66000.0,-63000.0,0.0,
Issuance Of Capital Stock,72000.0,0.0,0.0,0.0,150000000.0,
Capital Expenditure,-63000.0,-19000.0,-39000.0,-59000.0,-4000.0,
End Cash Position,242652000.0,246251000.0,249654000.0,253873000.0,244954000.0,
Beginning Cash Position,246251000.0,249654000.0,253873000.0,244954000.0,100791000.0,
Effect Of Exchange Rate Changes,-1569000.0,155000.0,-255000.0,3249000.0,40000.0,
Changes In Cash,-2030000.0,-3558000.0,-3964000.0,5670000.0,144123000.0,
Financing Cash Flow,2000.0,-68000.0,-66000.0,-1073000.0,140858000.0,
Cash Flow From Continuing Financing Activities,2000.0,-68000.0,-66000.0,-1073000.0,140858000.0,
Net Other Financing Charges,,0.0,0.0,-1010000.0,-9142000.0,
Net Common Stock Issuance,72000.0,0.0,0.0,0.0,150000000.0,
Common Stock Issuance,72000.0,0.0,0.0,0.0,150000000.0,
Net Issuance Payments Of Debt,-70000.0,-68000.0,-66000.0,-63000.0,0.0,
Net Long Term Debt Issuance,-70000.0,-68000.0,-66000.0,-63000.0,0.0,
Long Term Debt Payments,-70000.0,-68000.0,-66000.0,-63000.0,0.0,
Investing Cash Flow,8637000.0,8840000.0,9784000.0,15710000.0,11838000.0,
Cash Flow From Continuing Investing Activities,8637000.0,8840000.0,9784000.0,15710000.0,11838000.0,
Net Investment Purchase And Sale,8700000.0,8859000.0,9823000.0,15769000.0,11842000.0,
Sale Of Investment,8700000.0,8859000.0,9823000.0,15769000.0,11842000.0,
Purchase Of Investment,,,,,,0.0
Net PPE Purchase And Sale,-63000.0,-19000.0,-39000.0,-59000.0,-4000.0,
Purchase Of PPE,-63000.0,-19000.0,-39000.0,-59000.0,-4000.0,
Operating Cash Flow,-10669000.0,-12330000.0,-13682000.0,-8967000.0,-8573000.0,
Cash Flow From Continuing Operating Activities,-10669000.0,-12330000.0,-13682000.0,-8967000.0,-8573000.0,
Interest Received Cfo,3198000.0,3383000.0,3462000.0,2808000.0,2407000.0,
Interest Paid Cfo,-1000.0,-179000.0,-100000.0,-188000.0,-172000.0,
Change In Working Capital,2961000.0,-1561000.0,-2902000.0,1156000.0,213000.0,
Other Non Cash Items,-2110000.0,-2422000.0,-2762000.0,-2900000.0,-2581000.0,
Stock Based Compensation,1831000.0,2656000.0,2334000.0,1879000.0,1635000.0,
Provisionand Write Offof Assets,-1000.0,-18000.0,-30000.0,-13000.0,19000.0,
Depreciation Amortization Depletion,91000.0,88000.0,89000.0,82000.0,76000.0,
Depreciation And Amortization,91000.0,88000.0,89000.0,82000.0,76000.0,
Depreciation,91000.0,88000.0,89000.0,82000.0,76000.0,
Operating Gains Losses,2329000.0,-140000.0,247000.0,-2502000.0,642000.0,
Net Foreign Currency Exchange Gain Loss,2329000.0,-140000.0,247000.0,-2502000.0,642000.0,
Net Income From Continuing Operations,-18967000.0,-14137000.0,-14020000.0,-9289000.0,-10812000.0,
