,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,-39237000.0,-43781000.0,99777000.0,-36415000.0,-47079000.0,
Repurchase Of Capital Stock,,-357000.0,,,,0.0
Issuance Of Capital Stock,324300000.0,24250000.0,0.0,0.0,0.0,
Capital Expenditure,-1868000.0,-767000.0,-651000.0,-1695000.0,-1587000.0,
End Cash Position,164806000.0,134837000.0,213293000.0,74379000.0,83410000.0,
Beginning Cash Position,134837000.0,213293000.0,74379000.0,83410000.0,229117000.0,
Changes In Cash,29969000.0,-78456000.0,138914000.0,-9031000.0,-145707000.0,
Financing Cash Flow,328335000.0,29624000.0,348000.0,365000.0,14000.0,
Cash Flow From Continuing Financing Activities,328335000.0,29624000.0,348000.0,365000.0,14000.0,
Net Other Financing Charges,-487000.0,,,,,
Proceeds From Stock Option Exercised,4522000.0,5731000.0,348000.0,365000.0,14000.0,
Net Common Stock Issuance,324300000.0,23893000.0,0.0,0.0,0.0,
Common Stock Payments,,-357000.0,,,,0.0
Common Stock Issuance,324300000.0,24250000.0,0.0,0.0,0.0,
Investing Cash Flow,-260997000.0,-65066000.0,38138000.0,25324000.0,-100229000.0,
Cash Flow From Continuing Investing Activities,-260997000.0,-65066000.0,38138000.0,25324000.0,-100229000.0,
Net Investment Purchase And Sale,-259129000.0,-64299000.0,38789000.0,27019000.0,-98642000.0,
Sale Of Investment,72868000.0,89360000.0,104758000.0,46052000.0,39372000.0,
Purchase Of Investment,-331997000.0,-153659000.0,-65969000.0,-19033000.0,-138014000.0,
Net PPE Purchase And Sale,-1868000.0,-767000.0,-651000.0,-1695000.0,-1587000.0,
Sale Of PPE,,,,,,0.0
Purchase Of PPE,-1868000.0,-767000.0,-651000.0,-1695000.0,-1587000.0,
Operating Cash Flow,-37369000.0,-43014000.0,100428000.0,-34720000.0,-45492000.0,
Cash Flow From Continuing Operating Activities,-37369000.0,-43014000.0,100428000.0,-34720000.0,-45492000.0,
Change In Working Capital,141000.0,-3363000.0,121516000.0,-28707000.0,-98635000.0,
Change In Other Working Capital,-4594000.0,3773000.0,110097000.0,-22464000.0,-83916000.0,
Change In Payables And Accrued Expense,665000.0,-1877000.0,13074000.0,-3573000.0,-13480000.0,
Change In Accrued Expense,-3712000.0,8735000.0,4194000.0,-2471000.0,-2606000.0,
Change In Payable,4377000.0,-10612000.0,8880000.0,-1102000.0,-10874000.0,
Change In Account Payable,4377000.0,-10612000.0,8880000.0,-1102000.0,-10874000.0,
Change In Prepaid Assets,-2921000.0,1376000.0,941000.0,-1709000.0,-4000.0,
Change In Receivables,6991000.0,-6635000.0,-2596000.0,-961000.0,-1235000.0,
Stock Based Compensation,5949000.0,4309000.0,4364000.0,4894000.0,5298000.0,
Amortization Of Securities,-985000.0,87000.0,-466000.0,-737000.0,-1029000.0,
Depreciation Amortization Depletion,2029000.0,2088000.0,2095000.0,2125000.0,2048000.0,
Depreciation And Amortization,2029000.0,2088000.0,2095000.0,2125000.0,2048000.0,
Depreciation,2029000.0,2088000.0,2095000.0,2125000.0,2048000.0,
Operating Gains Losses,,0.0,0.0,0.0,-59000.0,
Gain Loss On Sale Of PPE,0.0,0.0,0.0,0.0,-59000.0,
Net Income From Continuing Operations,-44503000.0,-46135000.0,-27081000.0,-12295000.0,46885000.0,
