,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,-1786751.0,-3973623.0,-855688.0,-54878.0,-818635.0,
Repayment Of Debt,,0.0,0.0,0.0,0.0,0.0
Issuance Of Debt,999000.0,2300000.0,0.0,0.0,700000.0,
Issuance Of Capital Stock,,447935.0,3025000.0,0.0,0.0,1730365.0
Interest Paid Supplemental Data,,0.0,0.0,0.0,0.0,5697.0
End Cash Position,385542.0,899784.0,2517218.0,11479.0,66357.0,
Beginning Cash Position,899784.0,2517218.0,11479.0,66357.0,184992.0,
Effect Of Exchange Rate Changes,-181119.0,,,,0.0,
Changes In Cash,-333123.0,-1822185.0,2505739.0,-54878.0,-118635.0,
Financing Cash Flow,1453628.0,2164383.0,3025000.0,0.0,700000.0,
Cash Flow From Continuing Financing Activities,1453628.0,2164383.0,3025000.0,0.0,700000.0,
Proceeds From Stock Option Exercised,454628.0,166448.0,0.0,0.0,0.0,
Net Common Stock Issuance,,447935.0,3025000.0,0.0,0.0,1730365.0
Common Stock Issuance,,447935.0,3025000.0,0.0,0.0,1730365.0
Net Issuance Payments Of Debt,999000.0,2300000.0,0.0,0.0,700000.0,
Net Short Term Debt Issuance,999000.0,-700000.0,0.0,700000.0,0.0,
Short Term Debt Payments,,0.0,0.0,,,0.0
Short Term Debt Issuance,999000.0,,0.0,700000.0,0.0,
Net Long Term Debt Issuance,0.0,,,,700000.0,
Long Term Debt Payments,,,,,0.0,
Long Term Debt Issuance,0.0,,,,700000.0,
Investing Cash Flow,,-12945.0,336427.0,0.0,0.0,0.0
Cash Flow From Continuing Investing Activities,,-12945.0,336427.0,0.0,0.0,0.0
Net Business Purchase And Sale,,-12945.0,336427.0,0.0,0.0,0.0
Sale Of Business,,-12945.0,336427.0,0.0,0.0,0.0
Operating Cash Flow,-1786751.0,-3973623.0,-855688.0,-54878.0,-818635.0,
Cash Flow From Continuing Operating Activities,-1786751.0,-3973624.0,-855687.0,-54878.0,-818635.0,
Change In Working Capital,-1324.0,-1898979.0,297123.0,943392.0,314232.0,
Change In Other Current Liabilities,128499.0,-789460.0,79795.0,293599.0,411141.0,
Change In Other Current Assets,-450615.0,,,,0.0,
Change In Payables And Accrued Expense,762057.0,-295570.0,171343.0,560083.0,-57488.0,
Change In Accrued Expense,572754.0,-251403.0,-5120.0,111564.0,51832.0,
Change In Payable,189303.0,-44167.0,176463.0,448519.0,-109320.0,
Change In Account Payable,191563.0,-44167.0,176463.0,448519.0,-109320.0,
Change In Prepaid Assets,-112233.0,47450.0,45985.0,89710.0,-39421.0,
Change In Receivables,-329032.0,,,,0.0,0.0
Changes In Account Receivables,-329032.0,,,,0.0,
Other Non Cash Items,336270.0,475015.0,-1.0,0.0,17994.0,
Stock Based Compensation,742292.0,733950.0,0.0,0.0,0.0,
Asset Impairment Charge,0.0,,0.0,0.0,108759.0,
Deferred Tax,,,0.0,0.0,0.0,
Deferred Income Tax,,,0.0,0.0,0.0,
Depreciation Amortization Depletion,574713.0,574713.0,0.0,0.0,0.0,
Depreciation And Amortization,574713.0,574713.0,0.0,0.0,0.0,
Amortization Cash Flow,574713.0,,,,0.0,
Amortization Of Intangibles,574713.0,,,,0.0,
Depreciation,,574713.0,0.0,0.0,0.0,0.0
Net Income From Continuing Operations,-3438702.0,-3142878.0,-1152810.0,-998270.0,-1259620.0,
