,2026-03-31,2025-12-31,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,20000000.0,296715000.0,60461000.0,48000000.0,371866000.0
Capital Expenditure,-90000000.0,-134149000.0,-94274000.0,-88000000.0,-142752000.0
End Cash Position,702000000.0,825000000.0,558691000.0,753000000.0,979780000.0
Beginning Cash Position,825000000.0,620960000.0,753000000.0,980000000.0,644942000.0
Effect Of Exchange Rate Changes,15000000.0,-547000.0,-60769000.0,-31000000.0,25690000.0
Changes In Cash,-138000000.0,204367000.0,-133320000.0,-196000000.0,309148000.0
Financing Cash Flow,-130000000.0,-75176000.0,-157060000.0,-158000000.0,-27161000.0
Cash Flow From Continuing Financing Activities,-125000000.0,-75176000.0,-123060000.0,-192000000.0,-27161000.0
Net Other Financing Charges,-13000000.0,-192692000.0,-249977000.0,-4000000.0,-1263224000.0
Cash Dividends Paid,,-25618000.0,,,
Net Common Stock Issuance,,,,,-11516000.0
Net Issuance Payments Of Debt,-117000000.0,146597000.0,92917000.0,-154000000.0,1248541000.0
Net Long Term Debt Issuance,,146597000.0,,,1248541000.0
Investing Cash Flow,-118000000.0,-151321000.0,-130995000.0,-174000000.0,-178309000.0
Cash Flow From Continuing Investing Activities,-118000000.0,-151321000.0,-130995000.0,-174000000.0,-178309000.0
Net Other Investing Changes,-9000000.0,,,-7000000.0,1581444000.0
Net Business Purchase And Sale,-19000000.0,-5833000.0,-23172000.0,-79000000.0,-1596651000.0
Purchase Of Business,-19000000.0,-5833000.0,-23172000.0,-79000000.0,
Net Intangibles Purchase And Sale,-38000000.0,-48595000.0,-33879000.0,-39000000.0,-42629000.0
Purchase Of Intangibles,-38000000.0,-48595000.0,-33879000.0,-39000000.0,-42629000.0
Capital Expenditure Reported,-52000000.0,,,-49000000.0,
Operating Cash Flow,110000000.0,430864000.0,154735000.0,136000000.0,514618000.0
Cash Flow From Continuing Operating Activities,110000000.0,430864000.0,154735000.0,136000000.0,514618000.0
Change In Working Capital,-107000000.0,164754000.0,-131593000.0,-128000000.0,220234000.0
Change In Payables And Accrued Expense,48000000.0,40579000.0,-34092000.0,26000000.0,43537000.0
Change In Payable,48000000.0,40579000.0,-34092000.0,26000000.0,43537000.0
Change In Account Payable,48000000.0,,,26000000.0,
Change In Inventory,-134000000.0,20685000.0,-30428000.0,-61000000.0,99801000.0
Change In Receivables,-21000000.0,99490000.0,-78193000.0,-93000000.0,67252000.0
Changes In Account Receivables,-21000000.0,,,-93000000.0,
Other Non Cash Items,19000000.0,474434000.0,248258000.0,81000000.0,585958000.0
Provisionand Write Offof Assets,21000000.0,,,11000000.0,
Depreciation Amortization Depletion,104000000.0,128367000.0,106785000.0,112000000.0,110131000.0
Depreciation And Amortization,104000000.0,128367000.0,106785000.0,112000000.0,110131000.0
Net Income From Continuing Operations,73000000.0,311250000.0,245772000.0,60000000.0,356045000.0
