,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,-45000.0,10432000.0,-9268000.0,363000.0,3374000.0,
Repayment Of Debt,-394957000.0,-428004000.0,-399206000.0,-317490000.0,-316547000.0,
Issuance Of Debt,393837000.0,413831000.0,405139000.0,316705000.0,315008000.0,
Capital Expenditure,-15333000.0,-10565000.0,-3283000.0,-3157000.0,-3574000.0,
Interest Paid Supplemental Data,2743000.0,,,,11623000.0,
Income Tax Paid Supplemental Data,225000.0,,,,,
End Cash Position,11061000.0,8641000.0,12328000.0,15650000.0,16099000.0,
Beginning Cash Position,8641000.0,12328000.0,15650000.0,16099000.0,14467000.0,
Changes In Cash,2420000.0,-3687000.0,-3322000.0,-449000.0,1632000.0,
Financing Cash Flow,-1749000.0,-14173000.0,5933000.0,-941000.0,-1752000.0,
Cash Flow From Continuing Financing Activities,-1749000.0,-14173000.0,5933000.0,-941000.0,-1752000.0,
Net Other Financing Charges,-629000.0,0.0,0.0,-156000.0,-213000.0,
Cash Dividends Paid,,,,,,-500000.0
Common Stock Dividend Paid,,,,,,-500000.0
Net Issuance Payments Of Debt,-1120000.0,-14173000.0,5933000.0,-785000.0,-1539000.0,
Net Short Term Debt Issuance,6023000.0,-11403000.0,6310000.0,2182000.0,1294000.0,
Short Term Debt Payments,-387795000.0,-424309000.0,-395554000.0,-314523000.0,-313714000.0,
Short Term Debt Issuance,393818000.0,412906000.0,401864000.0,316705000.0,315008000.0,
Net Long Term Debt Issuance,-7143000.0,-2770000.0,-377000.0,-2967000.0,-2833000.0,
Long Term Debt Payments,-7162000.0,-3695000.0,-3652000.0,-2967000.0,-2833000.0,
Long Term Debt Issuance,19000.0,925000.0,,,0.0,
Investing Cash Flow,-11119000.0,-10511000.0,-3270000.0,-3028000.0,-3564000.0,
Cash Flow From Continuing Investing Activities,-11119000.0,-10511000.0,-3270000.0,-3028000.0,-3564000.0,
Net PPE Purchase And Sale,-11119000.0,-8850000.0,-3270000.0,-3028000.0,-3564000.0,
Sale Of PPE,4214000.0,54000.0,13000.0,129000.0,10000.0,
Purchase Of PPE,-15333000.0,-8904000.0,-3283000.0,-3157000.0,-3574000.0,
Operating Cash Flow,15288000.0,20997000.0,-5985000.0,3520000.0,6948000.0,
Cash Flow From Continuing Operating Activities,15288000.0,20997000.0,-5985000.0,3520000.0,6948000.0,
Change In Working Capital,6247000.0,13587000.0,-12202000.0,-5744000.0,-464000.0,
Change In Other Current Liabilities,3333000.0,2259000.0,-4731000.0,-126000.0,-1609000.0,
Change In Other Current Assets,409000.0,285000.0,141000.0,258000.0,283000.0,
Change In Payables And Accrued Expense,851000.0,1604000.0,940000.0,8612000.0,9872000.0,
Change In Accrued Expense,-1177000.0,-100000.0,-2482000.0,1693000.0,-2118000.0,
Change In Payable,2028000.0,1704000.0,3422000.0,6919000.0,11990000.0,
Change In Account Payable,2028000.0,1704000.0,4724000.0,5617000.0,11990000.0,
Change In Prepaid Assets,3612000.0,-3309000.0,368000.0,1058000.0,3665000.0,
Change In Inventory,-554000.0,28867000.0,-8256000.0,-21192000.0,-8265000.0,
Change In Receivables,-1404000.0,-12106000.0,-664000.0,5646000.0,-4410000.0,
Changes In Account Receivables,-1404000.0,-12106000.0,-664000.0,5646000.0,-4410000.0,
Other Non Cash Items,2281000.0,1647000.0,1039000.0,1057000.0,1101000.0,
Stock Based Compensation,305000.0,141000.0,619000.0,625000.0,374000.0,
Provisionand Write Offof Assets,25000.0,0.0,-975000.0,-1000.0,619000.0,
Asset Impairment Charge,,,,,,46303000.0
Deferred Tax,-133000.0,-2728000.0,-889000.0,-883000.0,-1084000.0,
Deferred Income Tax,-133000.0,-2728000.0,-889000.0,-883000.0,-1084000.0,
Depreciation Amortization Depletion,7521000.0,7113000.0,7250000.0,7261000.0,6758000.0,
Depreciation And Amortization,7521000.0,7113000.0,7250000.0,7261000.0,6758000.0,
Operating Gains Losses,-2314000.0,-161000.0,47000.0,695000.0,1174000.0,
Gain Loss On Investment Securities,-843000.0,-46000.0,47000.0,685000.0,1184000.0,
Gain Loss On Sale Of PPE,-1471000.0,,,,-10000.0,
Net Income From Continuing Operations,1356000.0,-37417000.0,-874000.0,510000.0,-1530000.0,
