,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,12815000.0,-16782000.0,3655000.0,-1680000.0,26726000.0,
Repayment Of Debt,-59872000.0,-44807000.0,-20766000.0,-12728000.0,-34693000.0,
Issuance Of Debt,26700000.0,29000000.0,18000000.0,33000000.0,12000000.0,
Issuance Of Capital Stock,53965000.0,13510000.0,0.0,0.0,0.0,
Capital Expenditure,-7681000.0,-24938000.0,-19540000.0,-13044000.0,-11693000.0,
Interest Paid Supplemental Data,1002000.0,1987000.0,1950000.0,938000.0,1830000.0,
End Cash Position,43363000.0,15372000.0,35482000.0,32370000.0,16207000.0,
Beginning Cash Position,15372000.0,35482000.0,32370000.0,16207000.0,12153000.0,
Changes In Cash,27991000.0,-20110000.0,3112000.0,16163000.0,4054000.0,
Financing Cash Flow,14975000.0,-3499000.0,-3200000.0,18024000.0,-22693000.0,
Cash Flow From Continuing Financing Activities,14975000.0,-3499000.0,-3200000.0,18024000.0,-22693000.0,
Net Other Financing Charges,-5818000.0,-1202000.0,-434000.0,,,-23000.0
Net Common Stock Issuance,53965000.0,13510000.0,0.0,0.0,0.0,
Common Stock Issuance,53965000.0,13510000.0,0.0,0.0,0.0,
Net Issuance Payments Of Debt,-33172000.0,-15807000.0,-2766000.0,20272000.0,-22693000.0,
Net Long Term Debt Issuance,-33172000.0,-15807000.0,-2766000.0,20272000.0,-22693000.0,
Long Term Debt Payments,-59872000.0,-44807000.0,-20766000.0,-12728000.0,-34693000.0,
Long Term Debt Issuance,26700000.0,29000000.0,18000000.0,33000000.0,12000000.0,
Investing Cash Flow,-7480000.0,-24767000.0,-16883000.0,-13225000.0,-11672000.0,
Cash Flow From Continuing Investing Activities,-7480000.0,-24767000.0,-16883000.0,-13225000.0,-11672000.0,
Net Business Purchase And Sale,,-96000.0,-72000.0,,,
Purchase Of Business,,-96000.0,-72000.0,,,
Net PPE Purchase And Sale,201000.0,267000.0,2729000.0,141000.0,21000.0,
Sale Of PPE,201000.0,267000.0,2729000.0,141000.0,21000.0,
Capital Expenditure Reported,-7681000.0,-24938000.0,-19540000.0,-13044000.0,-11693000.0,
Operating Cash Flow,20496000.0,8156000.0,23195000.0,11364000.0,38419000.0,
Cash Flow From Continuing Operating Activities,20496000.0,8156000.0,23195000.0,11364000.0,38419000.0,
Change In Working Capital,51422000.0,6727000.0,5397000.0,24534000.0,45505000.0,
Change In Other Working Capital,48407000.0,15690000.0,53000.0,37293000.0,40521000.0,
Change In Payables And Accrued Expense,7427000.0,-4077000.0,-3139000.0,1938000.0,3124000.0,
Change In Prepaid Assets,-2580000.0,720000.0,187000.0,1333000.0,-330000.0,
Change In Inventory,-6669000.0,-16380000.0,14317000.0,-9870000.0,-666000.0,
Change In Receivables,4837000.0,10774000.0,-6021000.0,-6160000.0,2856000.0,
Changes In Account Receivables,4837000.0,10774000.0,-6021000.0,-6160000.0,2856000.0,
Other Non Cash Items,-33079000.0,-13802000.0,-13727000.0,-27183000.0,-33341000.0,
Stock Based Compensation,1135000.0,1385000.0,585000.0,475000.0,1084000.0,
Deferred Tax,-504000.0,1833000.0,0.0,0.0,0.0,
Deferred Income Tax,-504000.0,1833000.0,0.0,0.0,0.0,
Depreciation Amortization Depletion,10693000.0,11561000.0,9142000.0,5542000.0,14977000.0,
Depreciation And Amortization,10693000.0,,,,14977000.0,
Depreciation,10693000.0,,,,14977000.0,
Operating Gains Losses,150000.0,692000.0,-2086000.0,-252000.0,215000.0,
Earnings Losses From Equity Investments,121000.0,163000.0,248000.0,-197000.0,236000.0,
Net Income From Continuing Operations,-9321000.0,-240000.0,23884000.0,8248000.0,9979000.0,
