,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,18159000.0,21240000.0,28743000.0,17946000.0,19756000.0,
Repurchase Of Capital Stock,-3028000.0,0.0,0.0,0.0,-14068000.0,
Repayment Of Debt,-20000000.0,-15000000.0,-30000000.0,-10000000.0,-10000000.0,
Issuance Of Debt,0.0,0.0,10000000.0,160000000.0,45000000.0,
Issuance Of Capital Stock,1431000.0,0.0,,,1361000.0,0.0
Capital Expenditure,-19576000.0,-14321000.0,-10798000.0,-13544000.0,-11088000.0,
Interest Paid Supplemental Data,2985000.0,3483000.0,3896000.0,3286000.0,1577000.0,
Income Tax Paid Supplemental Data,4204000.0,4501000.0,,,7820000.0,8226000.0
End Cash Position,3914000.0,8209000.0,10415000.0,14502000.0,5103000.0,
Beginning Cash Position,8209000.0,10415000.0,14502000.0,5103000.0,8305000.0,
Changes In Cash,-4295000.0,-2206000.0,-4087000.0,9399000.0,-3202000.0,
Financing Cash Flow,-22542000.0,-18969000.0,-22360000.0,142454000.0,21084000.0,
Cash Flow From Continuing Financing Activities,-22542000.0,-18969000.0,-22360000.0,142454000.0,21084000.0,
Net Other Financing Charges,3028000.0,0.0,0.0,-3792000.0,,0.0
Cash Dividends Paid,-3973000.0,-3969000.0,-3969000.0,-3754000.0,-3750000.0,
Common Stock Dividend Paid,,-3969000.0,-3969000.0,-3754000.0,,-3764000.0
Net Common Stock Issuance,-1597000.0,0.0,1609000.0,0.0,-12707000.0,
Common Stock Payments,-3028000.0,0.0,0.0,0.0,-14068000.0,
Common Stock Issuance,1431000.0,0.0,,,1361000.0,0.0
Net Issuance Payments Of Debt,-20000000.0,-15000000.0,-20000000.0,150000000.0,35000000.0,
Net Long Term Debt Issuance,-20000000.0,-15000000.0,-20000000.0,150000000.0,35000000.0,
Long Term Debt Payments,-20000000.0,-15000000.0,-30000000.0,-10000000.0,-10000000.0,
Long Term Debt Issuance,0.0,0.0,10000000.0,160000000.0,45000000.0,
Investing Cash Flow,-19488000.0,-18798000.0,-21268000.0,-164545000.0,-55130000.0,
Cash Flow From Continuing Investing Activities,-19488000.0,-18798000.0,-21268000.0,-164545000.0,-55130000.0,
Net Other Investing Changes,88000.0,123000.0,710000.0,327000.0,-42000.0,
Net Business Purchase And Sale,0.0,-4600000.0,-11180000.0,-151328000.0,-44000000.0,
Purchase Of Business,0.0,-4600000.0,-11180000.0,-151328000.0,-44000000.0,
Net PPE Purchase And Sale,-19576000.0,-14321000.0,-10798000.0,-13544000.0,-11088000.0,
Purchase Of PPE,-19576000.0,-14321000.0,-10798000.0,-13544000.0,-11088000.0,
Operating Cash Flow,37735000.0,35561000.0,39541000.0,31490000.0,30844000.0,
Cash Flow From Continuing Operating Activities,37735000.0,35561000.0,39541000.0,31490000.0,30844000.0,
Change In Working Capital,3274000.0,9168000.0,502000.0,-10561000.0,83000.0,
Change In Other Working Capital,-1327000.0,511000.0,768000.0,2266000.0,-1382000.0,
Change In Other Current Liabilities,-995000.0,-883000.0,-924000.0,-973000.0,-903000.0,
Change In Payables And Accrued Expense,13140000.0,-5646000.0,-10424000.0,-716000.0,20645000.0,
Change In Accrued Expense,1405000.0,4999000.0,2526000.0,-6735000.0,2174000.0,
Change In Payable,11735000.0,-10645000.0,-12950000.0,6019000.0,18471000.0,
Change In Account Payable,11735000.0,-6563000.0,-7201000.0,-3812000.0,18471000.0,
Change In Tax Payable,,,-5749000.0,9831000.0,,
Change In Income Tax Payable,,,-5749000.0,9831000.0,,
Change In Inventory,7734000.0,7515000.0,3291000.0,-8487000.0,-890000.0,
Change In Receivables,-15278000.0,7671000.0,7791000.0,-2651000.0,-17387000.0,
Changes In Account Receivables,-15278000.0,7671000.0,7791000.0,-2651000.0,-17387000.0,
Other Non Cash Items,-1689000.0,-2722000.0,1526000.0,-685000.0,710000.0,
Stock Based Compensation,2135000.0,1851000.0,2375000.0,2212000.0,1476000.0,
Depreciation Amortization Depletion,13579000.0,13410000.0,13262000.0,12291000.0,10580000.0,
Depreciation And Amortization,13579000.0,13410000.0,13262000.0,12291000.0,10580000.0,
Operating Gains Losses,1920000.0,-458000.0,-722000.0,-942000.0,1207000.0,
Pension And Employee Benefit Expense,,-458000.0,-722000.0,-942000.0,,-435000.0
Net Income From Continuing Operations,15463000.0,14312000.0,22598000.0,29175000.0,16327000.0,
