,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,-18513374.0,-9964508.0,-11984490.0,-9448240.0,-14089583.0,
Issuance Of Capital Stock,0.0,0.0,215842304.0,0.0,13676667.0,
Capital Expenditure,-79930.0,-123910.0,-7255.0,-2116.0,-8945.0,
End Cash Position,47321566.0,128645025.0,227563077.0,26355498.0,35865696.0,
Beginning Cash Position,128645025.0,227563077.0,26355498.0,35865696.0,36144720.0,
Changes In Cash,-81323459.0,-98918052.0,201207579.0,-9510198.0,-279024.0,
Financing Cash Flow,180760.0,-357523.0,213192069.0,-61958.0,13810559.0,
Cash Flow From Continuing Financing Activities,180760.0,-357523.0,213192069.0,-61958.0,13810559.0,
Net Other Financing Charges,,-587355.0,-3074898.0,,,
Proceeds From Stock Option Exercised,180760.0,229832.0,424663.0,2055.0,133892.0,
Net Common Stock Issuance,0.0,0.0,215842304.0,0.0,13676667.0,
Common Stock Issuance,0.0,0.0,215842304.0,0.0,13676667.0,
Investing Cash Flow,-63070775.0,-88719931.0,-7255.0,-2116.0,-8945.0,
Cash Flow From Continuing Investing Activities,-63070775.0,-88719931.0,-7255.0,-2116.0,-8945.0,
Net Investment Purchase And Sale,-62990845.0,-88596021.0,0.0,0.0,0.0,
Sale Of Investment,9000000.0,0.0,0.0,0.0,0.0,
Purchase Of Investment,-71990845.0,-88596021.0,,,0.0,0.0
Net PPE Purchase And Sale,-79930.0,-123910.0,-7255.0,-2116.0,-8945.0,
Purchase Of PPE,-79930.0,-123910.0,-7255.0,-2116.0,-8945.0,
Operating Cash Flow,-18433444.0,-9840598.0,-11977235.0,-9446124.0,-14080638.0,
Cash Flow From Continuing Operating Activities,-18433444.0,-9840598.0,-11977235.0,-9446124.0,-14080638.0,
Change In Working Capital,-6384980.0,82573.0,1358130.0,3285767.0,-902534.0,
Change In Other Current Liabilities,-341544.0,119520.0,-213849.0,71018.0,-257273.0,
Change In Other Current Assets,5434.0,311397.0,348790.0,-94844.0,548902.0,
Change In Payables And Accrued Expense,-4867880.0,1063916.0,1392013.0,2339063.0,-2296554.0,
Change In Accrued Expense,-4778301.0,990501.0,2366906.0,1150513.0,-1608683.0,
Change In Payable,-89579.0,73415.0,-974893.0,1188550.0,-687871.0,
Change In Account Payable,-89579.0,73415.0,-974893.0,1188550.0,-687871.0,
Change In Prepaid Assets,-1180990.0,-1412260.0,-168824.0,970530.0,1102391.0,
Change In Receivables,,,,,,0.0
Changes In Account Receivables,,,,,,0.0
Stock Based Compensation,1636675.0,1637845.0,1456080.0,1524943.0,1692267.0,
Asset Impairment Charge,91760.0,89443.0,87274.0,85203.0,83183.0,
Amortization Of Securities,-404723.0,-155748.0,0.0,0.0,0.0,
Depreciation Amortization Depletion,88719.0,83206.0,86157.0,91843.0,92578.0,
Depreciation And Amortization,88719.0,83206.0,86157.0,91843.0,92578.0,
Amortization Cash Flow,7317.0,7317.0,7317.0,7316.0,7317.0,
Amortization Of Intangibles,7317.0,7317.0,7317.0,7316.0,7317.0,
Depreciation,81402.0,75889.0,78840.0,84527.0,85261.0,
Operating Gains Losses,,,,,,5469.0
Gain Loss On Sale Of PPE,,2093.0,,,,5469.0
Net Income From Continuing Operations,-13460895.0,-11580010.0,-14964876.0,-14433880.0,-15046132.0,
