,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,-226218000.0,-264185000.0,-222179000.0,-209053000.0,-272158000.0,
Repayment Of Debt,-799000.0,-776000.0,-747000.0,-2697000.0,-706000.0,
Issuance Of Capital Stock,,0.0,-256000.0,,,-12000.0
Capital Expenditure,-3480000.0,-16589000.0,-2418000.0,-3484000.0,-10070000.0,
Interest Paid Supplemental Data,13122000.0,13510000.0,15452000.0,13269000.0,13122000.0,
Income Tax Paid Supplemental Data,2940000.0,111000.0,1177000.0,677000.0,2176000.0,
End Cash Position,582188000.0,510445000.0,334764000.0,1284324000.0,403247000.0,
Beginning Cash Position,510445000.0,334764000.0,1284324000.0,403247000.0,555030000.0,
Effect Of Exchange Rate Changes,-553000.0,7000.0,-976000.0,1005000.0,895000.0,
Changes In Cash,72296000.0,175674000.0,-948584000.0,880072000.0,-152678000.0,
Financing Cash Flow,29514000.0,33859000.0,33410000.0,857806000.0,28998000.0,
Cash Flow From Continuing Financing Activities,29514000.0,33859000.0,33410000.0,857806000.0,28998000.0,
Proceeds From Stock Option Exercised,30313000.0,34635000.0,34413000.0,36965000.0,29704000.0,
Net Common Stock Issuance,,0.0,-256000.0,,,-12000.0
Common Stock Issuance,,0.0,-256000.0,,,-12000.0
Net Issuance Payments Of Debt,-799000.0,-776000.0,-747000.0,-2697000.0,-706000.0,
Net Long Term Debt Issuance,-799000.0,-776000.0,-747000.0,-2697000.0,-706000.0,
Long Term Debt Payments,-799000.0,-776000.0,-747000.0,-2697000.0,-706000.0,
Investing Cash Flow,265520000.0,389411000.0,-762233000.0,227835000.0,80412000.0,
Cash Flow From Continuing Investing Activities,265520000.0,389411000.0,-762233000.0,227835000.0,80412000.0,
Net Other Investing Changes,-15000000.0,,,,,
Net Investment Purchase And Sale,284000000.0,436000000.0,-759815000.0,231319000.0,90482000.0,
Sale Of Investment,284000000.0,436000000.0,425000000.0,508000000.0,721000000.0,
Purchase Of Investment,0.0,0.0,-1184815000.0,-276681000.0,-630518000.0,
Net PPE Purchase And Sale,-3480000.0,-16589000.0,-2418000.0,-3484000.0,-10070000.0,
Purchase Of PPE,-3480000.0,-16589000.0,-2418000.0,-3484000.0,-10070000.0,
Operating Cash Flow,-222738000.0,-247596000.0,-219761000.0,-205569000.0,-262088000.0,
Cash Flow From Continuing Operating Activities,-222738000.0,-247596000.0,-219761000.0,-205569000.0,-262088000.0,
Change In Working Capital,-64211000.0,-37643000.0,13896000.0,9538000.0,-66090000.0,
Change In Other Current Liabilities,-497000.0,-914000.0,-1096000.0,-815000.0,-2167000.0,
Change In Other Current Assets,-2357000.0,-11787000.0,-2851000.0,2347000.0,10168000.0,
Change In Payables And Accrued Expense,-33875000.0,90346000.0,45559000.0,25658000.0,-61490000.0,
Change In Prepaid Assets,12594000.0,-26224000.0,-3732000.0,-6534000.0,-16941000.0,
Change In Inventory,-1886000.0,-11764000.0,-13758000.0,-4976000.0,-1021000.0,
Change In Receivables,-38190000.0,-77300000.0,-10226000.0,-6142000.0,5361000.0,
Changes In Account Receivables,-38190000.0,-77300000.0,-10226000.0,-6142000.0,5361000.0,
Other Non Cash Items,-39220000.0,84329000.0,112976000.0,67434000.0,26509000.0,
Stock Based Compensation,45754000.0,39039000.0,31433000.0,42976000.0,39262000.0,
Amortization Of Securities,-6513000.0,-10397000.0,-12041000.0,-7578000.0,-8332000.0,
Depreciation Amortization Depletion,5015000.0,5561000.0,3996000.0,3747000.0,3146000.0,
Depreciation And Amortization,5015000.0,5561000.0,3996000.0,3747000.0,3146000.0,
Amortization Cash Flow,2081000.0,1937000.0,1538000.0,1263000.0,1263000.0,
Amortization Of Intangibles,2081000.0,1937000.0,1538000.0,1263000.0,1263000.0,
Depreciation,2934000.0,3624000.0,2458000.0,2484000.0,1883000.0,
Operating Gains Losses,,,,,,-870000.0
Gain Loss On Investment Securities,,,,,,-870000.0
Net Income From Continuing Operations,-163563000.0,-328485000.0,-370021000.0,-321686000.0,-256583000.0,
