,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31
Free Cash Flow,-12727000.0,-9833000.0,-6157000.0,-10269000.0,-8994000.0
Repurchase Of Capital Stock,-33000.0,-116000.0,0.0,0.0,-36000.0
Issuance Of Capital Stock,27250000.0,23178000.0,5217000.0,0.0,6389000.0
Interest Paid Supplemental Data,0.0,0.0,0.0,0.0,0.0
Income Tax Paid Supplemental Data,0.0,0.0,0.0,0.0,0.0
End Cash Position,59959000.0,45091000.0,30815000.0,32429000.0,41792000.0
Beginning Cash Position,45091000.0,30815000.0,32429000.0,41792000.0,30321000.0
Changes In Cash,14868000.0,14276000.0,-1614000.0,-9363000.0,11471000.0
Financing Cash Flow,27595000.0,24109000.0,4543000.0,906000.0,20465000.0
Cash Flow From Continuing Financing Activities,27595000.0,24109000.0,4543000.0,906000.0,20465000.0
Net Other Financing Charges,-360000.0,-98000.0,-696000.0,906000.0,-1413000.0
Proceeds From Stock Option Exercised,738000.0,1145000.0,22000.0,0.0,15525000.0
Net Preferred Stock Issuance,25000000.0,,,,0.0
Preferred Stock Issuance,25000000.0,,,,0.0
Net Common Stock Issuance,2217000.0,23062000.0,5217000.0,0.0,6353000.0
Common Stock Payments,-33000.0,-116000.0,0.0,0.0,-36000.0
Common Stock Issuance,2250000.0,23178000.0,5217000.0,0.0,6389000.0
Investing Cash Flow,0.0,0.0,0.0,0.0,0.0
Operating Cash Flow,-12727000.0,-9833000.0,-6157000.0,-10269000.0,-8994000.0
Cash Flow From Continuing Operating Activities,-12727000.0,-9833000.0,-6157000.0,-10269000.0,-8994000.0
Change In Working Capital,-102000.0,73000.0,875000.0,-2808000.0,-294000.0
Change In Payables And Accrued Expense,1587000.0,-69000.0,-40000.0,-2933000.0,-446000.0
Change In Accrued Expense,432000.0,-873000.0,-946000.0,-1948000.0,272000.0
Change In Payable,1155000.0,804000.0,906000.0,-985000.0,-718000.0
Change In Account Payable,1155000.0,804000.0,906000.0,-985000.0,-718000.0
Change In Prepaid Assets,-2139000.0,-973000.0,618000.0,-53000.0,-865000.0
Change In Receivables,450000.0,1115000.0,297000.0,178000.0,1017000.0
Changes In Account Receivables,264000.0,921000.0,483000.0,-319000.0,483000.0
Other Non Cash Items,69000.0,118000.0,68000.0,-35000.0,1372000.0
Stock Based Compensation,1464000.0,774000.0,816000.0,896000.0,913000.0
Unrealized Gain Loss On Investment Securities,0.0,0.0,0.0,1000.0,1000.0
Depreciation Amortization Depletion,13000.0,13000.0,13000.0,14000.0,13000.0
Depreciation And Amortization,13000.0,13000.0,13000.0,14000.0,13000.0
Depreciation,13000.0,13000.0,13000.0,14000.0,13000.0
Operating Gains Losses,51364000.0,5712000.0,9525000.0,-917000.0,-2805000.0
Gain Loss On Investment Securities,51364000.0,5712000.0,9525000.0,-917000.0,-2805000.0
Net Income From Continuing Operations,-65535000.0,-16523000.0,-17454000.0,-7420000.0,-8194000.0
