,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,1552322.0,-4196468.0,-1323643.0,3577865.0,-12315821.0,
Repurchase Of Capital Stock,0.0,,,0.0,-60488.0,
Repayment Of Debt,-319004.0,-319004.0,-319004.0,,0.0,0.0
Issuance Of Debt,,,,-258499.0,,
Issuance Of Capital Stock,,,,0.0,,
Capital Expenditure,-403696.0,-229684.0,-140036.0,-1117569.0,,-178815.0
Interest Paid Supplemental Data,87215.0,100191.0,112176.0,90102.0,35646.0,
Income Tax Paid Supplemental Data,3081.0,1611192.0,0.0,118391.0,0.0,
End Cash Position,18083652.0,17615334.0,22709118.0,24351765.0,23591154.0,
Beginning Cash Position,17615334.0,22709118.0,24351765.0,23591154.0,34395386.0,
Changes In Cash,468318.0,-5093784.0,-1642647.0,760611.0,-10804232.0,
Financing Cash Flow,-319004.0,-364005.0,-319004.0,-425713.0,2278874.0,
Cash Flow From Continuing Financing Activities,-319004.0,-364005.0,-319004.0,-425713.0,2278874.0,
Net Common Stock Issuance,0.0,,,0.0,-60488.0,
Common Stock Payments,0.0,,,0.0,-60488.0,
Common Stock Issuance,,,,0.0,,
Net Issuance Payments Of Debt,-319004.0,-319004.0,-319004.0,-425713.0,2339362.0,
Net Long Term Debt Issuance,-319004.0,-319004.0,-319004.0,-425713.0,2339362.0,
Long Term Debt Payments,-319004.0,-319004.0,-319004.0,,0.0,0.0
Long Term Debt Issuance,,,,-258499.0,,
Investing Cash Flow,-1168696.0,-762995.0,-140036.0,-3509110.0,-585477.0,
Cash Flow From Continuing Investing Activities,-1168696.0,-762995.0,-140036.0,-3509110.0,-585477.0,
Net Investment Purchase And Sale,,,,767285.0,,
Sale Of Investment,,,,0.0,,
Purchase Of Investment,,,,767285.0,,
Net Business Purchase And Sale,-765000.0,,,,-767285.0,
Purchase Of Business,-765000.0,,,,-767285.0,
Net Intangibles Purchase And Sale,,,-132534.0,-157821.0,0.0,-124832.0
Purchase Of Intangibles,,,-132534.0,-157821.0,0.0,-124832.0
Net PPE Purchase And Sale,-247347.0,-69376.0,-7502.0,-959748.0,181808.0,
Purchase Of PPE,-247347.0,-69376.0,-7502.0,-959748.0,181808.0,
Capital Expenditure Reported,-156349.0,,,,0.0,
Operating Cash Flow,1956018.0,-3966784.0,-1183607.0,4695434.0,-12497629.0,
Cash Flow From Continuing Operating Activities,1956018.0,-3966784.0,-1183607.0,4695434.0,-12497629.0,
Change In Working Capital,3059684.0,-4340491.0,-1843342.0,8271972.0,-10016731.0,
Change In Other Working Capital,-1927665.0,2008836.0,-1898951.0,3399956.0,-549992.0,
Change In Other Current Liabilities,-489737.0,-332413.0,-469556.0,-396830.0,-376953.0,
Change In Payables And Accrued Expense,3470372.0,-6984537.0,-791020.0,-97406.0,-10581487.0,
Change In Accrued Expense,-99500.0,-201093.0,-576181.0,413685.0,-838174.0,
Change In Payable,3569872.0,-6783444.0,-214839.0,-511091.0,-9743313.0,
Change In Account Payable,3582462.0,-6514178.0,-496695.0,-195902.0,-9743313.0,
Change In Tax Payable,,-269266.0,281856.0,-315189.0,0.0,-399995.0
Change In Income Tax Payable,,-269266.0,281856.0,-315189.0,0.0,-399995.0
Change In Prepaid Assets,-363641.0,-1478342.0,509535.0,168884.0,139686.0,
Change In Inventory,-1291943.0,10723.0,62395.0,447881.0,181075.0,
Change In Receivables,3662298.0,2435242.0,744255.0,4749487.0,1170940.0,
Changes In Account Receivables,3662298.0,2435242.0,744255.0,4749487.0,1170940.0,
Other Non Cash Items,32312.0,32313.0,32312.0,,,
Stock Based Compensation,992478.0,821841.0,938148.0,692531.0,1470877.0,
Provisionand Write Offof Assets,5564497.0,4209201.0,1764252.0,8645045.0,6103688.0,
Asset Impairment Charge,849313.0,1113981.0,423457.0,832800.0,0.0,
Depreciation Amortization Depletion,690634.0,612228.0,561150.0,679206.0,570672.0,
Depreciation And Amortization,690634.0,612228.0,561150.0,679206.0,570672.0,
Depreciation,690634.0,612228.0,561150.0,679206.0,570672.0,
Operating Gains Losses,290083.0,187054.0,199279.0,325474.0,230360.0,
Earnings Losses From Equity Investments,290083.0,187054.0,199279.0,325474.0,230360.0,
Net Income From Continuing Operations,-9522983.0,-6602911.0,-3258863.0,-14790072.0,-10856495.0,
