,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,-47300000.0,-12100000.0,-41300000.0,-32200000.0,-51800000.0,
Repayment Of Debt,-900000.0,-400000.0,-180500000.0,-3000000.0,-2900000.0,
Issuance Of Debt,,0.0,0.0,0.0,0.0,0.0
Issuance Of Capital Stock,1348600000.0,0.0,0.0,555900000.0,0.0,
Capital Expenditure,-19900000.0,-24200000.0,-28000000.0,-20500000.0,-22600000.0,
End Cash Position,1464300000.0,560600000.0,565900000.0,783600000.0,263700000.0,
Beginning Cash Position,560600000.0,565900000.0,783600000.0,263700000.0,329300000.0,
Effect Of Exchange Rate Changes,-1100000.0,-700000.0,-300000.0,1300000.0,700000.0,
Changes In Cash,904800000.0,-4600000.0,-217400000.0,518600000.0,-66300000.0,
Financing Cash Flow,1297300000.0,500000.0,-176100000.0,550800000.0,-14500000.0,
Cash Flow From Continuing Financing Activities,1297300000.0,500000.0,-176100000.0,550800000.0,-14500000.0,
Net Other Financing Charges,-55700000.0,900000.0,-900000.0,-2100000.0,-16200000.0,
Proceeds From Stock Option Exercised,5300000.0,0.0,5300000.0,0.0,4600000.0,
Net Common Stock Issuance,1348600000.0,0.0,0.0,555900000.0,0.0,
Common Stock Issuance,1348600000.0,0.0,0.0,555900000.0,0.0,
Net Issuance Payments Of Debt,-900000.0,-400000.0,-180500000.0,-3000000.0,-2900000.0,
Net Long Term Debt Issuance,-900000.0,-400000.0,-180500000.0,-3000000.0,-2900000.0,
Long Term Debt Payments,-900000.0,-400000.0,-180500000.0,-3000000.0,-2900000.0,
Long Term Debt Issuance,,0.0,0.0,0.0,0.0,0.0
Investing Cash Flow,-365100000.0,-17200000.0,-28000000.0,-20500000.0,-22600000.0,
Cash Flow From Continuing Investing Activities,-365100000.0,-17200000.0,-28000000.0,-20500000.0,-22600000.0,
Net Other Investing Changes,4200000.0,,,,,
Net Business Purchase And Sale,-349400000.0,-5000000.0,0.0,0.0,0.0,
Purchase Of Business,-349400000.0,-5000000.0,0.0,0.0,0.0,
Capital Expenditure Reported,-19900000.0,-24200000.0,-28000000.0,-20500000.0,-22600000.0,
Operating Cash Flow,-27400000.0,12100000.0,-13300000.0,-11700000.0,-29200000.0,
Cash Flow From Continuing Operating Activities,-27400000.0,12100000.0,-13300000.0,-11700000.0,-29200000.0,
Change In Working Capital,-75800000.0,-27400000.0,-46500000.0,-38100000.0,-56000000.0,
Change In Other Working Capital,-3700000.0,9100000.0,-7700000.0,-4200000.0,-1800000.0,
Change In Other Current Liabilities,-10500000.0,-5000000.0,-3100000.0,-4000000.0,-3100000.0,
Change In Payables And Accrued Expense,8300000.0,8200000.0,-15700000.0,22300000.0,4300000.0,
Change In Accrued Expense,-22500000.0,7600000.0,16100000.0,5500000.0,3600000.0,
Change In Payable,30800000.0,600000.0,-31800000.0,16800000.0,700000.0,
Change In Account Payable,30800000.0,600000.0,-31800000.0,16800000.0,700000.0,
Change In Prepaid Assets,-26500000.0,36600000.0,-4200000.0,-14500000.0,-12800000.0,
Change In Inventory,-14700000.0,-20200000.0,8200000.0,-1900000.0,-5400000.0,
Change In Receivables,-28700000.0,-29000000.0,-24000000.0,-35800000.0,-37200000.0,
Changes In Account Receivables,-2000000.0,-28100000.0,6600000.0,-23900000.0,800000.0,
Other Non Cash Items,100000.0,100000.0,100000.0,100000.0,200000.0,
Stock Based Compensation,15000000.0,9100000.0,9100000.0,8600000.0,8700000.0,
Provisionand Write Offof Assets,,,,,,0.0
Deferred Tax,1200000.0,8200000.0,-100000.0,0.0,0.0,
Deferred Income Tax,1200000.0,8200000.0,-100000.0,0.0,0.0,
Depreciation Amortization Depletion,20200000.0,16200000.0,14900000.0,14800000.0,13400000.0,
Depreciation And Amortization,20200000.0,16200000.0,14900000.0,14800000.0,13400000.0,
Depreciation,20200000.0,16200000.0,14900000.0,14800000.0,13400000.0,
Operating Gains Losses,,0.0,,,,
Net Income From Continuing Operations,11900000.0,5900000.0,8700000.0,2900000.0,4500000.0,
