,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,368000000.0,269000000.0,408000000.0,243000000.0,249000000.0,
Repayment Of Debt,-1075000000.0,0.0,-300000000.0,0.0,0.0,
Issuance Of Debt,795000000.0,296000000.0,1012000000.0,942000000.0,220000000.0,
Issuance Of Capital Stock,,,,,,5000000.0
Interest Paid Supplemental Data,126000000.0,127000000.0,134000000.0,100000000.0,139000000.0,
End Cash Position,115000000.0,556000000.0,503000000.0,329000000.0,25000000.0,
Beginning Cash Position,556000000.0,503000000.0,329000000.0,25000000.0,81000000.0,
Changes In Cash,-441000000.0,53000000.0,174000000.0,304000000.0,-56000000.0,
Financing Cash Flow,-416000000.0,75000000.0,477000000.0,551000000.0,99000000.0,
Cash Flow From Continuing Financing Activities,-416000000.0,75000000.0,477000000.0,551000000.0,99000000.0,
Net Other Financing Charges,1000000.0,,-5000000.0,6000000.0,9000000.0,-2000000.0
Cash Dividends Paid,-137000000.0,-130000000.0,-130000000.0,-131000000.0,-130000000.0,
Common Stock Dividend Paid,-137000000.0,-130000000.0,-130000000.0,-131000000.0,-130000000.0,
Net Common Stock Issuance,,,,,,5000000.0
Common Stock Issuance,,,,,,5000000.0
Net Issuance Payments Of Debt,-280000000.0,192000000.0,612000000.0,676000000.0,220000000.0,
Net Short Term Debt Issuance,795000000.0,-104000000.0,-100000000.0,-486000000.0,220000000.0,
Short Term Debt Issuance,795000000.0,,,,220000000.0,
Net Long Term Debt Issuance,-1075000000.0,296000000.0,712000000.0,1162000000.0,0.0,
Long Term Debt Payments,-1075000000.0,0.0,-300000000.0,0.0,0.0,
Long Term Debt Issuance,,296000000.0,1012000000.0,1162000000.0,0.0,0.0
Investing Cash Flow,-393000000.0,-291000000.0,-711000000.0,-490000000.0,-404000000.0,
Cash Flow From Continuing Investing Activities,-393000000.0,-291000000.0,-711000000.0,-490000000.0,-404000000.0,
Net Other Investing Changes,21000000.0,294000000.0,122000000.0,-7000000.0,178000000.0,
Net Business Purchase And Sale,-414000000.0,-835000000.0,-583000000.0,-483000000.0,-582000000.0,
Sale Of Business,,0.0,0.0,,,0.0
Purchase Of Business,-414000000.0,-835000000.0,-583000000.0,-483000000.0,-582000000.0,
Operating Cash Flow,368000000.0,269000000.0,408000000.0,243000000.0,249000000.0,
Cash Flow From Continuing Operating Activities,368000000.0,269000000.0,408000000.0,243000000.0,249000000.0,
Change In Working Capital,-7000000.0,-80000000.0,-62000000.0,-89000000.0,-125000000.0,
Change In Other Working Capital,113000000.0,128000000.0,-8000000.0,48000000.0,-32000000.0,
Change In Other Current Liabilities,15000000.0,33000000.0,36000000.0,18000000.0,53000000.0,
Change In Other Current Assets,-35000000.0,,,24000000.0,-12000000.0,76000000.0
Change In Payables And Accrued Expense,-59000000.0,,,33000000.0,-45000000.0,37000000.0
Change In Payable,-59000000.0,,,33000000.0,-45000000.0,37000000.0
Change In Account Payable,-59000000.0,,,33000000.0,-45000000.0,37000000.0
Change In Inventory,30000000.0,,,,39000000.0,
Change In Receivables,-71000000.0,-261000000.0,-102000000.0,-161000000.0,-128000000.0,
Changes In Account Receivables,-71000000.0,-261000000.0,-102000000.0,-161000000.0,-128000000.0,
Other Non Cash Items,-15000000.0,25000000.0,3000000.0,-2000000.0,1000000.0,
Deferred Tax,-57000000.0,-33000000.0,-25000000.0,-49000000.0,-51000000.0,
Deferred Income Tax,-57000000.0,-33000000.0,-25000000.0,-49000000.0,-51000000.0,
Depreciation Amortization Depletion,223000000.0,215000000.0,211000000.0,209000000.0,211000000.0,
Depreciation And Amortization,223000000.0,215000000.0,211000000.0,209000000.0,211000000.0,
Net Income From Continuing Operations,224000000.0,142000000.0,281000000.0,174000000.0,213000000.0,
