,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31
Free Cash Flow,-109362.0,-175517.0,-118691.0,-201367.0,-115047.0
End Cash Position,140717.0,250079.0,500596.0,619287.0,820654.0
Beginning Cash Position,250079.0,500596.0,619287.0,820654.0,935701.0
Changes In Cash,-109362.0,-250517.0,-118691.0,-201367.0,-115047.0
Operating Cash Flow,-109362.0,-175517.0,-118691.0,-201367.0,-115047.0
Cash Flow From Continuing Operating Activities,-109362.0,-175517.0,-118691.0,-201367.0,-115047.0
Change In Working Capital,85151.0,111204.0,120017.0,-26078.0,92626.0
Change In Payables And Accrued Expense,125234.0,74962.0,75072.0,-75220.0,65251.0
Change In Accrued Expense,125234.0,74962.0,75072.0,-75220.0,65251.0
Change In Prepaid Assets,-40083.0,36242.0,44945.0,49142.0,27375.0
Other Non Cash Items,,-2346447.0,-2533302.0,,
Unrealized Gain Loss On Investment Securities,-2149376.0,,,2397846.0,-2423525.0
Net Income From Continuing Operations,1954863.0,2059726.0,2268915.0,2367013.0,2215852.0
