,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,34831000.0,36409000.0,29595000.0,26981000.0,19814000.0,,
Repurchase Of Capital Stock,-15000000.0,-14145000.0,-15000000.0,-45855000.0,-25000000.0,,
Repayment Of Debt,,,,,,0.0,0.0
Issuance Of Capital Stock,0.0,2439000.0,2917000.0,0.0,2232000.0,,
Capital Expenditure,-15424000.0,-21175000.0,-17505000.0,-11550000.0,-12078000.0,,
Interest Paid Supplemental Data,,,,,,0.0,0.0
Income Tax Paid Supplemental Data,1719000.0,2474000.0,1102000.0,2752000.0,1440000.0,,
End Cash Position,139956000.0,133886000.0,117910000.0,107156000.0,127564000.0,,
Beginning Cash Position,133886000.0,117910000.0,107156000.0,127564000.0,136291000.0,,
Effect Of Exchange Rate Changes,15000.0,-22000.0,-139000.0,416000.0,238000.0,,
Changes In Cash,6055000.0,15998000.0,10893000.0,-20824000.0,-8965000.0,,
Financing Cash Flow,-28776000.0,-20411000.0,-18702000.0,-47805000.0,-28779000.0,,
Cash Flow From Continuing Financing Activities,-28776000.0,-20411000.0,-18702000.0,-47805000.0,-28779000.0,,
Net Other Financing Charges,-13776000.0,-8705000.0,-6619000.0,-1950000.0,-6011000.0,,
Net Common Stock Issuance,-15000000.0,-11706000.0,-12083000.0,-45855000.0,-22768000.0,,
Common Stock Payments,-15000000.0,-14145000.0,-15000000.0,-45855000.0,-25000000.0,,
Common Stock Issuance,0.0,2439000.0,2917000.0,0.0,2232000.0,,
Net Issuance Payments Of Debt,,,,,,0.0,0.0
Net Long Term Debt Issuance,,,,,,0.0,0.0
Long Term Debt Payments,,,,,,0.0,0.0
Investing Cash Flow,-15424000.0,-21175000.0,-17505000.0,-11550000.0,-12078000.0,,
Cash Flow From Continuing Investing Activities,-15424000.0,-21175000.0,-17505000.0,-11550000.0,-12078000.0,,
Net Intangibles Purchase And Sale,-4891000.0,-7568000.0,-4431000.0,-4320000.0,-3462000.0,,
Purchase Of Intangibles,-4891000.0,-7568000.0,-4431000.0,-4320000.0,-3462000.0,,
Capital Expenditure Reported,-10533000.0,-13607000.0,-13074000.0,-7230000.0,-8616000.0,,
Operating Cash Flow,50255000.0,57584000.0,47100000.0,38531000.0,31892000.0,,
Cash Flow From Continuing Operating Activities,50255000.0,57584000.0,47100000.0,38531000.0,31892000.0,,
Change In Working Capital,-14455000.0,8928000.0,553000.0,407000.0,-5217000.0,,
Change In Other Current Liabilities,-2377000.0,-2021000.0,-1825000.0,-1325000.0,-2068000.0,,
Change In Payables And Accrued Expense,3729000.0,20117000.0,13716000.0,1102000.0,-21380000.0,,
Change In Accrued Expense,1483000.0,11313000.0,-193000.0,-369000.0,-16886000.0,,
Change In Payable,2246000.0,8804000.0,13909000.0,1471000.0,-4494000.0,,
Change In Account Payable,2246000.0,8804000.0,13909000.0,1471000.0,-4494000.0,,
Change In Prepaid Assets,-949000.0,-3897000.0,-4621000.0,686000.0,13196000.0,,
Change In Inventory,971000.0,1514000.0,3116000.0,1058000.0,8520000.0,,
Change In Receivables,-15829000.0,-6785000.0,-9833000.0,-1114000.0,-3485000.0,,
Changes In Account Receivables,-15829000.0,-6785000.0,-9833000.0,-1114000.0,-3485000.0,,
Other Non Cash Items,89000.0,382000.0,418000.0,221000.0,103000.0,,
Stock Based Compensation,28072000.0,35380000.0,35774000.0,24086000.0,20373000.0,,
Asset Impairment Charge,,,,,,15952000.0,0.0
Deferred Tax,3508000.0,6534000.0,-2867000.0,314000.0,822000.0,,
Deferred Income Tax,3508000.0,6534000.0,-2867000.0,314000.0,822000.0,,
Depreciation Amortization Depletion,11224000.0,10508000.0,10428000.0,10590000.0,10789000.0,,
Depreciation And Amortization,11224000.0,10508000.0,10428000.0,10590000.0,10789000.0,,
Depreciation,11224000.0,10508000.0,10428000.0,10590000.0,10789000.0,,
Net Income From Continuing Operations,21817000.0,-7645000.0,2794000.0,2913000.0,5022000.0,,
