,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,-92870.0,-236673.0,-215136.0,-137307.0,-185142.0,
Repayment Of Debt,,0.0,0.0,,,0.0
Issuance Of Debt,75000.0,0.0,2950000.0,228079.0,0.0,
Issuance Of Capital Stock,,0.0,0.0,,,0.0
End Cash Position,14205.0,32075.0,286258.0,555805.0,693112.0,
Beginning Cash Position,32075.0,286258.0,555805.0,693112.0,878254.0,
Changes In Cash,-17870.0,-254183.0,-269547.0,-137307.0,-185142.0,
Financing Cash Flow,75000.0,0.0,2950000.0,228079.0,0.0,
Cash Flow From Continuing Financing Activities,75000.0,0.0,2950000.0,228079.0,0.0,
Net Other Financing Charges,,,,,,0.0
Proceeds From Stock Option Exercised,,0.0,0.0,,,0.0
Net Common Stock Issuance,,0.0,0.0,,,0.0
Common Stock Issuance,,0.0,0.0,,,0.0
Net Issuance Payments Of Debt,75000.0,0.0,2950000.0,228079.0,0.0,
Net Short Term Debt Issuance,75000.0,0.0,2950000.0,228079.0,0.0,
Short Term Debt Payments,,0.0,0.0,,,0.0
Short Term Debt Issuance,75000.0,0.0,2950000.0,228079.0,0.0,
Investing Cash Flow,,-17510.0,-3004411.0,,,0.0
Cash Flow From Continuing Investing Activities,,-17510.0,-3004411.0,,,0.0
Net Other Investing Changes,,-17510.0,-3004411.0,,,0.0
Operating Cash Flow,-92870.0,-236673.0,-215136.0,-137307.0,-185142.0,
Cash Flow From Continuing Operating Activities,-92870.0,-236673.0,-215136.0,-137307.0,-185142.0,
Change In Working Capital,646350.0,137016.0,496776.0,95812.0,-28401.0,
Change In Payables And Accrued Expense,609058.0,76915.0,436466.0,30744.0,-8416.0,
Change In Prepaid Assets,37292.0,60101.0,60310.0,65068.0,-19985.0,
Change In Receivables,,0.0,0.0,,,
Other Non Cash Items,-1517481.0,-1667186.0,-1821614.0,-1789357.0,-1736734.0,
Operating Gains Losses,,,,,,0.0
Gain Loss On Investment Securities,,,,,,0.0
Net Income From Continuing Operations,778261.0,1293497.0,1109702.0,1556238.0,1579993.0,
