,2026-04-30,2026-01-31,2025-10-31,2025-04-30,2025-01-31,2024-10-31
Free Cash Flow,-1309408.0,-1713626.0,1510917.0,868415.0,-586177.0,
Repayment Of Debt,-3154094.0,-40936.0,-40532.0,-39734.0,-239274.0,
Capital Expenditure,-2750542.0,-983503.0,-411346.0,-1060227.0,-202745.0,
Interest Paid Supplemental Data,,,,34262.0,,
End Cash Position,3141565.0,1474568.0,3229130.0,3295303.0,2466622.0,
Beginning Cash Position,1474568.0,3229130.0,1758745.0,2466622.0,3292073.0,
Changes In Cash,1666997.0,-1754562.0,1470385.0,828681.0,-825451.0,
Financing Cash Flow,2976405.0,-40936.0,-40532.0,-39734.0,-239274.0,
Cash Flow From Continuing Financing Activities,2976405.0,-40936.0,-40532.0,-39734.0,-239274.0,
Net Issuance Payments Of Debt,3045906.0,-40936.0,-40532.0,-39734.0,-239274.0,
Net Long Term Debt Issuance,3045906.0,-40936.0,-40532.0,-39734.0,-239274.0,
Long Term Debt Payments,-3154094.0,-40936.0,-40532.0,-39734.0,-239274.0,
Investing Cash Flow,-2750542.0,-983503.0,-411346.0,-1060227.0,-202745.0,
Cash Flow From Continuing Investing Activities,-2750542.0,-983503.0,-411346.0,-1060227.0,-202745.0,
Net Investment Purchase And Sale,,,,0.0,,
Sale Of Investment,,,,0.0,,
Purchase Of Investment,,,,0.0,,
Net PPE Purchase And Sale,-2750542.0,-983503.0,-411346.0,-1060227.0,-202745.0,
Purchase Of PPE,-2750542.0,-983503.0,-411346.0,-1060227.0,-202745.0,
Operating Cash Flow,1441134.0,-730123.0,1922263.0,1928642.0,-383432.0,
Cash Flow From Continuing Operating Activities,1441134.0,-730123.0,1922263.0,1928642.0,-383432.0,
Change In Working Capital,1023562.0,-832438.0,1553123.0,1174552.0,-946276.0,
Change In Payables And Accrued Expense,-494684.0,748039.0,-82801.0,-240846.0,605841.0,
Change In Payable,-494684.0,748039.0,-82801.0,-240846.0,605841.0,
Change In Account Payable,-516888.0,748039.0,-117301.0,-281367.0,604621.0,
Change In Prepaid Assets,1150017.0,-1066586.0,1493065.0,1031204.0,-1038021.0,
Change In Receivables,368229.0,-513891.0,142859.0,384194.0,-514096.0,
Other Non Cash Items,250897.0,340978.0,203583.0,191250.0,311664.0,
Unrealized Gain Loss On Investment Securities,,,,0.0,0.0,0.0
Asset Impairment Charge,3831.0,6620.0,4622.0,-4229.0,9587.0,
Deferred Tax,-92000.0,-207000.0,-145000.0,23000.0,-46000.0,
Deferred Income Tax,-92000.0,-207000.0,-145000.0,23000.0,-46000.0,
Depreciation Amortization Depletion,471707.0,470677.0,472262.0,457285.0,445274.0,
Depreciation And Amortization,471707.0,470677.0,472262.0,457285.0,445274.0,
Depreciation,471707.0,470677.0,472262.0,457285.0,445274.0,
Operating Gains Losses,0.0,0.0,167700.0,,,
Gain Loss On Sale Of PPE,0.0,0.0,167700.0,0.0,0.0,
Net Income From Continuing Operations,-216863.0,-508960.0,-334027.0,86784.0,-157681.0,
