,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,-354000.0,-391000.0,1285000.0,9232000.0,-279000.0,
Repurchase Of Capital Stock,0.0,0.0,-49000.0,-1896000.0,-1554000.0,
Capital Expenditure,-4072000.0,-4130000.0,-4374000.0,-4410000.0,-3579000.0,
Interest Paid Supplemental Data,41000.0,668000.0,41000.0,41000.0,41000.0,
Income Tax Paid Supplemental Data,616000.0,378000.0,650000.0,-23000.0,549000.0,
End Cash Position,104300000.0,105555000.0,106937000.0,113473000.0,107705000.0,
Beginning Cash Position,105555000.0,106937000.0,113473000.0,107705000.0,110386000.0,
Effect Of Exchange Rate Changes,-130000.0,99000.0,5000.0,1052000.0,84000.0,
Changes In Cash,-1125000.0,-879000.0,-6541000.0,4716000.0,-2765000.0,
Financing Cash Flow,-725000.0,-392000.0,-7554000.0,-4505000.0,-2456000.0,
Cash Flow From Continuing Financing Activities,-725000.0,-392000.0,-7554000.0,-4505000.0,-2456000.0,
Net Other Financing Charges,-725000.0,-392000.0,-7505000.0,-2609000.0,-1024000.0,
Proceeds From Stock Option Exercised,0.0,0.0,0.0,0.0,122000.0,
Net Common Stock Issuance,0.0,0.0,-49000.0,-1896000.0,-1554000.0,
Common Stock Payments,0.0,0.0,-49000.0,-1896000.0,-1554000.0,
Investing Cash Flow,-4118000.0,-4226000.0,-4646000.0,-4421000.0,-3609000.0,
Cash Flow From Continuing Investing Activities,-4118000.0,-4226000.0,-4646000.0,-4421000.0,-3609000.0,
Net Other Investing Changes,-46000.0,-96000.0,-272000.0,-11000.0,-30000.0,
Net Intangibles Purchase And Sale,-4006000.0,-3999000.0,-4067000.0,-3998000.0,-3461000.0,
Purchase Of Intangibles,-4006000.0,-3999000.0,-4067000.0,-3998000.0,-3461000.0,
Net PPE Purchase And Sale,-66000.0,-131000.0,-307000.0,-412000.0,-118000.0,
Purchase Of PPE,-66000.0,-131000.0,-307000.0,-412000.0,-118000.0,
Operating Cash Flow,3718000.0,3739000.0,5659000.0,13642000.0,3300000.0,
Cash Flow From Continuing Operating Activities,3718000.0,3739000.0,5659000.0,13642000.0,3300000.0,
Change In Working Capital,3792000.0,3125000.0,-7000.0,2558000.0,-8808000.0,
Change In Other Working Capital,31000.0,895000.0,-463000.0,372000.0,109000.0,
Change In Payables And Accrued Expense,4409000.0,122000.0,-1884000.0,1992000.0,-8379000.0,
Change In Prepaid Assets,-923000.0,286000.0,1073000.0,-451000.0,-1730000.0,
Change In Receivables,275000.0,1822000.0,1267000.0,645000.0,1192000.0,
Changes In Account Receivables,321000.0,1364000.0,1268000.0,511000.0,1092000.0,
Other Non Cash Items,-1957000.0,3116000.0,2136000.0,339000.0,883000.0,
Stock Based Compensation,2384000.0,2247000.0,3030000.0,4608000.0,4258000.0,
Asset Impairment Charge,133000.0,0.0,0.0,0.0,0.0,
Deferred Tax,209000.0,-554000.0,-31000.0,-340000.0,215000.0,
Deferred Income Tax,209000.0,-554000.0,-31000.0,-340000.0,215000.0,
Depreciation Amortization Depletion,9833000.0,9617000.0,9576000.0,9535000.0,9632000.0,
Depreciation And Amortization,9833000.0,9617000.0,9576000.0,9535000.0,9632000.0,
Operating Gains Losses,,-119000.0,73000.0,-9000.0,-101000.0,73000.0
Gain Loss On Investment Securities,,-119000.0,73000.0,-9000.0,-101000.0,73000.0
Net Income From Continuing Operations,-10676000.0,-13693000.0,-9118000.0,-2948000.0,-2880000.0,
