,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,-2119000.0,-5618000.0,-1602000.0,-1725000.0,-1400000.0,,
Repayment Of Debt,-3000.0,-3000.0,-3000.0,-3000.0,-2000.0,,
Issuance Of Capital Stock,,0.0,,,,0.0,5796000.0
Capital Expenditure,-13000.0,-1000.0,-75000.0,,-40000.0,,
Interest Paid Supplemental Data,,0.0,0.0,0.0,0.0,0.0,
Income Tax Paid Supplemental Data,1000.0,,,0.0,10000.0,5000.0,-11000.0
End Cash Position,23233000.0,25358000.0,11585000.0,13238000.0,14991000.0,,
Beginning Cash Position,25358000.0,11585000.0,13238000.0,14991000.0,16427000.0,,
Effect Of Exchange Rate Changes,-3000.0,5000.0,-48000.0,-25000.0,-34000.0,,
Changes In Cash,-2122000.0,13768000.0,-1605000.0,-1728000.0,-1402000.0,,
Financing Cash Flow,-3000.0,-3000.0,-3000.0,-3000.0,-2000.0,,
Cash Flow From Continuing Financing Activities,-3000.0,-3000.0,-3000.0,-3000.0,-2000.0,,
Net Common Stock Issuance,,0.0,,,,0.0,5796000.0
Common Stock Issuance,,0.0,,,,0.0,5796000.0
Net Issuance Payments Of Debt,-3000.0,-3000.0,-3000.0,-3000.0,-2000.0,,
Net Long Term Debt Issuance,-3000.0,-3000.0,-3000.0,-3000.0,-2000.0,,
Long Term Debt Payments,-3000.0,-3000.0,-3000.0,-3000.0,-2000.0,,
Investing Cash Flow,-13000.0,19388000.0,-75000.0,25000.0,-40000.0,,
Cash Flow From Continuing Investing Activities,-13000.0,19388000.0,-75000.0,25000.0,-40000.0,,
Net PPE Purchase And Sale,-13000.0,-1000.0,-75000.0,25000.0,-40000.0,,
Sale Of PPE,,0.0,0.0,,,-1000.0,0.0
Purchase Of PPE,-13000.0,-1000.0,-75000.0,25000.0,-40000.0,,
Operating Cash Flow,-2106000.0,-5617000.0,-1527000.0,-1750000.0,-1360000.0,,
Cash Flow From Continuing Operating Activities,-2106000.0,-5617000.0,-1527000.0,-1750000.0,-1360000.0,,
Change In Working Capital,-362000.0,-3563000.0,3608000.0,117000.0,282000.0,,
Change In Other Working Capital,66000.0,-3903000.0,3877000.0,-12000.0,75000.0,,
Change In Other Current Liabilities,-66000.0,-30000.0,-91000.0,-89000.0,-78000.0,,
Change In Payables And Accrued Expense,-37000.0,73000.0,-169000.0,-9000.0,262000.0,,
Change In Prepaid Assets,-185000.0,35000.0,-2000.0,-17000.0,28000.0,,
Change In Inventory,,0.0,0.0,0.0,0.0,91000.0,
Change In Receivables,-140000.0,262000.0,-7000.0,244000.0,-5000.0,,
Stock Based Compensation,,0.0,0.0,0.0,0.0,0.0,
Asset Impairment Charge,,-2000.0,-37000.0,-101000.0,0.0,242000.0,
Depreciation Amortization Depletion,119000.0,38000.0,105000.0,102000.0,91000.0,,
Depreciation And Amortization,119000.0,38000.0,105000.0,102000.0,91000.0,,
Depreciation,119000.0,38000.0,105000.0,102000.0,91000.0,,
Operating Gains Losses,,0.0,,,,0.0,0.0
Gain Loss On Sale Of PPE,,0.0,,,,,
Net Income From Continuing Operations,-1863000.0,-2090000.0,14184000.0,-1868000.0,-1733000.0,,
