,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,-4864159.0,-2084000.0,-2494069.0,-924237.0,-2050185.0,
Repayment Of Debt,-2437456.0,-2512561.0,-2660497.0,-1841391.0,-521708.0,
Issuance Of Debt,238166.0,2249176.0,4449549.0,3024498.0,1692113.0,
Issuance Of Capital Stock,19301844.0,,,0.0,1087000.0,
Interest Paid Supplemental Data,166453.0,313979.0,290856.0,113735.0,13539.0,
Income Tax Paid Supplemental Data,0.0,0.0,0.0,0.0,0.0,
End Cash Position,11480829.0,242434.0,889819.0,794836.0,535966.0,
Beginning Cash Position,242434.0,889819.0,794836.0,535966.0,328746.0,
Changes In Cash,11238395.0,-647385.0,94983.0,258870.0,207220.0,
Financing Cash Flow,17102554.0,1936615.0,2589052.0,1183107.0,2257405.0,
Cash Flow From Continuing Financing Activities,17102554.0,1936615.0,2589052.0,1183107.0,2257405.0,
Net Other Financing Charges,,,800000.0,,,
Proceeds From Stock Option Exercised,0.0,,,0.0,0.0,
Net Common Stock Issuance,19301844.0,,,0.0,1087000.0,
Common Stock Issuance,19301844.0,,,0.0,1087000.0,
Net Issuance Payments Of Debt,-2199290.0,-263385.0,1789052.0,1183107.0,1170405.0,
Net Short Term Debt Issuance,-1565752.0,-263385.0,1539052.0,1183107.0,1170405.0,
Short Term Debt Payments,-1803918.0,-2512561.0,-2660497.0,-1841391.0,-521708.0,
Short Term Debt Issuance,238166.0,2249176.0,4199549.0,3024498.0,1692113.0,
Net Long Term Debt Issuance,-633538.0,0.0,250000.0,0.0,0.0,
Long Term Debt Payments,-633538.0,,,0.0,0.0,
Long Term Debt Issuance,0.0,0.0,250000.0,0.0,0.0,
Investing Cash Flow,-2285375.0,,,,0.0,
Cash Flow From Continuing Investing Activities,-2285375.0,,,,0.0,
Net Other Investing Changes,-1000000.0,,,,,
Operating Cash Flow,-3578784.0,-2084000.0,-2494069.0,-924237.0,-2050185.0,
Cash Flow From Continuing Operating Activities,-3578784.0,-2084000.0,-2494069.0,-924237.0,-2050185.0,
Change In Working Capital,-1234499.0,-228638.0,-1904277.0,244616.0,-1509348.0,
Change In Other Current Liabilities,-8772.0,-26697.0,-50965.0,,0.0,0.0
Change In Other Current Assets,-28377.0,,,,-462717.0,
Change In Payables And Accrued Expense,832302.0,38008.0,-58597.0,686564.0,-2995.0,
Change In Accrued Expense,972061.0,-181754.0,433118.0,6324.0,26494.0,
Change In Payable,-139759.0,219762.0,-491715.0,680240.0,-29489.0,
Change In Account Payable,-139759.0,219762.0,-491715.0,680240.0,-29489.0,
Change In Prepaid Assets,-651793.0,763228.0,-410074.0,-143712.0,-76815.0,
Change In Inventory,-337853.0,-695458.0,977697.0,624281.0,-246467.0,
Change In Receivables,-1040006.0,-234534.0,-2362338.0,-841947.0,-720354.0,
Changes In Account Receivables,-1040006.0,-234534.0,-2362338.0,-841947.0,-720354.0,
Other Non Cash Items,408028.0,,,,,
Stock Based Compensation,-206271.0,2552269.0,466765.0,732905.0,888494.0,
Provisionand Write Offof Assets,320361.0,135604.0,135800.0,-332694.0,20000.0,
Depreciation Amortization Depletion,161999.0,137562.0,50965.0,,0.0,0.0
Depreciation And Amortization,161999.0,137562.0,50965.0,,0.0,0.0
Depreciation,161999.0,137562.0,50965.0,,0.0,0.0
Net Income From Continuing Operations,-3028402.0,-5538799.0,-1243322.0,-1649634.0,-1449331.0,
