,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,-257549000.0,-151415000.0,-167323000.0,-199868000.0,-60741000.0,
Repurchase Of Capital Stock,,-1324000.0,0.0,,,
Repayment Of Debt,-294944000.0,-72518000.0,-313182000.0,26749000.0,-93349000.0,
Issuance Of Debt,297926000.0,143000000.0,405487000.0,25133000.0,159000000.0,
Issuance Of Capital Stock,,1000.0,53271000.0,,,0.0
Capital Expenditure,-89000.0,-10000.0,-5000.0,-54000.0,-37000.0,
Interest Paid Supplemental Data,29775000.0,25580000.0,25662000.0,21449000.0,24788000.0,
Income Tax Paid Supplemental Data,232000.0,1803000.0,9772000.0,923000.0,4000.0,
End Cash Position,403016000.0,310291000.0,216931000.0,213289000.0,294134000.0,
Other Cash Adjustment Outside Changein Cash,,0.0,,,,0.0
Beginning Cash Position,310291000.0,216931000.0,213289000.0,294134000.0,381374000.0,
Changes In Cash,92725000.0,93360000.0,3642000.0,-80845000.0,-87240000.0,
Financing Cash Flow,435447000.0,296181000.0,240760000.0,163800000.0,52709000.0,
Cash Flow From Continuing Financing Activities,435447000.0,296181000.0,240760000.0,163800000.0,52709000.0,
Net Other Financing Charges,-591000.0,-1156000.0,6723000.0,-38000.0,-756000.0,
Proceeds From Stock Option Exercised,70000.0,78000.0,33000.0,109000.0,48000.0,
Cash Dividends Paid,-6476000.0,-11868000.0,-5708000.0,-5235000.0,-5233000.0,
Net Preferred Stock Issuance,,0.0,,,,0.0
Preferred Stock Issuance,,0.0,,,,0.0
Net Common Stock Issuance,,-1323000.0,5090000.0,,,-402000.0
Common Stock Payments,,-1324000.0,0.0,,,
Common Stock Issuance,,1000.0,5090000.0,,,0.0
Net Issuance Payments Of Debt,2982000.0,70482000.0,92305000.0,51882000.0,65651000.0,
Net Short Term Debt Issuance,-87123000.0,,,,0.0,
Short Term Debt Payments,-87123000.0,,,,0.0,
Net Long Term Debt Issuance,90105000.0,70482000.0,92305000.0,51882000.0,65651000.0,
Long Term Debt Payments,-207821000.0,-72518000.0,-313182000.0,26749000.0,-93349000.0,
Long Term Debt Issuance,297926000.0,143000000.0,405487000.0,25133000.0,159000000.0,
Investing Cash Flow,-85262000.0,-51416000.0,-69800000.0,-44831000.0,-79245000.0,
Cash Flow From Continuing Investing Activities,-85262000.0,-51416000.0,-69800000.0,-44831000.0,-79245000.0,
Net Other Investing Changes,-338000.0,-170000.0,-127000.0,-75000.0,-277000.0,
Net Investment Purchase And Sale,1133000.0,11456000.0,-13748000.0,-54000.0,10038000.0,
Sale Of Investment,9500000.0,4070000.0,9630000.0,2000000.0,12014000.0,
Purchase Of Investment,-8367000.0,7386000.0,-23378000.0,-2054000.0,-1976000.0,
Net Business Purchase And Sale,1983000.0,-10120000.0,0.0,0.0,4000000.0,
Sale Of Business,1983000.0,0.0,0.0,0.0,4000000.0,
Net PPE Purchase And Sale,-89000.0,-10000.0,-5000.0,-54000.0,-37000.0,
Purchase Of PPE,-89000.0,-10000.0,-5000.0,-54000.0,-37000.0,
Operating Cash Flow,-257460000.0,-151405000.0,-167318000.0,-199814000.0,-60704000.0,
Cash Flow From Continuing Operating Activities,-257460000.0,-151405000.0,-167318000.0,-199814000.0,-60704000.0,
Change In Working Capital,-74246000.0,16377000.0,7799000.0,-5474000.0,40237000.0,
Change In Other Working Capital,,,,,409000.0,-2000.0
Change In Other Current Assets,-3856000.0,-5007000.0,-14746000.0,17819000.0,-19170000.0,
Change In Payables And Accrued Expense,-19316000.0,21353000.0,3308000.0,-9676000.0,13031000.0,
Change In Payable,-19316000.0,21353000.0,3308000.0,-9676000.0,13031000.0,
Change In Dividend Payable,,,,,2000.0,-4000.0
Change In Account Payable,5618000.0,4012000.0,-5854000.0,19000.0,-1018000.0,
Change In Tax Payable,,,,,-519000.0,
Change In Income Tax Payable,,,,,-519000.0,
Change In Receivables,-51074000.0,31000.0,19237000.0,-13617000.0,46376000.0,
Other Non Cash Items,-110989000.0,-196251000.0,-199610000.0,-168686000.0,-116400000.0,
Stock Based Compensation,565000.0,89000.0,618000.0,1556000.0,1834000.0,
Asset Impairment Charge,,,,,3652000.0,7282000.0
Deferred Tax,-16996000.0,5385000.0,5536000.0,-5230000.0,2791000.0,
Deferred Income Tax,-16996000.0,5385000.0,5536000.0,-5230000.0,2791000.0,
Depreciation Amortization Depletion,36000.0,119000.0,129000.0,274000.0,146000.0,
Depreciation And Amortization,36000.0,119000.0,129000.0,274000.0,146000.0,
Operating Gains Losses,-80552000.0,-6335000.0,-8358000.0,-46041000.0,-12347000.0,
Earnings Losses From Equity Investments,2523000.0,3671000.0,638000.0,1206000.0,-1110000.0,
Gain Loss On Investment Securities,-56144000.0,0.0,1450000.0,-31465000.0,0.0,
Net Income From Continuing Operations,13401000.0,19541000.0,17901000.0,13703000.0,9367000.0,
