,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,-7246000.0,-11197000.0,-24363000.0,-59014000.0,-7774000.0,
Repurchase Of Capital Stock,,-19806000.0,-5050000.0,0.0,0.0,0.0
Repayment Of Debt,-41000.0,-38000.0,-39000.0,-37000.0,-35000.0,
Capital Expenditure,-167000.0,-392000.0,-211000.0,-166000.0,-295000.0,
End Cash Position,357126000.0,206405000.0,299357000.0,184545000.0,488264000.0,
Beginning Cash Position,206405000.0,299357000.0,184545000.0,488264000.0,318474000.0,
Effect Of Exchange Rate Changes,357000.0,300000.0,953000.0,1792000.0,204000.0,
Changes In Cash,150364000.0,-94557000.0,113859000.0,-304206000.0,169586000.0,
Financing Cash Flow,-41000.0,-19844000.0,-5089000.0,9972000.0,-35000.0,
Cash From Discontinued Financing Activities,,0.0,0.0,,,
Cash Flow From Continuing Financing Activities,-41000.0,-19844000.0,-5089000.0,-37000.0,-35000.0,
Net Other Financing Charges,,,,,-43000.0,-43000.0
Net Common Stock Issuance,,-19806000.0,-5050000.0,0.0,0.0,0.0
Common Stock Payments,,-19806000.0,-5050000.0,0.0,0.0,0.0
Net Issuance Payments Of Debt,-41000.0,-38000.0,-39000.0,-37000.0,-35000.0,
Net Long Term Debt Issuance,-41000.0,-38000.0,-39000.0,-37000.0,-35000.0,
Long Term Debt Payments,-41000.0,-38000.0,-39000.0,-37000.0,-35000.0,
Investing Cash Flow,157484000.0,-63908000.0,143100000.0,-255330000.0,177100000.0,
Cash From Discontinued Investing Activities,,0.0,0.0,,,
Cash Flow From Continuing Investing Activities,157484000.0,-63908000.0,143100000.0,-254893000.0,177100000.0,
Net Other Investing Changes,,,-22000.0,10000.0,474000.0,-366000.0
Interest Received Cfi,,,,,14010000.0,9971000.0
Net Investment Purchase And Sale,157651000.0,-63044000.0,143333000.0,13071000.0,177395000.0,
Purchase Of Investment,,,,,,7563000.0
Net Business Purchase And Sale,,-10000.0,0.0,,,0.0
Purchase Of Business,,-10000.0,0.0,,,0.0
Net Intangibles Purchase And Sale,,0.0,0.0,0.0,0.0,0.0
Purchase Of Intangibles,,0.0,0.0,0.0,0.0,0.0
Net PPE Purchase And Sale,-167000.0,-392000.0,-211000.0,-166000.0,-295000.0,
Purchase Of PPE,-167000.0,-392000.0,-211000.0,-166000.0,-295000.0,
Operating Cash Flow,-7079000.0,-10805000.0,-24152000.0,-58848000.0,-7479000.0,
Cash From Discontinued Operating Activities,,928000.0,-16212000.0,,,
Cash Flow From Continuing Operating Activities,-7079000.0,-11733000.0,-7940000.0,-43115000.0,-7479000.0,
Interest Received Cfo,,,10035000.0,,,
Change In Working Capital,4791000.0,-9500000.0,991000.0,-19043000.0,19462000.0,
Change In Other Working Capital,-20000.0,-885000.0,-585000.0,39000.0,38000.0,
Change In Other Current Assets,-1500000.0,,,,-371000.0,
Change In Payables And Accrued Expense,2628000.0,-7514000.0,-1894000.0,-23511000.0,22336000.0,
Change In Payable,2628000.0,-7514000.0,-1894000.0,-23511000.0,22336000.0,
Change In Account Payable,1019000.0,611000.0,211000.0,-20318000.0,26362000.0,
Change In Inventory,425000.0,2178000.0,215000.0,2863000.0,340000.0,
Change In Receivables,3258000.0,-3104000.0,3255000.0,1195000.0,-2881000.0,
Changes In Account Receivables,3258000.0,-3706000.0,3085000.0,1967000.0,-2881000.0,
Other Non Cash Items,2343000.0,26485000.0,-5946000.0,-28281000.0,6316000.0,
Stock Based Compensation,2925000.0,1912000.0,1374000.0,2430000.0,-786000.0,
Unrealized Gain Loss On Investment Securities,8435000.0,,,-16269000.0,-8726000.0,-5583000.0
Asset Impairment Charge,40388000.0,2110000.0,5721000.0,1456000.0,1229000.0,
Deferred Tax,,,,,,0.0
Deferred Income Tax,,,,,,0.0
Depreciation Amortization Depletion,3701000.0,5403000.0,6770000.0,7708000.0,574000.0,
Depreciation And Amortization,3701000.0,5403000.0,6770000.0,7708000.0,574000.0,
Depreciation,3701000.0,,,7708000.0,574000.0,
Operating Gains Losses,,22377000.0,-22377000.0,,,-5000.0
Gain Loss On Sale Of PPE,,,,,,-5000.0
Gain Loss On Sale Of Business,,0.0,0.0,,,
Net Income From Continuing Operations,-69662000.0,-33942000.0,-29503000.0,-11362000.0,-25548000.0,
