,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,-2962000.0,-4252000.0,-4142000.0,-8203000.0,-7619000.0,
Capital Expenditure,-1182000.0,-1319000.0,-1718000.0,-1158000.0,-1175000.0,
Interest Paid Supplemental Data,537000.0,,,,0.0,
End Cash Position,44698000.0,47895000.0,32710000.0,36854000.0,45054000.0,
Beginning Cash Position,47895000.0,32710000.0,36854000.0,45054000.0,52673000.0,
Effect Of Exchange Rate Changes,15000.0,-62000.0,-2000.0,3000.0,0.0,
Changes In Cash,-3212000.0,15247000.0,-4142000.0,-8203000.0,-7619000.0,
Financing Cash Flow,-250000.0,19499000.0,0.0,0.0,0.0,
Cash Flow From Continuing Financing Activities,-250000.0,,,,0.0,0.0
Net Other Financing Charges,-250000.0,,,,,
Proceeds From Stock Option Exercised,,,,,,0.0
Investing Cash Flow,-1182000.0,-1319000.0,-1718000.0,-1158000.0,-1175000.0,
Cash Flow From Continuing Investing Activities,-1182000.0,-1319000.0,-1718000.0,-1158000.0,-1175000.0,
Capital Expenditure Reported,-1182000.0,-1319000.0,-1718000.0,-1158000.0,-1175000.0,
Operating Cash Flow,-1780000.0,-2933000.0,-2424000.0,-7045000.0,-6444000.0,
Cash Flow From Continuing Operating Activities,-1780000.0,-2933000.0,-2424000.0,-7045000.0,-6444000.0,
Change In Working Capital,-2568000.0,-4183000.0,7458000.0,-4578000.0,65000.0,
Change In Other Working Capital,-4582000.0,-1406000.0,5447000.0,-3174000.0,-2102000.0,
Change In Other Current Liabilities,133000.0,-1831000.0,1173000.0,-1659000.0,-790000.0,
Change In Other Current Assets,-361000.0,695000.0,-812000.0,641000.0,341000.0,
Change In Payables And Accrued Expense,1349000.0,-2498000.0,1788000.0,-379000.0,1632000.0,
Change In Payable,1349000.0,-2498000.0,1788000.0,-379000.0,1632000.0,
Change In Account Payable,1349000.0,-2498000.0,1788000.0,-379000.0,1632000.0,
Change In Receivables,893000.0,857000.0,-138000.0,-7000.0,984000.0,
Changes In Account Receivables,893000.0,857000.0,-138000.0,-7000.0,984000.0,
Other Non Cash Items,123000.0,78000.0,0.0,0.0,69000.0,
Stock Based Compensation,5978000.0,5834000.0,6847000.0,7538000.0,7588000.0,
Depreciation Amortization Depletion,815000.0,1621000.0,2027000.0,1996000.0,1985000.0,
Depreciation And Amortization,815000.0,1621000.0,2027000.0,1996000.0,1985000.0,
Amortization Cash Flow,672000.0,-4945000.0,1893000.0,1864000.0,1813000.0,
Amortization Of Intangibles,672000.0,-4945000.0,1893000.0,1864000.0,1813000.0,
Depreciation,143000.0,6566000.0,134000.0,132000.0,172000.0,
Net Income From Continuing Operations,-6128000.0,-14040000.0,-18756000.0,-12001000.0,-16151000.0,
