,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,26388000.0,146801000.0,243485000.0,-181899000.0,70920000.0,
Repurchase Of Capital Stock,-75000000.0,0.0,-75000000.0,-76118000.0,0.0,
Repayment Of Debt,-1406177000.0,-1231778000.0,-1648106000.0,-1357509000.0,-1298543000.0,
Issuance Of Debt,1518570000.0,1176520000.0,1741735000.0,1714136000.0,1389224000.0,
Capital Expenditure,-5995000.0,-6969000.0,-5573000.0,-4848000.0,-7130000.0,
End Cash Position,443673000.0,360776000.0,549447000.0,311565000.0,324091000.0,
Beginning Cash Position,360776000.0,549447000.0,311565000.0,324091000.0,261467000.0,
Effect Of Exchange Rate Changes,-7776000.0,4040000.0,-3006000.0,14782000.0,7177000.0,
Changes In Cash,90673000.0,-192711000.0,240888000.0,-27308000.0,55447000.0,
Financing Cash Flow,64285000.0,-54229000.0,-2597000.0,154591000.0,-15473000.0,
Cash Flow From Continuing Financing Activities,64285000.0,-54229000.0,-2597000.0,154591000.0,-15473000.0,
Net Other Financing Charges,26892000.0,1039000.0,-19149000.0,-44919000.0,32738000.0,
Proceeds From Stock Option Exercised,0.0,-10000.0,0.0,-83076000.0,-138892000.0,
Net Common Stock Issuance,-75000000.0,0.0,-75000000.0,-76118000.0,0.0,
Common Stock Payments,-75000000.0,0.0,-75000000.0,-76118000.0,0.0,
Net Issuance Payments Of Debt,112393000.0,-55258000.0,91552000.0,358704000.0,90681000.0,
Net Short Term Debt Issuance,,,,,,-220850000.0
Short Term Debt Payments,,,,,,-1211606000.0
Short Term Debt Issuance,,,,,,990756000.0
Net Long Term Debt Issuance,112393000.0,-874028000.0,93629000.0,356627000.0,90681000.0,
Long Term Debt Payments,-1406177000.0,3971067000.0,-1648106000.0,-1357509000.0,-1298543000.0,
Long Term Debt Issuance,1518570000.0,-4845095000.0,1741735000.0,1714136000.0,1389224000.0,
Investing Cash Flow,-5995000.0,-292252000.0,-5573000.0,-4848000.0,-7130000.0,
Cash Flow From Continuing Investing Activities,-5995000.0,-292252000.0,-5573000.0,-4848000.0,-7130000.0,
Net Other Investing Changes,,,,,,0.0
Net Business Purchase And Sale,0.0,-285283000.0,0.0,0.0,0.0,
Purchase Of Business,0.0,-285283000.0,0.0,0.0,0.0,
Net PPE Purchase And Sale,-5995000.0,-6969000.0,-5573000.0,-4848000.0,-7130000.0,
Purchase Of PPE,-5995000.0,-6969000.0,-5573000.0,-4848000.0,-7130000.0,
Operating Cash Flow,32383000.0,153770000.0,249058000.0,-177051000.0,78050000.0,
Cash Flow From Continuing Operating Activities,32383000.0,153770000.0,249058000.0,-177051000.0,78050000.0,
Change In Working Capital,-62647000.0,57111000.0,160593000.0,-268583000.0,-1512000.0,
Change In Other Current Assets,-14827000.0,24257000.0,40566000.0,-39450000.0,-21961000.0,
Change In Payables And Accrued Expense,904134000.0,1631000.0,177891000.0,432472000.0,371494000.0,
Change In Accrued Expense,402415000.0,63322000.0,23265000.0,-28664000.0,-14298000.0,
Change In Payable,501719000.0,-61691000.0,154626000.0,461136000.0,385792000.0,
Change In Account Payable,501719000.0,-61691000.0,154626000.0,461136000.0,385792000.0,
Change In Inventory,-92033000.0,-12017000.0,-2136000.0,2790000.0,-26033000.0,
Change In Receivables,-859921000.0,43240000.0,-55728000.0,-664395000.0,-325012000.0,
Changes In Account Receivables,-871935000.0,36905000.0,-62050000.0,-665096000.0,-360538000.0,
Other Non Cash Items,24733000.0,10307000.0,-20833000.0,406000.0,16459000.0,
Stock Based Compensation,8197000.0,6973000.0,8856000.0,9062000.0,8847000.0,
Provisionand Write Offof Assets,3429000.0,2267000.0,4465000.0,2529000.0,3666000.0,
Asset Impairment Charge,1369000.0,0.0,0.0,12588000.0,0.0,
Deferred Tax,-1185000.0,-3191000.0,18770000.0,-5917000.0,-7772000.0,
Deferred Income Tax,-1185000.0,-3191000.0,18770000.0,-5917000.0,-7772000.0,
Depreciation Amortization Depletion,28478000.0,28349000.0,26260000.0,25932000.0,25779000.0,
Depreciation And Amortization,28478000.0,28349000.0,26260000.0,25932000.0,25779000.0,
Amortization Cash Flow,21059000.0,,,,18548000.0,
Amortization Of Intangibles,21059000.0,,,,18548000.0,
Depreciation,7419000.0,,,,7231000.0,
Operating Gains Losses,,0.0,0.0,0.0,25069000.0,
Gain Loss On Investment Securities,,0.0,0.0,0.0,25069000.0,
Net Income From Continuing Operations,30009000.0,51954000.0,50947000.0,46932000.0,7514000.0,
