,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,-1182000.0,-1150000.0,-1417000.0,-1373000.0,-1695000.0,
Repurchase Of Capital Stock,,-49000.0,49000.0,,,
Repayment Of Debt,,,,,,0.0
Issuance Of Debt,,,,,,0.0
Issuance Of Capital Stock,,,,,,7793000.0
Capital Expenditure,-87000.0,-85000.0,-93000.0,-160000.0,-131000.0,
Interest Paid Supplemental Data,,,,,0.0,0.0
Income Tax Paid Supplemental Data,,,,,0.0,0.0
End Cash Position,593000.0,1298000.0,2549000.0,4005000.0,5871000.0,
Beginning Cash Position,1298000.0,2549000.0,4005000.0,5871000.0,7650000.0,
Changes In Cash,-705000.0,-1251000.0,-1456000.0,-1866000.0,-1779000.0,
Financing Cash Flow,477000.0,-101000.0,-39000.0,-493000.0,-84000.0,
Cash Flow From Continuing Financing Activities,477000.0,-101000.0,-39000.0,-493000.0,-84000.0,
Net Other Financing Charges,-11000.0,-101000.0,-39000.0,56000.0,-84000.0,
Net Common Stock Issuance,,-49000.0,49000.0,,,7793000.0
Common Stock Payments,,-49000.0,49000.0,,,
Common Stock Issuance,,,,,,7793000.0
Net Issuance Payments Of Debt,488000.0,,,,0.0,0.0
Net Short Term Debt Issuance,,,,,,0.0
Short Term Debt Payments,,,,,,0.0
Short Term Debt Issuance,,,,,,0.0
Net Long Term Debt Issuance,488000.0,,,,0.0,
Investing Cash Flow,-87000.0,-85000.0,-93000.0,-160000.0,-131000.0,
Cash Flow From Continuing Investing Activities,-87000.0,-85000.0,-93000.0,-160000.0,-131000.0,
Net Intangibles Purchase And Sale,,,,,0.0,
Net PPE Purchase And Sale,-87000.0,-85000.0,-93000.0,-160000.0,-131000.0,
Purchase Of PPE,-87000.0,-85000.0,-93000.0,-160000.0,-131000.0,
Operating Cash Flow,-1095000.0,-1065000.0,-1324000.0,-1213000.0,-1564000.0,
Cash Flow From Continuing Operating Activities,-1095000.0,-1065000.0,-1324000.0,-1213000.0,-1564000.0,
Change In Working Capital,1168000.0,1280000.0,-270000.0,87000.0,234000.0,
Change In Other Working Capital,854000.0,,,,15000.0,0.0
Change In Other Current Liabilities,-9000.0,-1000.0,-17000.0,-9000.0,-8000.0,
Change In Payables And Accrued Expense,484000.0,378000.0,-23000.0,161000.0,415000.0,
Change In Accrued Expense,,,,,,0.0
Change In Payable,484000.0,378000.0,-23000.0,161000.0,415000.0,
Change In Account Payable,484000.0,378000.0,-23000.0,161000.0,415000.0,
Change In Prepaid Assets,29000.0,133000.0,-83000.0,-16000.0,-15000.0,
Change In Inventory,-217000.0,799000.0,-186000.0,-32000.0,-128000.0,
Change In Receivables,27000.0,-29000.0,39000.0,-2000.0,-45000.0,
Changes In Account Receivables,27000.0,-29000.0,39000.0,-2000.0,-45000.0,
Other Non Cash Items,132000.0,144000.0,42000.0,9000.0,8000.0,
Stock Based Compensation,151000.0,-55000.0,235000.0,42000.0,52000.0,
Provisionand Write Offof Assets,-14000.0,0.0,48000.0,35000.0,3000.0,
Asset Impairment Charge,,12000.0,,,,
Depreciation Amortization Depletion,87000.0,115000.0,67000.0,92000.0,65000.0,
Depreciation And Amortization,87000.0,115000.0,67000.0,92000.0,65000.0,
Amortization Cash Flow,8000.0,,,9000.0,8000.0,9000.0
Amortization Of Intangibles,8000.0,,,9000.0,8000.0,9000.0
Depreciation,79000.0,81000.0,84000.0,83000.0,57000.0,
Operating Gains Losses,40000.0,-166000.0,96000.0,42000.0,-1401000.0,
Gain Loss On Investment Securities,40000.0,-166000.0,96000.0,42000.0,-1401000.0,
Net Income From Continuing Operations,-2659000.0,-2395000.0,-1580000.0,-1520000.0,-525000.0,
