,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,130685000.0,-83452000.0,1335000.0,21079000.0,62003000.0,
Repurchase Of Capital Stock,-1140000.0,-1137000.0,-1171000.0,-3751000.0,-4289000.0,
Repayment Of Debt,-185000000.0,-105000000.0,-60000000.0,-90000000.0,-640000000.0,
Issuance Of Debt,60000000.0,225000000.0,95000000.0,80000000.0,499976000.0,
Issuance Of Capital Stock,,,0.0,0.0,102960000.0,0.0
End Cash Position,51261000.0,80813000.0,79630000.0,79799000.0,108208000.0,
Beginning Cash Position,80813000.0,79630000.0,79799000.0,108208000.0,126072000.0,
Effect Of Exchange Rate Changes,40000.0,-131000.0,-1270000.0,2354000.0,2133000.0,
Changes In Cash,-29592000.0,1314000.0,1101000.0,-30763000.0,-19997000.0,
Financing Cash Flow,-160277000.0,84766000.0,-234000.0,-51842000.0,-82000000.0,
Net Other Financing Charges,0.0,0.0,0.0,0.0,0.0,
Cash Dividends Paid,-34094000.0,-34097000.0,-34063000.0,-33245000.0,-37111000.0,
Common Stock Dividend Paid,-34094000.0,-34097000.0,-34063000.0,-33245000.0,-37111000.0,
Net Common Stock Issuance,-1140000.0,-1137000.0,-1171000.0,-3751000.0,98671000.0,
Common Stock Payments,-1140000.0,-1137000.0,-1171000.0,-3751000.0,-4289000.0,
Common Stock Issuance,,,0.0,0.0,102960000.0,0.0
Net Issuance Payments Of Debt,-125000000.0,120000000.0,35000000.0,-10000000.0,-140024000.0,
Net Long Term Debt Issuance,-125000000.0,120000000.0,35000000.0,-10000000.0,-140024000.0,
Long Term Debt Payments,-185000000.0,-105000000.0,-60000000.0,-90000000.0,-640000000.0,
Long Term Debt Issuance,60000000.0,225000000.0,95000000.0,80000000.0,499976000.0,
Operating Cash Flow,130685000.0,-83452000.0,1335000.0,21079000.0,62003000.0,
Change In Working Capital,-32262000.0,10926000.0,19306000.0,-101565000.0,141615000.0,
Change In Other Current Liabilities,0.0,0.0,0.0,0.0,0.0,
Change In Other Current Assets,272000.0,142000.0,5090000.0,-5555000.0,407000.0,
Change In Payable,-22812000.0,4757000.0,19624000.0,-113102000.0,104769000.0,
Change In Receivables,-9722000.0,6027000.0,-5408000.0,17092000.0,36439000.0,
Other Non Cash Items,-5459000.0,-6107000.0,-7291000.0,-3602000.0,-7456000.0,
Gain Loss On Investment Securities,187295000.0,-93879000.0,-35258000.0,87894000.0,-35907000.0,
Net Income From Continuing Operations,-18889000.0,5608000.0,24578000.0,38352000.0,-36249000.0,
