,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,-45987000.0,-38327000.0,-34527000.0,-29883000.0,-43979000.0,
Issuance Of Debt,,0.0,0.0,,,
Issuance Of Capital Stock,41918000.0,205390000.0,0.0,0.0,0.0,
End Cash Position,52547000.0,48301000.0,35260000.0,52473000.0,50640000.0,
Beginning Cash Position,48301000.0,35260000.0,52473000.0,50640000.0,139480000.0,
Changes In Cash,4246000.0,13041000.0,-17213000.0,1833000.0,-88840000.0,
Financing Cash Flow,45704000.0,213552000.0,41000.0,-2518000.0,222000.0,
Cash Flow From Continuing Financing Activities,45704000.0,213552000.0,41000.0,-2518000.0,222000.0,
Net Other Financing Charges,-4644000.0,0.0,0.0,-6500000.0,-14000.0,
Proceeds From Stock Option Exercised,8430000.0,8162000.0,41000.0,982000.0,236000.0,
Net Common Stock Issuance,41918000.0,205390000.0,0.0,0.0,0.0,
Common Stock Issuance,41918000.0,205390000.0,0.0,0.0,0.0,
Net Issuance Payments Of Debt,,0.0,0.0,,,
Net Long Term Debt Issuance,,0.0,0.0,,,
Long Term Debt Issuance,,0.0,0.0,,,
Investing Cash Flow,4529000.0,-162184000.0,17273000.0,34234000.0,-45083000.0,
Cash Flow From Continuing Investing Activities,4529000.0,-162184000.0,17273000.0,34234000.0,-45083000.0,
Net Investment Purchase And Sale,4529000.0,-162184000.0,17273000.0,34234000.0,-45083000.0,
Sale Of Investment,74470000.0,91168000.0,88925000.0,67097000.0,97772000.0,
Purchase Of Investment,-69941000.0,-253352000.0,-71652000.0,-32863000.0,-142855000.0,
Net PPE Purchase And Sale,,0.0,0.0,0.0,0.0,0.0
Sale Of PPE,,,,,,0.0
Purchase Of PPE,,0.0,0.0,0.0,0.0,0.0
Operating Cash Flow,-45987000.0,-38327000.0,-34527000.0,-29883000.0,-43979000.0,
Cash Flow From Continuing Operating Activities,-45987000.0,-38327000.0,-34527000.0,-29883000.0,-43979000.0,
Change In Working Capital,-2193000.0,4137000.0,4418000.0,10502000.0,-16282000.0,
Change In Other Current Liabilities,991000.0,3318000.0,5591000.0,12388000.0,-11557000.0,
Change In Other Current Assets,-100000.0,-496000.0,-3911000.0,-773000.0,-965000.0,
Change In Payables And Accrued Expense,-5681000.0,5773000.0,2391000.0,743000.0,-4309000.0,
Change In Payable,-5681000.0,5773000.0,2391000.0,743000.0,-4309000.0,
Change In Account Payable,-5681000.0,5773000.0,2391000.0,743000.0,-4309000.0,
Change In Prepaid Assets,2597000.0,-4458000.0,347000.0,-1856000.0,549000.0,
Other Non Cash Items,-972000.0,-5991000.0,300000.0,2389000.0,-1814000.0,
Stock Based Compensation,10148000.0,4266000.0,4250000.0,4692000.0,4378000.0,
Amortization Of Securities,,,-1321000.0,,,
Depreciation Amortization Depletion,119000.0,187000.0,43000.0,132000.0,128000.0,
Depreciation And Amortization,119000.0,187000.0,43000.0,132000.0,128000.0,
Gain Loss On Sale Of PPE,,,,,,9000.0
Net Income From Continuing Operations,-53089000.0,-46061000.0,-42217000.0,-43784000.0,-30389000.0,
